year	num	seg	age	raw	std	res	ars
   1889	   1.	 129.000	   1.000	   1.953	   0.651	   0.744	   0.697
   1890	   1.	 129.000	   2.000	   1.680	   0.584	   0.743	   0.614
   1891	   1.	 129.000	   3.000	   2.504	   0.766	   0.954	   0.803
   1892	   1.	 129.000	   4.000	   3.006	   0.877	   0.987	   0.912
   1893	   1.	 129.000	   5.000	   3.373	   0.958	   1.015	   0.983
   1894	   2.	 125.500	   3.500	   2.987	   1.252	   1.164	   1.158
   1895	   2.	 125.500	   4.500	   3.788	   1.577	   1.409	   1.459
   1896	   2.	 125.500	   5.500	   3.368	   1.400	   1.074	   1.264
   1897	   2.	 125.500	   6.500	   3.093	   1.285	   1.042	   1.151
   1898	   2.	 125.500	   7.500	   2.668	   1.025	   0.858	   0.923
   1899	   2.	 125.500	   8.500	   2.308	   0.893	   0.890	   0.860
   1900	   2.	 125.500	   9.500	   2.137	   0.777	   0.848	   0.791
   1901	   2.	 125.500	  10.500	   2.655	   1.067	   1.209	   1.128
   1902	   2.	 125.500	  11.500	   2.662	   1.051	   1.018	   1.073
   1903	   2.	 125.500	  12.500	   3.209	   1.279	   1.243	   1.270
   1904	   3.	 120.333	   9.333	   1.284	   1.211	   1.060	   1.172
   1905	   3.	 120.333	  10.333	   0.793	   0.947	   0.779	   0.851
   1906	   3.	 120.333	  11.333	   0.777	   0.994	   0.951	   0.894
   1907	   3.	 120.333	  12.333	   0.928	   0.854	   1.002	   0.963
   1908	   4.	 115.750	  10.250	   2.240	   0.970	   0.994	   0.982
   1909	   5.	 114.000	   9.200	   1.461	   1.121	   1.059	   1.055
   1910	   5.	 114.000	  10.200	   1.222	   0.958	   1.043	   1.068
   1911	   5.	 114.000	  11.200	   0.707	   0.807	   0.764	   0.791
   1912	   5.	 114.000	  12.200	   1.483	   0.853	   0.963	   0.882
   1913	   5.	 114.000	  13.200	   1.492	   0.984	   0.875	   0.829
   1914	   5.	 114.000	  14.200	   1.270	   0.998	   1.006	   0.941
   1915	   5.	 114.000	  15.200	   1.709	   1.006	   1.086	   1.065
   1916	   6.	 111.833	  13.667	   2.273	   1.239	   1.226	   1.250
   1917	   8.	 107.500	  11.250	   1.281	   1.024	   0.832	   0.938
   1918	   8.	 107.500	  12.250	   0.912	   0.791	   0.859	   0.835
   1919	   8.	 107.500	  13.250	   1.152	   0.984	   1.055	   0.992
   1920	   8.	 107.500	  14.250	   0.946	   0.789	   0.845	   0.843
   1921	   8.	 107.500	  15.250	   1.354	   0.858	   0.988	   0.928
   1922	   9.	 105.444	  14.556	   1.597	   0.941	   1.031	   1.005
   1923	  10.	 103.300	  14.100	   1.014	   0.704	   0.813	   0.816
   1924	  10.	 103.300	  15.100	   1.567	   1.112	   1.300	   1.225
   1925	  10.	 103.300	  16.100	   1.216	   0.869	   0.848	   0.944
   1926	  10.	 103.300	  17.100	   1.376	   0.913	   0.931	   0.911
   1927	  10.	 103.300	  18.100	   1.353	   1.170	   1.186	   1.151
   1928	  10.	 103.300	  19.100	   1.631	   1.159	   1.084	   1.146
   1929	  10.	 103.300	  20.100	   1.997	   1.281	   1.174	   1.233
   1930	  10.	 103.300	  21.100	   1.812	   0.968	   0.856	   0.955
   1931	  10.	 103.300	  22.100	   1.743	   1.002	   0.931	   0.915
   1932	  10.	 103.300	  23.100	   1.933	   1.135	   1.091	   1.059
   1933	  11.	 100.818	  22.000	   2.055	   1.020	   1.014	   1.041
   1934	  11.	 100.818	  23.000	   1.842	   0.926	   0.977	   0.997
   1935	  11.	 100.818	  24.000	   2.122	   1.098	   1.136	   1.136
   1936	  12.	  99.000	  23.000	   2.085	   1.142	   1.073	   1.130
   1937	  12.	  99.000	  24.000	   1.980	   0.998	   0.948	   1.005
   1938	  13.	  97.462	  23.154	   1.961	   1.065	   1.074	   1.079
   1939	  13.	  97.462	  24.154	   1.675	   0.814	   0.808	   0.841
   1940	  14.	  95.786	  23.429	   1.969	   1.002	   1.089	   1.028
   1941	  14.	  95.786	  24.429	   2.040	   1.113	   1.112	   1.125
   1942	  15.	  93.867	  23.800	   1.915	   1.037	   0.984	   1.038
   1943	  15.	  93.867	  24.800	   1.947	   1.041	   1.017	   1.035
   1944	  16.	  92.625	  24.250	   1.606	   0.859	   0.796	   0.811
   1945	  16.	  92.625	  25.250	   1.858	   1.028	   1.056	   0.983
   1946	  16.	  92.625	  26.250	   1.860	   1.067	   1.029	   1.026
   1947	  16.	  92.625	  27.250	   1.918	   1.113	   1.067	   1.080
   1948	  16.	  92.625	  28.250	   1.786	   1.004	   0.965	   1.000
   1949	  16.	  92.625	  29.250	   1.807	   0.972	   1.000	   1.003
   1950	  16.	  92.625	  30.250	   1.796	   1.000	   0.968	   0.973
   1951	  16.	  92.625	  31.250	   1.765	   0.973	   0.988	   0.980
   1952	  16.	  92.625	  32.250	   1.325	   0.589	   0.688	   0.674
   1953	  16.	  92.625	  33.250	   1.504	   0.776	   0.989	   0.863
   1954	  16.	  92.625	  34.250	   1.590	   0.863	   0.973	   0.921
   1955	  16.	  92.625	  35.250	   1.933	   1.130	   1.187	   1.156
   1956	  16.	  92.625	  36.250	   1.914	   1.180	   1.131	   1.195
   1957	  16.	  92.625	  37.250	   2.041	   1.174	   1.110	   1.190
   1958	  16.	  92.625	  38.250	   2.121	   1.234	   1.170	   1.245
   1959	  16.	  92.625	  39.250	   1.743	   0.945	   0.809	   0.913
   1960	  16.	  92.625	  40.250	   1.939	   1.174	   1.164	   1.131
   1961	  17.	  90.294	  38.882	   1.902	   1.176	   1.089	   1.144
   1962	  17.	  90.294	  39.882	   1.534	   0.855	   0.829	   0.890
   1963	  17.	  90.294	  40.882	   1.550	   0.825	   0.914	   0.872
   1964	  17.	  90.294	  41.882	   1.402	   0.688	   0.824	   0.771
   1965	  17.	  90.294	  42.882	   1.600	   0.892	   1.026	   0.939
   1966	  17.	  90.294	  43.882	   1.169	   0.445	   0.618	   0.580
   1967	  18.	  87.833	  42.444	   1.627	   0.991	   1.153	   0.993
   1968	  18.	  87.833	  43.444	   1.879	   1.125	   1.166	   1.164
   1969	  18.	  87.833	  44.444	   1.851	   1.117	   1.064	   1.133
   1970	  18.	  87.833	  45.444	   2.063	   1.277	   1.206	   1.257
   1971	  18.	  87.833	  46.444	   1.824	   1.057	   0.926	   1.035
   1972	  18.	  87.833	  47.444	   1.923	   1.176	   1.082	   1.098
   1973	  18.	  87.833	  48.444	   1.896	   1.139	   1.062	   1.104
   1974	  18.	  87.833	  49.444	   1.805	   1.036	   1.005	   1.051
   1975	  18.	  87.833	  50.444	   1.866	   1.181	   1.113	   1.135
   1976	  18.	  87.833	  51.444	   1.818	   1.110	   1.018	   1.076
   1977	  18.	  87.833	  52.444	   1.420	   0.785	   0.802	   0.834
   1978	  18.	  87.833	  53.444	   1.611	   1.129	   1.134	   1.070
   1979	  18.	  87.833	  54.444	   1.477	   0.897	   0.933	   0.965
   1980	  18.	  87.833	  55.444	   1.406	   0.821	   0.875	   0.863
   1981	  18.	  87.833	  56.444	   1.377	   0.793	   0.868	   0.813
   1982	  18.	  87.833	  57.444	   1.562	   0.991	   1.073	   1.002
   1983	  18.	  87.833	  58.444	   1.487	   0.923	   0.949	   0.952
   1984	  18.	  87.833	  59.444	   1.499	   0.935	   0.896	   0.879
   1985	  18.	  87.833	  60.444	   1.548	   1.013	   1.060	   1.014
   1986	  18.	  87.833	  61.444	   1.556	   1.015	   1.041	   1.049
   1987	  18.	  87.833	  62.444	   1.142	   0.683	   0.741	   0.759
   1988	  18.	  87.833	  63.444	   1.333	   0.866	   1.028	   0.936
   1989	  18.	  87.833	  64.444	   1.431	   0.984	   1.059	   1.036
   1990	  18.	  87.833	  65.444	   1.418	   1.122	   1.080	   1.096
   1991	  18.	  87.833	  66.444	   1.235	   0.886	   0.857	   0.898
   1992	  18.	  87.833	  67.444	   1.232	   0.787	   0.931	   0.892
   1993	  18.	  87.833	  68.444	   1.634	   1.215	   1.298	   1.252
   1994	  18.	  87.833	  69.444	   1.477	   1.068	   0.997	   1.103
   1995	  18.	  87.833	  70.444	   1.430	   0.967	   0.962	   1.007
   1996	  18.	  87.833	  71.444	   1.369	   0.938	   0.958	   0.964
   1997	  18.	  87.833	  72.444	   1.546	   1.086	   1.079	   1.067
   1998	  18.	  87.833	  73.444	   1.559	   1.193	   1.085	   1.114
   1999	  18.	  87.833	  74.444	   1.253	   0.940	   0.873	   0.922
   2000	  18.	  87.833	  75.444	   1.379	   1.061	   1.032	   1.003
   2001	  18.	  87.833	  76.444	   1.491	   1.249	   1.187	   1.189
   2002	  18.	  87.833	  77.444	   1.304	   1.109	   0.989	   1.069
   2003	  18.	  87.833	  78.444	   1.185	   1.089	   1.003	   1.034
   2004	  18.	  87.833	  79.444	   1.142	   1.041	   0.969	   0.986
   2005	  18.	  87.833	  80.444	   1.225	   1.072	   1.028	   1.025
   2006	  18.	  87.833	  81.444	   0.837	   0.816	   0.817	   0.828
   2007	  17.	  88.059	  82.294	   0.878	   0.809	   0.945	   0.878
