 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000      -0.00110        -0.00011         0.00038
  0.01020       0.00562         0.00032         0.00400
  0.02041       0.04264         0.00295         0.02473
  0.03061       0.07996         0.00604         0.04604
  0.04082       0.05762         0.00540         0.03571
  0.05102       0.03137         0.00513         0.02669
  0.06122       0.02628         0.00534         0.02261
  0.07143       0.01926         0.00428         0.01453
  0.08163       0.01404         0.00464         0.01196
  0.09184       0.01321         0.00564         0.01393
  0.10204       0.00729         0.00325         0.00721
  0.11224       0.00346         0.00130         0.00222
  0.12245       0.00195         0.00086         0.00150
  0.13265       0.00251         0.00133         0.00190
  0.14286       0.00637         0.00384         0.00490
  0.15306       0.00965         0.00620         0.00747
  0.16327       0.00664         0.00555         0.00596
  0.17347       0.00336         0.00347         0.00346
  0.18367       0.00111         0.00111         0.00112
  0.19388       0.00116         0.00206         0.00179
  0.20408       0.00336         0.00514         0.00402
  0.21429       0.00367         0.00462         0.00336
  0.22449       0.00326         0.00419         0.00299
  0.23469       0.00272         0.00406         0.00276
  0.24490       0.00342         0.00590         0.00364
  0.25510       0.00359         0.00540         0.00322
  0.26531       0.00258         0.00311         0.00173
  0.27551       0.00316         0.00435         0.00240
  0.28571       0.00343         0.00412         0.00222
  0.29592       0.00179         0.00201         0.00109
  0.30612       0.00138         0.00218         0.00123
  0.31633       0.00146         0.00232         0.00122
  0.32653       0.00172         0.00276         0.00136
  0.33673       0.00135         0.00256         0.00127
  0.34694       0.00111         0.00203         0.00108
  0.35714       0.00150         0.00300         0.00153
  0.36735       0.00147         0.00310         0.00151
  0.37755       0.00137         0.00251         0.00126
  0.38776       0.00223         0.00534         0.00274
  0.39796       0.00354         0.00821         0.00411
  0.40816       0.00275         0.00700         0.00339
  0.41837       0.00117         0.00317         0.00154
  0.42857       0.00102         0.00279         0.00131
  0.43878       0.00182         0.00563         0.00274
  0.44898       0.00115         0.00362         0.00185
  0.45918       0.00079         0.00151         0.00085
  0.46939       0.00153         0.00276         0.00140
  0.47959       0.00186         0.00319         0.00147
  0.48980       0.00164         0.00307         0.00144
  0.50000       0.00202         0.00458         0.00229
