year	num	seg	age	raw	std	res	ars
   1868	   1.	 125.000	   1.000	   1.401	   0.869	   0.889	   0.859
   1869	   1.	 125.000	   2.000	   2.203	   1.052	   1.116	   1.032
   1870	   1.	 125.000	   3.000	   1.509	   0.876	   0.883	   0.884
   1871	   2.	 128.500	   2.500	   0.843	   0.674	   0.810	   0.755
   1872	   2.	 128.500	   3.500	   1.376	   0.821	   1.066	   0.912
   1873	   2.	 128.500	   4.500	   1.641	   0.906	   1.091	   1.008
   1874	   2.	 128.500	   5.500	   1.393	   0.808	   0.880	   0.876
   1875	   2.	 128.500	   6.500	   1.566	   0.874	   0.998	   0.931
   1876	   2.	 128.500	   7.500	   1.712	   0.944	   1.055	   1.001
   1877	   2.	 128.500	   8.500	   1.724	   0.910	   0.933	   0.926
   1878	   3.	 129.333	   6.667	   1.527	   1.129	   1.177	   1.139
   1879	   3.	 129.333	   7.667	   1.865	   1.153	   0.967	   1.036
   1880	   5.	 129.200	   5.600	   2.070	   1.346	   1.226	   1.273
   1881	   6.	 127.000	   5.667	   1.820	   0.999	   0.877	   1.034
   1882	   6.	 127.000	   6.667	   1.974	   1.106	   1.024	   1.082
   1883	   6.	 127.000	   7.667	   1.957	   1.094	   1.046	   1.100
   1884	   6.	 127.000	   8.667	   1.792	   0.983	   0.924	   0.993
   1885	   6.	 127.000	   9.667	   1.874	   0.978	   0.979	   0.990
   1886	   6.	 127.000	  10.667	   1.923	   1.029	   1.014	   1.010
   1887	   6.	 127.000	  11.667	   2.113	   1.046	   1.006	   1.012
   1888	   6.	 127.000	  12.667	   1.809	   1.005	   0.952	   0.962
   1889	   6.	 127.000	  13.667	   1.581	   0.739	   0.749	   0.736
   1890	   8.	 123.750	  11.250	   1.391	   0.841	   0.972	   0.819
   1891	   9.	 123.222	  11.000	   1.458	   0.926	   1.038	   0.901
   1892	   9.	 123.222	  12.000	   1.702	   1.001	   1.096	   1.017
   1893	   9.	 123.222	  13.000	   1.835	   1.112	   1.082	   1.081
   1894	   9.	 123.222	  14.000	   1.855	   1.130	   1.012	   1.061
   1895	   9.	 123.222	  15.000	   1.823	   1.101	   0.981	   1.029
   1896	   9.	 123.222	  16.000	   2.061	   1.191	   1.115	   1.143
   1897	   9.	 123.222	  17.000	   2.149	   1.305	   1.149	   1.239
   1898	   9.	 123.222	  18.000	   2.111	   1.299	   1.064	   1.222
   1899	   9.	 123.222	  19.000	   1.892	   1.120	   0.897	   1.054
   1900	  10.	 121.100	  18.100	   1.786	   1.043	   0.934	   0.996
   1901	  12.	 118.583	  16.083	   2.126	   1.210	   1.097	   1.105
   1902	  15.	 116.467	  13.867	   1.926	   1.151	   1.002	   1.063
   1903	  15.	 116.467	  14.867	   2.089	   1.193	   1.029	   1.081
   1904	  15.	 116.467	  15.867	   1.999	   1.127	   1.002	   1.058
   1905	  16.	 115.312	  15.875	   1.923	   1.117	   1.059	   1.105
   1906	  18.	 113.889	  15.111	   2.076	   1.110	   1.034	   1.104
   1907	  20.	 112.800	  14.600	   1.855	   0.931	   0.828	   0.903
   1908	  20.	 112.800	  15.600	   1.717	   0.860	   0.898	   0.861
   1909	  20.	 112.800	  16.600	   1.677	   0.820	   0.929	   0.841
   1910	  20.	 112.800	  17.600	   1.637	   0.825	   0.942	   0.836
   1911	  20.	 112.800	  18.600	   1.178	   0.612	   0.777	   0.672
   1912	  20.	 112.800	  19.600	   1.393	   0.766	   1.014	   0.806
   1913	  20.	 112.800	  20.600	   1.214	   0.675	   0.895	   0.745
   1914	  20.	 112.800	  21.600	   0.966	   0.621	   0.840	   0.678
   1915	  20.	 112.800	  22.600	   1.547	   0.808	   1.119	   0.900
   1916	  21.	 111.857	  22.524	   1.894	   0.938	   1.176	   1.076
   1917	  22.	 110.773	  22.500	   1.762	   0.859	   0.911	   0.942
   1918	  22.	 110.773	  23.500	   1.491	   0.755	   0.806	   0.789
   1919	  22.	 110.773	  24.500	   1.516	   0.732	   0.897	   0.774
   1920	  22.	 110.773	  25.500	   1.533	   0.736	   0.928	   0.775
   1921	  23.	 109.783	  25.391	   1.898	   0.924	   1.130	   0.971
   1922	  23.	 109.783	  26.391	   2.181	   1.038	   1.141	   1.097
   1923	  24.	 109.083	  26.292	   2.058	   0.970	   0.911	   0.963
   1924	  24.	 109.083	  27.292	   2.253	   1.185	   1.222	   1.220
   1925	  24.	 109.083	  28.292	   2.169	   1.176	   0.987	   1.107
   1926	  24.	 109.083	  29.292	   2.263	   1.209	   1.078	   1.172
   1927	  24.	 109.083	  30.292	   2.436	   1.263	   1.101	   1.217
   1928	  24.	 109.083	  31.292	   2.403	   1.313	   1.076	   1.226
   1929	  25.	 107.960	  31.040	   2.285	   1.290	   1.066	   1.226
   1930	  27.	 105.815	  29.741	   2.168	   1.164	   0.926	   1.085
   1931	  29.	 103.897	  28.690	   2.050	   0.978	   0.905	   0.985
   1932	  30.	 103.167	  28.733	   2.149	   1.079	   1.062	   1.067
   1933	  30.	 103.167	  29.733	   2.070	   1.046	   0.996	   1.034
   1934	  30.	 103.167	  30.733	   1.951	   0.987	   0.937	   0.967
   1935	  31.	 102.258	  30.742	   1.972	   1.016	   1.016	   1.004
   1936	  33.	 100.545	  29.879	   2.239	   1.218	   1.228	   1.232
   1937	  33.	 100.545	  30.879	   2.337	   1.277	   1.157	   1.295
   1938	  35.	  99.114	  30.114	   2.304	   1.252	   1.049	   1.249
   1939	  35.	  99.114	  31.114	   1.772	   0.873	   0.766	   0.945
   1940	  35.	  99.114	  32.114	   1.993	   1.081	   1.164	   1.171
   1941	  35.	  99.114	  33.114	   1.991	   1.101	   1.067	   1.158
   1942	  35.	  99.114	  34.114	   1.906	   1.026	   0.950	   1.063
   1943	  35.	  99.114	  35.114	   1.687	   0.875	   0.843	   0.902
   1944	  35.	  99.114	  36.114	   1.708	   0.924	   0.956	   0.912
   1945	  35.	  99.114	  37.114	   1.680	   0.896	   0.975	   0.914
   1946	  35.	  99.114	  38.114	   1.620	   0.834	   0.908	   0.851
   1947	  35.	  99.114	  39.114	   1.049	   0.576	   0.725	   0.642
   1948	  35.	  99.114	  40.114	   1.309	   0.698	   0.987	   0.765
   1949	  35.	  99.114	  41.114	   1.381	   0.739	   0.983	   0.802
   1950	  35.	  99.114	  42.114	   1.401	   0.778	   0.953	   0.811
   1951	  35.	  99.114	  43.114	   1.483	   0.833	   0.960	   0.829
   1952	  37.	  97.081	  41.784	   1.398	   0.769	   0.885	   0.767
   1953	  37.	  97.081	  42.784	   1.522	   0.866	   1.015	   0.861
   1954	  37.	  97.081	  43.784	   1.789	   1.041	   1.152	   1.043
   1955	  38.	  96.132	  43.632	   1.954	   1.144	   1.126	   1.135
   1956	  39.	  95.026	  43.513	   2.130	   1.199	   1.122	   1.208
   1957	  39.	  95.026	  44.513	   2.101	   1.212	   1.065	   1.204
   1958	  39.	  95.026	  45.513	   2.287	   1.338	   1.220	   1.374
   1959	  39.	  95.026	  46.513	   1.877	   1.020	   0.807	   1.041
   1960	  39.	  95.026	  47.513	   2.081	   1.200	   1.194	   1.275
   1961	  39.	  95.026	  48.513	   1.972	   1.130	   0.965	   1.125
   1962	  39.	  95.026	  49.513	   1.731	   0.937	   0.856	   0.965
   1963	  39.	  95.026	  50.513	   1.808	   0.989	   1.034	   1.033
   1964	  39.	  95.026	  51.513	   1.570	   0.870	   0.860	   0.876
   1965	  40.	  93.800	  51.225	   1.699	   0.949	   1.039	   0.976
   1966	  40.	  93.800	  52.225	   1.384	   0.735	   0.829	   0.803
   1967	  40.	  93.800	  53.225	   1.749	   0.983	   1.153	   1.039
   1968	  40.	  93.800	  54.225	   1.929	   1.102	   1.145	   1.143
   1969	  41.	  92.463	  53.902	   1.869	   1.010	   0.950	   1.037
   1970	  41.	  92.463	  54.902	   1.862	   1.031	   0.996	   1.038
   1971	  41.	  92.463	  55.902	   1.743	   0.961	   0.944	   0.973
   1972	  41.	  92.463	  56.902	   1.694	   0.923	   0.938	   0.931
   1973	  41.	  92.463	  57.902	   1.854	   1.032	   1.107	   1.066
   1974	  41.	  92.463	  58.902	   1.599	   0.859	   0.856	   0.886
   1975	  41.	  92.463	  59.902	   1.737	   0.987	   1.066	   1.012
   1976	  41.	  92.463	  60.902	   1.655	   0.937	   0.985	   0.978
   1977	  41.	  92.463	  61.902	   1.353	   0.733	   0.773	   0.769
   1978	  41.	  92.463	  62.902	   1.640	   0.891	   1.092	   0.959
   1979	  41.	  92.463	  63.902	   1.616	   0.968	   1.003	   0.949
   1980	  41.	  92.463	  64.902	   1.831	   1.123	   1.160	   1.130
   1981	  41.	  92.463	  65.902	   1.863	   1.127	   1.029	   1.097
   1982	  41.	  92.463	  66.902	   1.995	   1.205	   1.056	   1.132
   1983	  41.	  92.463	  67.902	   1.803	   1.073	   0.952	   1.041
   1984	  41.	  92.463	  68.902	   1.553	   0.893	   0.850	   0.894
   1985	  41.	  92.463	  69.902	   1.661	   0.962	   1.014	   0.961
   1986	  41.	  92.463	  70.902	   1.645	   0.972	   1.013	   0.978
   1987	  41.	  92.463	  71.902	   1.510	   0.988	   0.956	   0.941
   1988	  41.	  92.463	  72.902	   1.572	   1.021	   0.996	   0.962
   1989	  41.	  92.463	  73.902	   1.501	   0.989	   0.984	   0.956
   1990	  41.	  92.463	  74.902	   1.741	   1.134	   1.160	   1.134
   1991	  41.	  92.463	  75.902	   1.389	   0.913	   0.842	   0.912
   1992	  41.	  92.463	  76.902	   1.445	   0.994	   1.023	   0.994
   1993	  40.	  91.650	  76.700	   1.486	   1.035	   1.035	   1.022
   1994	  40.	  91.650	  77.700	   1.391	   1.046	   1.015	   1.029
   1995	  40.	  91.650	  78.700	   1.302	   0.962	   0.925	   0.946
   1996	  40.	  91.650	  79.700	   1.277	   1.024	   1.039	   1.014
   1997	  39.	  91.026	  79.769	   1.113	   0.843	   0.851	   0.855
   1998	  38.	  90.579	  80.026	   1.105	   0.889	   0.972	   0.895
   1999	  38.	  90.579	  81.026	   1.127	   0.866	   0.958	   0.881
   2000	  38.	  90.579	  82.026	   1.121	   0.888	   0.950	   0.871
   2001	  38.	  90.579	  83.026	   1.261	   0.953	   1.057	   0.969
   2002	  37.	  90.270	  83.514	   1.142	   0.929	   0.954	   0.921
   2003	  35.	  88.857	  82.714	   1.220	   1.001	   1.044	   0.997
   2004	  35.	  88.857	  83.714	   0.961	   0.910	   0.927	   0.917
   2005	  33.	  88.424	  83.970	   1.076	   0.965	   1.050	   1.005
   2006	  32.	  89.000	  85.406	   1.042	   0.973	   1.011	   1.004
   2007	  30.	  89.000	  86.167	   1.129	   1.009	   1.015	   1.020
   2008	  27.	  89.852	  87.704	   1.169	   0.997	   0.986	   1.000
   2009	  22.	  88.773	  87.136	   1.108	   1.007	   1.010	   1.015
   2010	   9.	  73.000	  70.000	   0.660	   0.967	   0.970	   0.981
   2011	   7.	  75.714	  72.857	   0.519	   0.797	   0.838	   0.833
   2012	   6.	  76.000	  73.667	   0.317	   0.735	   0.849	   0.758
   2013	   6.	  76.000	  74.667	   0.274	   1.026	   1.086	   0.926
