 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00045         0.00042         0.00190
  0.01020       0.00333         0.00112         0.00501
  0.02041       0.00770         0.00197         0.00899
  0.03061       0.00670         0.00201         0.00867
  0.04082       0.00835         0.00295         0.01222
  0.05102       0.00985         0.00353         0.01378
  0.06122       0.01779         0.00716         0.02467
  0.07143       0.02367         0.00994         0.03190
  0.08163       0.01374         0.00684         0.01973
  0.09184       0.00534         0.00370         0.00936
  0.10204       0.00289         0.00196         0.00430
  0.11224       0.00456         0.00244         0.00504
  0.12245       0.00560         0.00325         0.00645
  0.13265       0.00294         0.00205         0.00374
  0.14286       0.00103         0.00076         0.00125
  0.15306       0.00126         0.00123         0.00172
  0.16327       0.00335         0.00273         0.00359
  0.17347       0.00259         0.00193         0.00246
  0.18367       0.00141         0.00117         0.00125
  0.19388       0.00164         0.00148         0.00142
  0.20408       0.00192         0.00129         0.00129
  0.21429       0.00192         0.00138         0.00133
  0.22449       0.00404         0.00434         0.00381
  0.23469       0.00502         0.00544         0.00470
  0.24490       0.00186         0.00188         0.00165
  0.25510       0.00037         0.00067         0.00051
  0.26531       0.00121         0.00239         0.00173
  0.27551       0.00217         0.00330         0.00240
  0.28571       0.00266         0.00442         0.00291
  0.29592       0.00174         0.00344         0.00213
  0.30612       0.00104         0.00258         0.00159
  0.31633       0.00196         0.00394         0.00234
  0.32653       0.00200         0.00381         0.00216
  0.33673       0.00232         0.00394         0.00211
  0.34694       0.00246         0.00437         0.00230
  0.35714       0.00156         0.00271         0.00139
  0.36735       0.00095         0.00154         0.00080
  0.37755       0.00139         0.00284         0.00147
  0.38776       0.00292         0.00581         0.00292
  0.39796       0.00348         0.00680         0.00325
  0.40816       0.00237         0.00518         0.00243
  0.41837       0.00190         0.00487         0.00239
  0.42857       0.00125         0.00326         0.00152
  0.43878       0.00069         0.00226         0.00097
  0.44898       0.00051         0.00171         0.00067
  0.45918       0.00096         0.00214         0.00084
  0.46939       0.00148         0.00286         0.00122
  0.47959       0.00098         0.00209         0.00091
  0.48980       0.00038         0.00092         0.00040
  0.50000       0.00009         0.00019         0.00009
