year	num	seg	age	raw	std	res	ars
   1869	   1.	 133.000	   1.000	   4.185	   1.054	   1.038	   1.053
   1870	   3.	 137.000	   1.333	   2.798	   0.787	   0.750	   0.774
   1871	   3.	 137.000	   2.333	   3.754	   0.946	   1.104	   0.988
   1872	   3.	 137.000	   3.333	   3.430	   0.968	   1.028	   1.024
   1873	   3.	 137.000	   4.333	   3.947	   1.016	   0.964	   0.980
   1874	   3.	 137.000	   5.333	   4.045	   1.044	   1.034	   1.026
   1875	   3.	 137.000	   6.333	   3.129	   0.868	   0.921	   0.938
   1876	   3.	 137.000	   7.333	   3.788	   0.966	   1.070	   1.039
   1877	   3.	 137.000	   8.333	   2.131	   0.950	   0.840	   0.862
   1878	   3.	 137.000	   9.333	   3.137	   1.000	   1.048	   0.977
   1879	   4.	 137.250	   8.000	   3.382	   0.900	   0.958	   0.948
   1880	   4.	 137.250	   9.000	   2.789	   0.720	   0.778	   0.742
   1881	   4.	 137.250	  10.000	   3.502	   0.947	   1.161	   1.028
   1882	   5.	 135.400	   9.000	   3.210	   0.985	   1.013	   1.032
   1883	   5.	 135.400	  10.000	   3.673	   0.994	   0.968	   0.988
   1884	   5.	 135.400	  11.000	   3.557	   1.048	   1.016	   1.013
   1885	   7.	 133.000	   8.857	   3.232	   0.890	   0.898	   0.907
   1886	   7.	 133.000	   9.857	   3.637	   1.077	   1.123	   1.075
   1887	   7.	 133.000	  10.857	   3.089	   0.984	   0.938	   0.983
   1888	   7.	 133.000	  11.857	   3.168	   0.950	   0.982	   0.976
   1889	   7.	 133.000	  12.857	   3.792	   1.154	   1.183	   1.169
   1890	   7.	 133.000	  13.857	   3.227	   1.092	   1.019	   1.115
   1891	   7.	 133.000	  14.857	   3.660	   1.176	   1.095	   1.159
   1892	   8.	 131.125	  14.000	   3.545	   1.130	   1.051	   1.141
   1893	   9.	 129.556	  13.444	   3.247	   0.918	   0.866	   0.948
   1894	   9.	 129.556	  14.444	   3.412	   0.952	   0.998	   0.973
   1895	  10.	 128.100	  14.000	   3.076	   0.909	   0.932	   0.920
   1896	  12.	 124.833	  12.667	   3.186	   0.886	   0.912	   0.869
   1897	  12.	 124.833	  13.667	   3.616	   0.980	   1.045	   0.977
   1898	  12.	 124.833	  14.667	   3.300	   0.956	   0.982	   0.972
   1899	  13.	 124.154	  14.538	   3.328	   0.969	   1.020	   1.008
   1900	  13.	 124.154	  15.538	   3.454	   1.036	   1.082	   1.088
   1901	  13.	 124.154	  16.538	   4.166	   1.209	   1.276	   1.314
   1902	  13.	 124.154	  17.538	   3.714	   1.158	   1.052	   1.228
   1903	  14.	 123.286	  17.286	   3.971	   1.341	   1.301	   1.411
   1904	  14.	 123.286	  18.286	   3.525	   1.159	   1.008	   1.242
   1905	  14.	 123.286	  19.286	   3.099	   1.019	   0.941	   1.081
   1906	  14.	 123.286	  20.286	   3.046	   0.967	   0.908	   0.956
   1907	  14.	 123.286	  21.286	   3.273	   1.071	   1.081	   1.060
   1908	  14.	 123.286	  22.286	   2.732	   0.923	   0.887	   0.923
   1909	  14.	 123.286	  23.286	   2.786	   0.960	   0.980	   0.940
   1910	  15.	 122.200	  22.733	   3.004	   1.056	   1.095	   1.066
   1911	  15.	 122.200	  23.733	   2.135	   0.768	   0.751	   0.784
   1912	  15.	 122.200	  24.733	   2.820	   1.067	   1.201	   1.088
   1913	  15.	 122.200	  25.733	   2.656	   0.987	   0.985	   1.037
   1914	  16.	 120.562	  25.125	   2.583	   0.930	   0.945	   0.968
   1915	  17.	 119.059	  24.647	   2.280	   0.937	   0.994	   0.979
   1916	  18.	 118.056	  24.278	   2.512	   1.038	   1.046	   1.038
   1917	  18.	 118.056	  25.278	   2.600	   1.017	   0.993	   1.018
   1918	  19.	 116.789	  24.947	   2.553	   0.963	   0.941	   0.954
   1919	  19.	 116.789	  25.947	   2.356	   0.915	   0.926	   0.903
   1920	  20.	 115.750	  25.650	   2.249	   0.876	   0.916	   0.864
   1921	  20.	 115.750	  26.650	   2.382	   0.939	   1.007	   0.937
   1922	  22.	 113.455	  25.227	   1.885	   0.754	   0.823	   0.784
   1923	  22.	 113.455	  26.227	   1.680	   0.690	   0.793	   0.664
   1924	  22.	 113.455	  27.227	   2.124	   0.931	   1.108	   0.936
   1925	  23.	 112.217	  27.043	   2.272	   0.930	   0.961	   0.929
   1926	  24.	 111.042	  26.917	   2.336	   0.953	   0.995	   0.960
   1927	  24.	 111.042	  27.917	   2.830	   1.124	   1.175	   1.153
   1928	  25.	 110.200	  27.800	   2.816	   1.138	   1.128	   1.211
   1929	  27.	 108.148	  26.741	   2.525	   1.079	   0.972	   1.094
   1930	  27.	 108.148	  27.741	   2.083	   0.922	   0.855	   0.910
   1931	  28.	 107.107	  27.750	   2.233	   1.006	   1.038	   0.992
   1932	  28.	 107.107	  28.750	   2.292	   1.011	   1.030	   1.028
   1933	  30.	 105.400	  27.833	   2.367	   1.055	   1.034	   1.052
   1934	  34.	 102.088	  25.559	   2.398	   1.106	   1.088	   1.118
   1935	  36.	 100.639	  25.139	   2.299	   1.056	   0.996	   1.065
   1936	  38.	  99.500	  24.816	   2.077	   0.911	   0.901	   0.940
   1937	  42.	  97.500	  23.452	   1.928	   0.917	   0.959	   0.929
   1938	  43.	  96.837	  23.907	   2.286	   1.140	   1.190	   1.151
   1939	  43.	  96.837	  24.907	   2.003	   0.922	   0.838	   0.926
   1940	  45.	  95.822	  24.800	   1.944	   0.936	   0.965	   0.927
   1941	  45.	  95.822	  25.800	   2.029	   0.959	   0.997	   0.960
   1942	  48.	  94.042	  25.187	   2.140	   1.053	   1.026	   1.007
   1943	  49.	  93.490	  25.673	   2.173	   1.012	   0.991	   0.998
   1944	  51.	  92.549	  25.667	   2.014	   0.925	   0.921	   0.922
   1945	  52.	  91.981	  26.173	   2.267	   1.051	   1.075	   1.036
   1946	  53.	  91.453	  26.679	   2.124	   0.948	   0.939	   0.962
   1947	  53.	  91.453	  27.679	   1.823	   0.791	   0.811	   0.787
   1948	  55.	  90.291	  27.673	   1.975	   0.892	   0.977	   0.864
   1949	  57.	  89.351	  27.702	   2.043	   0.921	   0.983	   0.912
   1950	  57.	  89.351	  28.702	   2.402	   1.095	   1.141	   1.096
   1951	  58.	  88.862	  29.207	   2.410	   1.109	   1.090	   1.143
   1952	  58.	  88.862	  30.207	   2.251	   1.031	   0.973	   1.057
