 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  192697    1937  2009     0     4   -67     0     0     1     1     1
   2  142178    1893  2009     0     4   -67     0     0     1     1     2
   3  171358    1958  2009     0     4   -67     0     0     1     1     0
   4  202536    1926  2009     0     4   -67     0     0     1     1     4
   5  161024    1870  2009     0     4   -67     0     0     1     1     5
   6  172575    1934  1999     0     4   -67     0     0     1     1     0
   7  182396    1895  2009     0     4   -67     0     0     1     1     7
   8  101292    1896  2007     0     4   -67     0     0     1     1     8
   9  182678    1931  2009     0     4   -67     0     0     1     1     9
  10  192707    1935  2009     0     4   -67     0     0     1     1    10
  11  171421    1922  2007     0     4   -67     0     0     1     1    11
  12  12303     1946  2009     0     4   -67     0     0     1     1    12
  13  192641    1915  2009     0     4   -67     0     0     1     1    13
  14  10539     1882  2009     0     4   -67     0     0     1     1    14
  15  12267     1974  2007     0     4   -67     0     0     1     1     0
  16  141124    1949  2007     0     4   -67     0     0     1     1    16
  17  142703    1948  2004     0     4   -67     0     0     1     1    17
  18  202775    1885  2009     0     4   -67     0     0     1     1    18
  19  152659    1938  2006     0     4   -67     0     0     1     1    19
  20  132525    1925  2009     0     4   -67     0     0     1     1    20
  21  40131     1892  2009     0     4   -67     0     0     1     1    21
  22  140881    1914  2009     0     4   -67     0     0     1     1    22
  23  40853     1922  2016     0     4   -67     0     0     1     1    23
  24  202528    1935  2011     0     4   -67     0     0     1     1    24
  25  30062     1942  2009     0     4   -67     0     0     1     1    25
  26  172542    1929  2009     0     4   -67     0     0     1     1    26
  27  202379    1870  2007     0     4   -67     0     0     1     1    27
  28  202933    1961  2010     0     4   -67     0     0     1     1     0
  29  162458    1933  2013     0     4   -67     0     0     1     1    29
