 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00262         0.00094         0.00283
  0.01042       0.00494         0.00157         0.00592
  0.02083       0.01688         0.00321         0.01340
  0.03125       0.03225         0.00618         0.02480
  0.04167       0.07023         0.01954         0.07140
  0.05208       0.06061         0.02208         0.08061
  0.06250       0.03700         0.01512         0.05094
  0.07292       0.03973         0.01416         0.04330
  0.08333       0.01949         0.00732         0.02190
  0.09375       0.00784         0.00253         0.00748
  0.10417       0.00811         0.00348         0.00788
  0.11458       0.01135         0.00517         0.00960
  0.12500       0.01342         0.00560         0.00878
  0.13542       0.01510         0.00525         0.00926
  0.14583       0.00819         0.00452         0.00718
  0.15625       0.00400         0.00360         0.00517
  0.16667       0.00470         0.00488         0.00625
  0.17708       0.00425         0.00480         0.00556
  0.18750       0.00697         0.00839         0.00877
  0.19792       0.00782         0.01064         0.01106
  0.20833       0.00494         0.00806         0.00821
  0.21875       0.00359         0.00793         0.00696
  0.22917       0.00396         0.00642         0.00507
  0.23958       0.00470         0.00585         0.00502
  0.25000       0.00399         0.00430         0.00366
  0.26042       0.00468         0.00375         0.00297
  0.27083       0.00381         0.00353         0.00254
  0.28125       0.00425         0.00417         0.00312
  0.29167       0.00343         0.00244         0.00177
  0.30208       0.00155         0.00239         0.00151
  0.31250       0.00064         0.00315         0.00194
  0.32292       0.00169         0.00373         0.00245
  0.33333       0.00362         0.00737         0.00407
  0.34375       0.00405         0.01238         0.00622
  0.35417       0.00248         0.01038         0.00507
  0.36458       0.00307         0.00538         0.00307
  0.37500       0.00422         0.00476         0.00280
  0.38542       0.00396         0.00639         0.00339
  0.39583       0.00386         0.00645         0.00308
  0.40625       0.00424         0.00474         0.00230
  0.41667       0.00699         0.00638         0.00282
  0.42708       0.01005         0.00981         0.00431
  0.43750       0.00684         0.00823         0.00374
  0.44792       0.00269         0.00372         0.00170
  0.45833       0.00460         0.00698         0.00306
  0.46875       0.00893         0.01797         0.00769
  0.47917       0.00764         0.01565         0.00661
  0.48958       0.00462         0.00691         0.00317
  0.50000       0.00347         0.00359         0.00177
