 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000      -0.00056         0.00062         0.00491
  0.01020       0.00576         0.00098         0.00725
  0.02041       0.02133         0.00280         0.01508
  0.03061       0.04004         0.00502         0.02727
  0.04082       0.04927         0.00723         0.03633
  0.05102       0.03503         0.00596         0.02846
  0.06122       0.02054         0.00522         0.02204
  0.07143       0.01826         0.00752         0.02591
  0.08163       0.04306         0.01346         0.03984
  0.09184       0.04569         0.01281         0.03716
  0.10204       0.01275         0.00425         0.01174
  0.11224       0.00966         0.00239         0.00481
  0.12245       0.01153         0.00347         0.00574
  0.13265       0.01061         0.00335         0.00489
  0.14286       0.02103         0.00763         0.01186
  0.15306       0.03129         0.01351         0.02055
  0.16327       0.01836         0.01008         0.01422
  0.17347       0.00533         0.00480         0.00563
  0.18367       0.00465         0.00357         0.00285
  0.19388       0.00920         0.00525         0.00454
  0.20408       0.01039         0.00563         0.00538
  0.21429       0.00684         0.00387         0.00397
  0.22449       0.00454         0.00402         0.00364
  0.23469       0.00647         0.00560         0.00454
  0.24490       0.01262         0.00859         0.00649
  0.25510       0.01548         0.00855         0.00691
  0.26531       0.01125         0.00652         0.00485
  0.27551       0.00537         0.00520         0.00301
  0.28571       0.00326         0.00437         0.00248
  0.29592       0.00440         0.00396         0.00254
  0.30612       0.00343         0.00334         0.00185
  0.31633       0.00465         0.00644         0.00363
  0.32653       0.00589         0.00760         0.00448
  0.33673       0.00593         0.00629         0.00402
  0.34694       0.00315         0.00404         0.00222
  0.35714       0.00229         0.00432         0.00211
  0.36735       0.00482         0.00575         0.00298
  0.37755       0.00522         0.00467         0.00253
  0.38776       0.00515         0.00796         0.00340
  0.39796       0.00529         0.01035         0.00409
  0.40816       0.00352         0.00609         0.00276
  0.41837       0.00346         0.00615         0.00291
  0.42857       0.00453         0.00897         0.00373
  0.43878       0.00650         0.01019         0.00413
  0.44898       0.00485         0.00710         0.00287
  0.45918       0.00254         0.00505         0.00231
  0.46939       0.00121         0.00244         0.00122
  0.47959       0.00094         0.00234         0.00115
  0.48980       0.00159         0.00405         0.00168
  0.50000       0.00194         0.00490         0.00179
