 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00877         0.00111         0.00770
  0.00667       0.01478         0.00120         0.00875
  0.01333       0.02096         0.00170         0.01111
  0.02000       0.05486         0.00353         0.02234
  0.02667       0.07057         0.00592         0.03428
  0.03333       0.07052         0.00862         0.04668
  0.04000       0.07601         0.01029         0.05109
  0.04667       0.04240         0.00687         0.03232
  0.05333       0.01772         0.00428         0.01727
  0.06000       0.01866         0.00508         0.01924
  0.06667       0.01174         0.00325         0.01118
  0.07333       0.01215         0.00382         0.01139
  0.08000       0.01760         0.00434         0.01239
  0.08667       0.01150         0.00292         0.00738
  0.09333       0.01266         0.00542         0.01233
  0.10000       0.00745         0.00337         0.00771
  0.10667       0.00239         0.00194         0.00370
  0.11333       0.00421         0.00338         0.00622
  0.12000       0.00460         0.00303         0.00522
  0.12667       0.00220         0.00135         0.00220
  0.13333       0.00199         0.00130         0.00182
  0.14000       0.00194         0.00148         0.00201
  0.14667       0.00662         0.00576         0.00712
  0.15333       0.01111         0.00872         0.01058
  0.16000       0.00915         0.00603         0.00696
  0.16667       0.00735         0.00505         0.00549
  0.17333       0.00613         0.00488         0.00506
  0.18000       0.00381         0.00290         0.00292
  0.18667       0.00159         0.00213         0.00191
  0.19333       0.00157         0.00359         0.00318
  0.20000       0.00393         0.00727         0.00618
  0.20667       0.00642         0.00782         0.00654
  0.21333       0.00738         0.00515         0.00406
  0.22000       0.00495         0.00425         0.00326
  0.22667       0.00248         0.00368         0.00265
  0.23333       0.00300         0.00494         0.00355
  0.24000       0.00488         0.00492         0.00342
  0.24667       0.00369         0.00376         0.00259
  0.25333       0.00145         0.00137         0.00086
  0.26000       0.00217         0.00330         0.00208
  0.26667       0.00385         0.00612         0.00378
  0.27333       0.00361         0.00607         0.00377
  0.28000       0.00149         0.00252         0.00151
  0.28667       0.00192         0.00337         0.00198
  0.29333       0.00238         0.00510         0.00296
  0.30000       0.00196         0.00315         0.00184
  0.30667       0.00215         0.00225         0.00123
  0.31333       0.00192         0.00290         0.00160
  0.32000       0.00180         0.00487         0.00264
  0.32667       0.00226         0.00429         0.00235
  0.33333       0.00258         0.00393         0.00210
  0.34000       0.00274         0.00442         0.00237
  0.34667       0.00417         0.00485         0.00257
  0.35333       0.00331         0.00417         0.00222
  0.36000       0.00188         0.00368         0.00189
  0.36667       0.00338         0.00469         0.00243
  0.37333       0.00275         0.00287         0.00146
  0.38000       0.00136         0.00173         0.00089
  0.38667       0.00298         0.00405         0.00207
  0.39333       0.00428         0.00663         0.00343
  0.40000       0.00213         0.00437         0.00225
  0.40667       0.00206         0.00368         0.00189
  0.41333       0.00355         0.00453         0.00229
  0.42000       0.00707         0.01074         0.00547
  0.42667       0.00853         0.01467         0.00746
  0.43333       0.00652         0.01107         0.00564
  0.44000       0.00493         0.00716         0.00361
  0.44667       0.00155         0.00168         0.00086
  0.45333       0.00091         0.00151         0.00076
  0.46000       0.00073         0.00094         0.00049
  0.46667       0.00213         0.00145         0.00073
  0.47333       0.00229         0.00168         0.00086
  0.48000       0.00096         0.00156         0.00077
  0.48667       0.00053         0.00119         0.00059
  0.49333       0.00111         0.00307         0.00153
  0.50000       0.00152         0.00469         0.00239
