 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00868         0.00108         0.00736
  0.00667       0.01466         0.00118         0.00849
  0.01333       0.02083         0.00170         0.01093
  0.02000       0.05494         0.00356         0.02224
  0.02667       0.07073         0.00594         0.03406
  0.03333       0.07009         0.00855         0.04587
  0.04000       0.07549         0.01021         0.05037
  0.04667       0.04185         0.00678         0.03171
  0.05333       0.01772         0.00431         0.01730
  0.06000       0.01882         0.00512         0.01940
  0.06667       0.01171         0.00322         0.01109
  0.07333       0.01197         0.00376         0.01122
  0.08000       0.01741         0.00430         0.01228
  0.08667       0.01146         0.00295         0.00745
  0.09333       0.01274         0.00552         0.01261
  0.10000       0.00752         0.00343         0.00789
  0.10667       0.00236         0.00192         0.00369
  0.11333       0.00429         0.00342         0.00632
  0.12000       0.00477         0.00310         0.00537
  0.12667       0.00225         0.00137         0.00225
  0.13333       0.00197         0.00130         0.00184
  0.14000       0.00195         0.00149         0.00205
  0.14667       0.00668         0.00574         0.00714
  0.15333       0.01115         0.00867         0.01060
  0.16000       0.00919         0.00602         0.00699
  0.16667       0.00741         0.00509         0.00558
  0.17333       0.00617         0.00488         0.00509
  0.18000       0.00386         0.00290         0.00294
  0.18667       0.00164         0.00216         0.00196
  0.19333       0.00161         0.00362         0.00323
  0.20000       0.00393         0.00722         0.00618
  0.20667       0.00636         0.00773         0.00651
  0.21333       0.00733         0.00509         0.00404
  0.22000       0.00494         0.00421         0.00325
  0.22667       0.00246         0.00361         0.00262
  0.23333       0.00300         0.00489         0.00354
  0.24000       0.00490         0.00492         0.00344
  0.24667       0.00371         0.00379         0.00263
  0.25333       0.00148         0.00141         0.00089
  0.26000       0.00217         0.00333         0.00210
  0.26667       0.00383         0.00616         0.00382
  0.27333       0.00360         0.00612         0.00382
  0.28000       0.00150         0.00252         0.00152
  0.28667       0.00191         0.00335         0.00197
  0.29333       0.00238         0.00509         0.00297
  0.30000       0.00199         0.00313         0.00184
  0.30667       0.00216         0.00221         0.00121
  0.31333       0.00191         0.00288         0.00159
  0.32000       0.00178         0.00487         0.00265
  0.32667       0.00221         0.00428         0.00234
  0.33333       0.00254         0.00388         0.00208
  0.34000       0.00271         0.00436         0.00234
  0.34667       0.00415         0.00478         0.00254
  0.35333       0.00332         0.00414         0.00221
  0.36000       0.00191         0.00371         0.00190
  0.36667       0.00341         0.00473         0.00244
  0.37333       0.00276         0.00291         0.00148
  0.38000       0.00140         0.00181         0.00093
  0.38667       0.00297         0.00405         0.00206
  0.39333       0.00423         0.00653         0.00337
  0.40000       0.00210         0.00431         0.00221
  0.40667       0.00205         0.00366         0.00187
  0.41333       0.00352         0.00449         0.00226
  0.42000       0.00712         0.01085         0.00550
  0.42667       0.00862         0.01486         0.00752
  0.43333       0.00651         0.01113         0.00565
  0.44000       0.00489         0.00717         0.00360
  0.44667       0.00152         0.00164         0.00083
  0.45333       0.00090         0.00149         0.00075
  0.46000       0.00073         0.00093         0.00048
  0.46667       0.00213         0.00146         0.00073
  0.47333       0.00228         0.00168         0.00086
  0.48000       0.00097         0.00156         0.00076
  0.48667       0.00052         0.00114         0.00056
  0.49333       0.00106         0.00297         0.00147
  0.50000       0.00146         0.00456         0.00231
