 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00888         0.00104         0.00775
  0.00625       0.02012         0.00254         0.02203
  0.01250       0.02328         0.00354         0.02980
  0.01875       0.02009         0.00334         0.02539
  0.02500       0.08910         0.01365         0.09387
  0.03125       0.09169         0.01317         0.08933
  0.03750       0.02959         0.00511         0.03071
  0.04375       0.03001         0.00654         0.03298
  0.05000       0.03224         0.00650         0.03147
  0.05625       0.02181         0.00528         0.02377
  0.06250       0.01803         0.00488         0.02008
  0.06875       0.01593         0.00550         0.01902
  0.07500       0.02695         0.01012         0.03124
  0.08125       0.02621         0.00925         0.02787
  0.08750       0.00817         0.00366         0.00918
  0.09375       0.01233         0.00477         0.01043
  0.10000       0.01203         0.00451         0.00986
  0.10625       0.00649         0.00289         0.00646
  0.11250       0.00639         0.00351         0.00653
  0.11875       0.00755         0.00433         0.00760
  0.12500       0.00577         0.00377         0.00575
  0.13125       0.00838         0.00398         0.00621
  0.13750       0.01019         0.00491         0.00694
  0.14375       0.01430         0.00805         0.01013
  0.15000       0.01402         0.00775         0.00889
  0.15625       0.00596         0.00398         0.00450
  0.16250       0.00596         0.00648         0.00701
  0.16875       0.00633         0.00571         0.00639
  0.17500       0.00521         0.00349         0.00382
  0.18125       0.00739         0.00405         0.00420
  0.18750       0.00769         0.00454         0.00431
  0.19375       0.01016         0.00940         0.00819
  0.20000       0.00891         0.00967         0.00801
  0.20625       0.00602         0.00574         0.00488
  0.21250       0.00380         0.00358         0.00270
  0.21875       0.00325         0.00427         0.00312
  0.22500       0.00535         0.00629         0.00447
  0.23125       0.00510         0.00697         0.00524
  0.23750       0.00459         0.00824         0.00599
  0.24375       0.00439         0.00716         0.00505
  0.25000       0.00311         0.00385         0.00268
  0.25625       0.00212         0.00203         0.00134
  0.26250       0.00494         0.00539         0.00323
  0.26875       0.00744         0.00914         0.00579
  0.27500       0.00604         0.00738         0.00474
  0.28125       0.00506         0.00491         0.00296
  0.28750       0.00555         0.00550         0.00309
  0.29375       0.00646         0.00636         0.00364
  0.30000       0.00410         0.00441         0.00279
  0.30625       0.00257         0.00307         0.00206
  0.31250       0.00215         0.00238         0.00136
  0.31875       0.00424         0.00464         0.00244
  0.32500       0.00759         0.01082         0.00566
  0.33125       0.00627         0.01062         0.00578
  0.33750       0.00413         0.00663         0.00361
  0.34375       0.00343         0.00526         0.00279
  0.35000       0.00316         0.00478         0.00253
  0.35625       0.00441         0.00663         0.00351
  0.36250       0.00538         0.00805         0.00410
  0.36875       0.00549         0.00714         0.00364
  0.37500       0.00364         0.00437         0.00217
  0.38125       0.00227         0.00350         0.00172
  0.38750       0.00340         0.00600         0.00280
  0.39375       0.00322         0.00563         0.00275
  0.40000       0.00287         0.00544         0.00282
  0.40625       0.00404         0.00648         0.00333
  0.41250       0.00320         0.00451         0.00230
  0.41875       0.00304         0.00466         0.00243
  0.42500       0.00341         0.00730         0.00377
  0.43125       0.00347         0.00679         0.00342
  0.43750       0.00487         0.00673         0.00323
  0.44375       0.00402         0.00693         0.00335
  0.45000       0.00255         0.00592         0.00296
  0.45625       0.00238         0.00479         0.00246
  0.46250       0.00107         0.00251         0.00121
  0.46875       0.00091         0.00279         0.00132
  0.47500       0.00351         0.00743         0.00346
  0.48125       0.00461         0.00851         0.00394
  0.48750       0.00219         0.00403         0.00182
  0.49375       0.00263         0.00533         0.00262
  0.50000       0.00387         0.00731         0.00369
