 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  22371     1939  2009     0     4   -67     0     0     1     1     1
   2  32368     1927  2009     0     4   -67     0     0     1     1     2
   3  32493     1934  2009     0     4   -67     0     0     1     1     3
   4  32498     1939  2009     0     4   -67     0     0     1     1     4
   5  40533     1933  2009     0     4   -67     0     0     1     1     5
   6  42207     1927  2009     0     4   -67     0     0     1     1     6
   7  42248     1918  2009     0     4   -67     0     0     1     1     7
   8  42283     1920  2009     0     4   -67     0     0     1     1     8
   9  42304     1918  2009     0     4   -67     0     0     1     1     9
  10  50404     1923  2009     0     4   -67     0     0     1     1    10
  11  52276     1889  2009     0     4   -67     0     0     1     1    11
  12  52403     1925  2009     0     4   -67     0     0     1     1    12
  13  60549     1958  2009     0     4   -67     0     0     1     1     0
  14  62007     1915  2009     0     4   -67     0     0     1     1    14
  15  80046     1913  2009     0     4   -67     0     0     1     1    15
  16  80056     1923  2009     0     4   -67     0     0     1     1    16
  17  80148     1922  2009     0     4   -67     0     0     1     1    17
  18  80156     1922  2009     0     4   -67     0     0     1     1    18
  19  80159     1918  2009     0     4   -67     0     0     1     1    19
  20  80576     1889  2009     0     4   -67     0     0     1     1    20
  21  82120     1946  2009     0     4   -67     0     0     1     1    21
  22  82434     1923  2009     0     4   -67     0     0     1     1    22
  23  90084     1948  2009     0     4   -67     0     0     1     1    23
  24  90104     1939  2009     0     4   -67     0     0     1     1    24
  25  90577     1911  2009     0     4   -67     0     0     1     1    25
  26  90634     1937  2009     0     4   -67     0     0     1     1    26
  27  90650     1930  2009     0     4   -67     0     0     1     1    27
  28  91493     1917  2009     0     4   -67     0     0     1     1    28
  29  91499     1943  2009     0     4   -67     0     0     1     1    29
  30  100551    1931  2009     0     4   -67     0     0     1     1    30
  31  101123    1931  2009     0     4   -67     0     0     1     1    31
  32  101215    1932  2009     0     4   -67     0     0     1     1    32
  33  102238    1912  2009     0     4   -67     0     0     1     1    33
  34  110819    1926  2009     0     4   -67     0     0     1     1    34
  35  110920    1917  2009     0     4   -67     0     0     1     1    35
  36  111163    1937  2009     0     4   -67     0     0     1     1    36
  37  112206    1923  2009     0     4   -67     0     0     1     1    37
  38  120162    1958  2009     0     4   -67     0     0     1     1     0
  39  121379    1909  2009     0     4   -67     0     0     1     1    39
  40  130911    1937  2008     0     4   -67     0     0     1     1    40
  41  130991    1903  2009     0     4   -67     0     0     1     1    41
  42  131009    1905  2009     0     4   -67     0     0     1     1    42
  43  132232    1949  2009     0     4   -67     0     0     1     1    43
  44  132250    1944  2009     0     4   -67     0     0     1     1    44
  45  132386    1969  2009     0     4   -67     0     0     1     1     0
  46  132396    1824  2009     0     4   -67     0     0     1     1    46
  47  132542    1921  2009     0     4   -67     0     0     1     1    47
  48  140733    1939  2009     0     4   -67     0     0     1     1    48
  49  140736    1919  2009     0     4   -67     0     0     1     1    48
  50  140756    1902  2009     0     4   -67     0     0     1     1    49
  51  140761    1913  2009     0     4   -67     0     0     1     1    50
  52  140931    1916  2009     0     4   -67     0     0     1     1    51
  53  140934    1904  2009     0     4   -67     0     0     1     1    51
  54  142015    1950  2009     0     4   -67     0     0     1     1    52
  55  142575    1895  2009     0     4   -67     0     0     1     1    53
  56  150951    1923  2009     0     4   -67     0     0     1     1    54
  57  150957    1936  2009     0     4   -67     0     0     1     1    54
  58  152490    1942  2009     0     4   -67     0     0     1     1    55
  59  152645    1917  2009     0     4   -67     0     0     1     1    56
  60  152656    1930  2009     0     4   -67     0     0     1     1    57
  61  160935    1914  2009     0     4   -67     0     0     1     1    58
  62  162566    1916  2009     0     4   -67     0     0     1     1    59
  63  171167    1925  2009     0     4   -67     0     0     1     1    60
  64  180929    1934  2009     0     4   -67     0     0     1     1    61
  65  182130    1896  2009     0     4   -67     0     0     1     1    62
  66  190830    1935  2009     0     4   -67     0     0     1     1    63
  67  192239    1930  2009     0     4   -67     0     0     1     1    64
  68  70228A    1909  2017     0     4   -67     0     0     1     1    65
  69  32177A    1925  2015     0     4   -67     0     0     1     1    66
  70  182024A   1912  2017     0     4   -67     0     0     1     1    67
  71  82418A    1919  2016     0     4   -67     0     0     1     1    68
  72  142568A   1893  2015     0     4   -67     0     0     1     1    69
  73  190807A   1930  2013     0     4   -67     0     0     1     1    70
  74  112440A   1924  2014     0     4   -67     0     0     1     1    71
  75  152651A   1925  2015     0     4   -67     0     0     1     1    57
  76  160921A   1924  2006     0     4   -67     0     0     1     1    72
  77  180778A   1943  2013     0     4   -67     0     0     1     1    73
  78  90631     1945  2004     0     4   -67     0     0     1     1    74
  79  12445A    1960  2009     0     4   -67     0     0     1     1     0
  80  122521A   1968  2015     0     4   -67     0     0     1     1     0
  81  82059r    1946  2016     0     4   -67     0     0     1     1    77
  82  10517     1950  2008     0     4   -67     0     0     1     1    78
  83  182686    1950  2009     0     4   -67     0     0     1     1    79
