year	num	seg	age	raw	std	res	ars
   1824	   1.	 186.000	   1.000	   2.024	   1.142	   1.060	   1.071
   1825	   1.	 186.000	   2.000	   1.516	   0.993	   0.911	   0.935
   1826	   1.	 186.000	   3.000	   0.558	   0.691	   0.707	   0.680
   1827	   1.	 186.000	   4.000	   1.215	   0.903	   1.069	   0.971
   1828	   1.	 186.000	   5.000	   1.063	   0.854	   0.994	   1.022
   1829	   1.	 186.000	   6.000	   0.991	   0.831	   0.947	   0.960
   1830	   1.	 186.000	   7.000	   1.690	   1.073	   1.173	   1.160
   1831	   1.	 186.000	   8.000	   1.836	   1.130	   1.113	   1.174
   1832	   1.	 186.000	   9.000	   2.094	   1.229	   1.117	   1.161
   1833	   1.	 186.000	  10.000	   2.247	   1.296	   1.116	   1.154
   1834	   1.	 186.000	  11.000	   1.692	   1.100	   0.886	   0.923
   1835	   1.	 186.000	  12.000	   1.488	   1.028	   0.911	   0.871
   1836	   1.	 186.000	  13.000	   1.790	   1.154	   1.107	   1.074
   1837	   1.	 186.000	  14.000	   1.843	   1.186	   1.085	   1.127
   1838	   1.	 186.000	  15.000	   1.462	   1.035	   0.901	   0.939
   1839	   1.	 186.000	  16.000	   1.426	   1.025	   0.966	   0.934
   1840	   1.	 186.000	  17.000	   1.965	   1.274	   1.226	   1.213
   1841	   1.	 186.000	  18.000	   1.378	   1.016	   0.864	   0.946
   1842	   1.	 186.000	  19.000	   1.491	   1.076	   0.999	   0.960
   1843	   1.	 186.000	  20.000	   1.367	   1.023	   0.985	   0.980
   1844	   1.	 186.000	  21.000	   1.284	   0.987	   0.964	   0.964
   1845	   1.	 186.000	  22.000	   0.965	   0.824	   0.844	   0.836
   1846	   1.	 186.000	  23.000	   1.607	   1.170	   1.247	   1.199
   1847	   1.	 186.000	  24.000	   1.278	   0.999	   0.953	   1.041
   1848	   1.	 186.000	  25.000	   1.275	   1.002	   0.965	   0.960
   1849	   1.	 186.000	  26.000	   1.498	   1.133	   1.131	   1.115
   1850	   1.	 186.000	  27.000	   1.253	   0.998	   0.931	   0.977
   1851	   1.	 186.000	  28.000	   1.362	   1.066	   1.038	   1.020
   1852	   1.	 186.000	  29.000	   1.428	   1.109	   1.080	   1.092
   1853	   1.	 186.000	  30.000	   1.158	   0.954	   0.881	   0.912
   1854	   1.	 186.000	  31.000	   0.814	   0.751	   0.745	   0.708
   1855	   1.	 186.000	  32.000	   0.975	   0.850	   1.010	   0.923
   1856	   1.	 186.000	  33.000	   0.766	   0.728	   0.872	   0.881
   1857	   1.	 186.000	  34.000	   1.066	   0.908	   1.107	   1.078
   1858	   1.	 186.000	  35.000	   0.818	   0.766	   0.872	   0.914
   1859	   1.	 186.000	  36.000	   0.928	   0.833	   0.986	   0.952
   1860	   1.	 186.000	  37.000	   0.900	   0.820	   0.971	   0.967
   1861	   1.	 186.000	  38.000	   0.958	   0.854	   1.000	   0.996
   1862	   1.	 186.000	  39.000	   1.008	   0.883	   1.016	   1.021
   1863	   1.	 186.000	  40.000	   0.924	   0.840	   0.930	   0.940
   1864	   1.	 186.000	  41.000	   0.677	   0.713	   0.782	   0.762
   1865	   1.	 186.000	  42.000	   0.965	   0.863	   1.084	   1.013
   1866	   1.	 186.000	  43.000	   0.781	   0.773	   0.895	   0.928
   1867	   1.	 186.000	  44.000	   0.803	   0.786	   0.928	   0.905
   1868	   1.	 186.000	  45.000	   0.774	   0.773	   0.932	   0.910
   1869	   1.	 186.000	  46.000	   1.209	   0.974	   1.213	   1.196
   1870	   1.	 186.000	  47.000	   1.094	   0.920	   0.991	   1.069
   1871	   1.	 186.000	  48.000	   1.143	   0.939	   0.992	   0.997
   1872	   1.	 186.000	  49.000	   0.743	   0.764	   0.733	   0.727
   1873	   1.	 186.000	  50.000	   0.833	   0.802	   0.930	   0.841
   1874	   1.	 186.000	  51.000	   0.657	   0.728	   0.852	   0.831
   1875	   1.	 186.000	  52.000	   0.865	   0.812	   1.022	   0.984
   1876	   1.	 186.000	  53.000	   0.641	   0.720	   0.838	   0.854
   1877	   1.	 186.000	  54.000	   0.720	   0.749	   0.930	   0.885
   1878	   1.	 186.000	  55.000	   0.637	   0.713	   0.887	   0.867
   1879	   1.	 186.000	  56.000	   0.673	   0.724	   0.922	   0.892
   1880	   1.	 186.000	  57.000	   0.381	   0.604	   0.742	   0.722
   1881	   1.	 186.000	  58.000	   0.928	   0.812	   1.149	   1.070
   1882	   1.	 186.000	  59.000	   0.536	   0.652	   0.784	   0.841
   1883	   1.	 186.000	  60.000	   0.955	   0.809	   1.073	   1.014
   1884	   1.	 186.000	  61.000	   0.851	   0.759	   0.940	   0.964
   1885	   1.	 186.000	  62.000	   1.008	   0.813	   0.999	   0.988
   1886	   1.	 186.000	  63.000	   0.854	   0.741	   0.873	   0.876
   1887	   1.	 186.000	  64.000	   0.847	   0.726	   0.894	   0.856
   1888	   1.	 186.000	  65.000	   0.665	   0.636	   0.808	   0.776
   1889	   3.	 142.667	  22.667	   3.966	   0.988	   1.009	   0.952
   1890	   3.	 142.667	  23.667	   4.234	   0.742	   1.103	   1.114
   1891	   3.	 142.667	  24.667	   4.484	   1.088	   1.272	   1.318
   1892	   3.	 142.667	  25.667	   4.483	   1.099	   1.207	   1.305
   1893	   4.	 137.750	  20.250	   2.780	   1.000	   0.940	   1.011
   1894	   4.	 137.750	  21.250	   2.893	   1.017	   0.966	   0.939
   1895	   5.	 133.200	  18.000	   2.377	   1.011	   1.084	   1.065
   1896	   6.	 130.000	  16.000	   2.418	   1.135	   1.122	   1.153
   1897	   6.	 130.000	  17.000	   2.322	   1.074	   1.022	   1.069
   1898	   6.	 130.000	  18.000	   2.457	   0.984	   0.913	   0.923
   1899	   6.	 130.000	  19.000	   2.623	   1.009	   0.873	   0.842
   1900	   6.	 130.000	  20.000	   2.797	   1.110	   1.075	   1.032
   1901	   6.	 130.000	  21.000	   2.605	   1.000	   0.977	   1.007
   1902	   7.	 126.857	  19.000	   2.481	   0.811	   0.793	   0.795
   1903	   8.	 124.375	  17.625	   2.832	   1.189	   1.252	   1.184
   1904	   9.	 122.333	  16.667	   2.355	   1.093	   1.028	   1.115
   1905	  10.	 120.600	  16.000	   3.133	   0.994	   0.930	   0.952
   1906	  10.	 120.600	  17.000	   3.077	   0.869	   0.882	   0.856
