year	num	seg	age	raw	std	res	ars
   1893	   1.	 123.000	   1.000	   1.804	   0.985	   0.996	   0.987
   1894	   1.	 123.000	   2.000	   2.615	   1.318	   1.311	   1.347
   1895	   1.	 123.000	   3.000	   1.823	   0.997	   0.854	   1.004
   1896	   1.	 123.000	   4.000	   2.151	   1.130	   1.133	   1.143
   1897	   1.	 123.000	   5.000	   2.192	   1.149	   1.091	   1.169
   1898	   1.	 123.000	   6.000	   1.396	   0.846	   0.766	   0.847
   1899	   1.	 123.000	   7.000	   1.486	   0.881	   0.958	   0.880
   1900	   1.	 123.000	   8.000	   1.625	   0.935	   0.999	   0.935
   1901	   1.	 123.000	   9.000	   1.842	   1.020	   1.059	   1.025
   1902	   1.	 123.000	  10.000	   1.240	   0.800	   0.777	   0.800
   1903	   1.	 123.000	  11.000	   2.134	   1.140	   1.243	   1.146
   1904	   1.	 123.000	  12.000	   2.587	   1.332	   1.254	   1.367
   1905	   1.	 123.000	  13.000	   2.109	   1.134	   0.985	   1.155
   1906	   1.	 123.000	  14.000	   1.452	   0.883	   0.814	   0.885
   1907	   1.	 123.000	  15.000	   1.572	   0.928	   0.990	   0.930
   1908	   1.	 123.000	  16.000	   1.202	   0.796	   0.821	   0.796
   1909	   2.	 116.000	   9.000	   3.883	   0.867	   0.966	   0.860
   1910	   2.	 116.000	  10.000	   3.855	   0.848	   0.906	   0.839
   1911	   2.	 116.000	  11.000	   3.700	   0.706	   0.750	   0.700
   1912	   3.	 112.667	   8.333	   1.289	   0.873	   1.022	   0.857
   1913	   3.	 112.667	   9.333	   1.240	   0.827	   0.880	   0.814
   1914	   3.	 112.667	  10.333	   1.164	   0.710	   0.819	   0.743
   1915	   3.	 112.667	  11.333	   2.622	   1.248	   1.276	   1.145
   1916	   3.	 112.667	  12.333	   1.861	   1.068	   0.862	   0.928
   1917	   3.	 112.667	  13.333	   1.593	   0.921	   0.897	   0.863
   1918	   3.	 112.667	  14.333	   1.862	   1.186	   1.118	   1.047
   1919	   4.	 109.000	  11.750	   2.875	   1.252	   1.291	   1.358
   1920	   4.	 109.000	  12.750	   2.473	   1.080	   0.971	   1.134
   1921	   4.	 109.000	  13.750	   2.407	   1.107	   1.075	   1.146
   1922	   4.	 109.000	  14.750	   2.308	   1.048	   1.037	   1.110
   1923	   4.	 109.000	  15.750	   1.971	   0.900	   0.872	   0.922
   1924	   6.	 101.667	  11.500	   3.414	   1.046	   1.041	   1.000
   1925	   8.	  99.000	   9.625	   2.903	   0.855	   0.850	   0.853
   1926	   8.	  99.000	  10.625	   3.564	   1.002	   1.100	   1.023
   1927	   8.	  99.000	  11.625	   4.178	   1.055	   1.102	   1.119
   1928	   8.	  99.000	  12.625	   4.138	   1.199	   1.118	   1.188
