year	num	seg	age	raw	std	res	ars
   1824	   1.	 186.000	   1.000	   2.018	   1.143	   1.064	   1.074
   1825	   1.	 186.000	   2.000	   1.502	   0.992	   0.911	   0.934
   1826	   1.	 186.000	   3.000	   0.560	   0.692	   0.709	   0.680
   1827	   1.	 186.000	   4.000	   1.203	   0.903	   1.056	   0.961
   1828	   1.	 186.000	   5.000	   1.051	   0.853	   0.986	   1.012
   1829	   1.	 186.000	   6.000	   0.986	   0.832	   0.953	   0.963
   1830	   1.	 186.000	   7.000	   1.684	   1.074	   1.176	   1.164
   1831	   1.	 186.000	   8.000	   1.830	   1.131	   1.123	   1.182
   1832	   1.	 186.000	   9.000	   2.088	   1.229	   1.134	   1.176
   1833	   1.	 186.000	  10.000	   2.240	   1.294	   1.129	   1.167
   1834	   1.	 186.000	  11.000	   1.684	   1.100	   0.896	   0.932
   1835	   1.	 186.000	  12.000	   1.477	   1.027	   0.910	   0.870
   1836	   1.	 186.000	  13.000	   1.786	   1.156	   1.104	   1.071
   1837	   1.	 186.000	  14.000	   1.830	   1.183	   1.087	   1.127
   1838	   1.	 186.000	  15.000	   1.451	   1.034	   0.909	   0.944
   1839	   1.	 186.000	  16.000	   1.412	   1.023	   0.965	   0.934
   1840	   1.	 186.000	  17.000	   1.957	   1.273	   1.228	   1.215
   1841	   1.	 186.000	  18.000	   1.372	   1.017	   0.875	   0.954
   1842	   1.	 186.000	  19.000	   1.477	   1.073	   1.001	   0.963
   1843	   1.	 186.000	  20.000	   1.358	   1.022	   0.980	   0.975
   1844	   1.	 186.000	  21.000	   1.275	   0.986	   0.965	   0.963
   1845	   1.	 186.000	  22.000	   0.953	   0.821	   0.839	   0.832
   1846	   1.	 186.000	  23.000	   1.601	   1.168	   1.246	   1.198
   1847	   1.	 186.000	  24.000	   1.275	   1.001	   0.960	   1.045
   1848	   1.	 186.000	  25.000	   1.261	   0.998	   0.969	   0.962
   1849	   1.	 186.000	  26.000	   1.489	   1.130	   1.128	   1.113
   1850	   1.	 186.000	  27.000	   1.247	   0.998	   0.937	   0.980
   1851	   1.	 186.000	  28.000	   1.358	   1.066	   1.043	   1.025
   1852	   1.	 186.000	  29.000	   1.425	   1.108	   1.080	   1.092
   1853	   1.	 186.000	  30.000	   1.144	   0.949	   0.879	   0.907
   1854	   1.	 186.000	  31.000	   0.814	   0.756	   0.749	   0.710
   1855	   1.	 186.000	  32.000	   0.970	   0.852	   0.994	   0.912
   1856	   1.	 186.000	  33.000	   0.759	   0.730	   0.860	   0.866
   1857	   1.	 186.000	  34.000	   1.051	   0.904	   1.099	   1.067
   1858	   1.	 186.000	  35.000	   0.814	   0.770	   0.875	   0.914
   1859	   1.	 186.000	  36.000	   0.919	   0.834	   0.985	   0.951
   1860	   1.	 186.000	  37.000	   0.885	   0.817	   0.958	   0.953
   1861	   1.	 186.000	  38.000	   0.953	   0.857	   1.002	   0.994
   1862	   1.	 186.000	  39.000	   1.003	   0.885	   1.015	   1.020
   1863	   1.	 186.000	  40.000	   0.919	   0.843	   0.930	   0.939
   1864	   1.	 186.000	  41.000	   0.662	   0.713	   0.772	   0.751
   1865	   1.	 186.000	  42.000	   0.953	   0.863	   1.071	   0.999
   1866	   1.	 186.000	  43.000	   0.777	   0.778	   0.894	   0.924
   1867	   1.	 186.000	  44.000	   0.796	   0.789	   0.926	   0.903
   1868	   1.	 186.000	  45.000	   0.759	   0.774	   0.918	   0.896
   1869	   1.	 186.000	  46.000	   1.203	   0.974	   1.212	   1.191
   1870	   1.	 186.000	  47.000	   1.082	   0.919	   0.994	   1.069
   1871	   1.	 186.000	  48.000	   1.129	   0.936	   0.996	   0.998
