"year","month","cld","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet","PETminusPRE"
1901,1,71.90000153,10.90000057,25.14999962,1.300000072,40.300002232,60.20000076,-3.900000095,1.600000024,7.099999905,4.400000095,11.98999977,-19.899998528
1901,2,70.59999847,12.30000019,25.92000008,1.300000072,36.400002016,9.100000381,-7.800000191,-1.600000024,4.599999905,3.600000143,5.460000038,27.300001635
1901,3,69.40000153,14,18.70999908,2.600000143,80.600004433,81,-0.300000012,6.700000286,13.69999981,5.300000191,11.93999958,-0.399995567000005
1901,4,74.59999847,12.5,8.979999542,2.400000095,72.00000285,174.9000092,3.299999952,9.5,15.80000019,8.800000191,16.69999886,-102.90000635
1901,5,72.40000153,13.30000019,0,3.5,108.5,157,10.10000038,16.70000076,23.39999962,13.40000057,15.46000004,-48.5
1901,6,64.80000305,14.19999981,0,4.300000191,129.00000573,143.4000092,14.40000057,21.5,28.60000038,18.39999962,13.68999958,-14.40000347
1901,7,68.40000153,13.60000038,0,4.400000095,136.400002945,131.6000061,19.10000038,25.89999962,32.70000076,24.5,12.67000008,4.79999684500001
1901,8,68.30000305,13.69999981,0,3.5,108.5,179.1999969,16.60000038,23.39999962,30.30000114,23.39999962,14.46999931,-70.6999969
1901,9,58.10000229,15,0,3.100000143,93.00000429,88.40000153,10.90000057,18.39999962,25.89999962,15.60000038,8.909999847,4.60000276000001
1901,10,44.5,17.60000038,6.929999828,2.700000048,83.700001488,18,4.300000191,13.10000038,21.89999962,10,4.579999924,65.700001488
1901,11,66.40000153,14,23.02999878,1.399999976,41.99999928,55.10000229,-2.700000048,4.300000191,11.30000019,5.900000095,9.010000229,-13.10000301
1901,12,67.59999847,12.5,26.95999908,1.100000024,34.100000744,147.6000061,-5.700000286,0.600000024,6.900000095,4.400000095,17.98999977,-113.500005356
1902,1,69.30000305,11.69999981,27.40999985,1.200000048,37.200001488,68.80000305,-6.200000286,-0.300000012,5.599999905,3.900000095,13.65999985,-31.600001562
1902,2,73,11.30000019,25.92000008,1.200000048,33.600001344,104.8000031,-7.800000191,-2.100000143,3.600000143,3.5,14.5199995,-71.200001756
1902,3,68.90000153,14.10000038,16.59000015,2.5,77.5,94,0.5,7.5,14.60000038,6.400000095,13.53999996,-16.5
1902,4,67,14.69999981,7.139999866,3.299999952,98.99999856,72,4.099999905,11.40000057,18.80000114,8.300000191,11.06999969,26.99999856
1902,5,61.29999924,16.20000076,0,4.300000191,133.300005921,69.59999847,10.69999981,18.80000114,26.89999962,14.5,10.68999958,63.700007451
1902,6,56.29999924,16.30000114,0,4.800000191,144.00000573,103.3000031,13.5,21.60000038,29.80000114,17.5,11.64999962,40.70000263
1902,7,56.29999924,15.10000038,0,4.5,139.5,78.20000458,17.39999962,24.89999962,32.5,24.5,10.27999973,61.29999542
1902,8,52.70000076,15.60000038,0,4.099999905,127.099997055,62.60000229,14.40000057,22.20000076,30,19.5,8.559999466,64.499994765
1902,9,50.40000153,15.10000038,0,3.100000143,93.00000429,86.20000458,11.19999981,18.70000076,26.30000114,16.70000076,9.5,6.79999971000001
1902,10,56.79999924,15.80000019,3.389999866,2.700000048,83.700001488,124.9000015,6.099999905,14,21.89999962,9.900000572,10.78999996,-41.200000012
1902,11,65.09999847,14.19999981,8.510000229,1.899999976,56.99999928,96.59999847,3.5,10.60000038,17.70000076,8.600000381,11.42000008,-39.59999919
1902,12,74.09999847,10.40000057,25.14999962,1,31,96.90000153,-3.900000095,1.300000072,6.5,5,14.60999966,-65.90000153
1903,1,71,11.40000057,26.76999855,1.200000048,37.200001488,96.20000458,-5.5,0.200000003,5.900000095,4.099999905,15.65999985,-59.000003092
1903,2,65.80000305,14,23.37999916,1.700000048,47.600001344,95.30000305,-4.599999905,2.400000095,9.400000572,4.599999905,14.78999996,-47.700001706
1903,3,69.09999847,13.40000057,8.309999466,2.700000048,83.700001488,112.4000015,3.700000048,10.40000057,17.10000038,8.100000381,14.09000015,-28.700000012
1903,4,67.90000153,14.10000038,5.659999847,3.299999952,98.99999856,99.80000305,4.800000191,11.80000019,18.89999962,8.600000381,13.29999924,-0.800004490000006
1903,5,59.29999924,16.10000038,0.02,4.099999905,127.099997055,73.09999847,9.699999809,17.70000076,25.80000114,14.30000019,10.23999977,53.999998585
1903,6,71.40000153,13.19999981,0,3.600000143,108.00000429,178.6000061,12.5,19.10000038,25.70000076,17.20000076,14.13000011,-70.60000181
1903,7,58.10000229,14.69999981,0,4.400000095,136.400002945,92.09999847,16.70000076,24,31.39999962,22.89999962,11.50999928,44.300004475
1903,8,64.5,13,0,3.5,108.5,120.9000015,15.80000019,22.30000114,28.80000114,21.80000114,11.92000008,-12.4000015
1903,9,48,16,0,3.299999952,98.99999856,59.5,10.90000057,18.89999962,26.89999962,16.30000114,7.529999733,39.49999856
1903,10,61.40000153,15,3.389999866,2.400000095,74.400002945,82.09999847,6.099999905,13.60000038,21.10000038,10.60000038,8.720000267,-7.69999552500001
1903,11,56.40000153,15.5,23.02999878,1.5,45,23,-2.700000048,5.099999905,12.90000057,6.200000286,6.069999695,22
1903,12,67.90000153,12.30000019,28.17000008,1,31,32.5,-7.099999905,-0.900000036,5.300000191,4,8.720000267,-1.5
1904,1,67,12.19999981,29.36999893,1,31,52.70000076,-8.800000191,-2.700000048,3.400000095,3.299999952,12.14999962,-21.70000076
1904,2,66.30000305,12.60000038,27.23999977,1.300000072,37.700002088,34.40000153,-8.400000572,-2.100000143,4.200000286,3.299999952,9.109999657,3.300000558
1904,3,68.80000305,13.40000057,19.75,2.5,77.5,57.29999924,-0.699999988,6,12.69999981,5.200000286,10.75,20.20000076
1904,4,68.30000305,14.10000038,10.67999935,3.100000143,93.00000429,65.59999847,2.600000143,9.600000381,16.70000076,7.200000286,11.11999989,27.40000582
1904,5,63.60000229,15.30000019,0,4.099999905,127.099997055,86.09999847,10,17.60000038,25.30000114,13.5,11.40999985,40.999998585
1904,6,63.40000153,14.40000057,0,4.400000095,132.00000285,157.5,14.30000019,21.5,28.70000076,18.10000038,13.21999931,-25.49999715
1904,7,63.29999924,14.5,0,4.300000191,133.300005921,140,16.10000038,23.30000114,30.60000038,21.10000038,12.47999954,-6.69999407899999
