 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000      -0.00039        -0.00021        -0.00050
  0.01220       0.00005         0.00013         0.00039
  0.02439       0.00439         0.00275         0.00588
  0.03659       0.01345         0.00762         0.01638
  0.04878       0.01560         0.00834         0.01788
  0.06098       0.00938         0.00575         0.01176
  0.07317       0.01534         0.00924         0.01729
  0.08537       0.03117         0.01904         0.03536
  0.09756       0.02184         0.01494         0.02689
  0.10976       0.00405         0.00362         0.00611
  0.12195       0.00138         0.00134         0.00185
  0.13415       0.00270         0.00229         0.00313
  0.14634       0.01021         0.00888         0.01239
  0.15854       0.01367         0.01198         0.01632
  0.17073       0.00881         0.00787         0.01016
  0.18293       0.00247         0.00212         0.00270
  0.19512       0.00182         0.00149         0.00172
  0.20732       0.00332         0.00339         0.00349
  0.21951       0.00929         0.00915         0.00912
  0.23171       0.01223         0.01111         0.01061
  0.24390       0.01306         0.01264         0.01152
  0.25610       0.01071         0.01078         0.00982
  0.26829       0.00535         0.00614         0.00529
  0.28049       0.00651         0.00798         0.00643
  0.29268       0.00479         0.00604         0.00451
  0.30488       0.00476         0.00593         0.00421
  0.31707       0.00477         0.00564         0.00402
  0.32927       0.00572         0.00608         0.00429
  0.34146       0.00581         0.00636         0.00436
  0.35366       0.00445         0.00439         0.00301
  0.36585       0.00347         0.00330         0.00218
  0.37805       0.00236         0.00285         0.00186
  0.39024       0.00473         0.00584         0.00352
  0.40244       0.00755         0.00976         0.00578
  0.41463       0.00507         0.00666         0.00392
  0.42683       0.00261         0.00306         0.00178
  0.43902       0.00606         0.00801         0.00456
  0.45122       0.00867         0.01074         0.00622
  0.46341       0.00630         0.00844         0.00488
  0.47561       0.00669         0.00948         0.00552
  0.48780       0.00448         0.00668         0.00380
  0.50000       0.00311         0.00526         0.00286
