year	num	seg	age	raw	std	res	ars
   1870	   1.	 140.000	   1.000	   2.429	   0.934	   0.965	   0.948
   1871	   1.	 140.000	   2.000	   1.969	   0.786	   0.814	   0.784
   1872	   1.	 140.000	   3.000	   2.156	   0.841	   1.004	   0.872
   1873	   1.	 140.000	   4.000	   2.324	   0.893	   1.007	   0.927
   1874	   1.	 140.000	   5.000	   1.921	   0.763	   0.811	   0.769
   1875	   1.	 140.000	   6.000	   1.721	   0.701	   0.849	   0.714
   1876	   1.	 140.000	   7.000	   2.560	   0.968	   1.262	   1.086
   1877	   1.	 140.000	   8.000	   3.284	   1.245	   1.311	   1.369
   1878	   1.	 140.000	   9.000	   3.750	   1.448	   1.293	   1.522
   1879	   1.	 140.000	  10.000	   3.519	   1.350	   1.022	   1.321
   1880	   2.	 135.000	   6.000	   2.282	   0.934	   0.899	   1.079
   1881	   2.	 135.000	   7.000	   2.389	   0.937	   0.992	   1.034
   1882	   2.	 135.000	   8.000	   2.566	   0.928	   0.971	   0.987
   1883	   2.	 135.000	   9.000	   2.469	   0.893	   0.934	   0.923
   1884	   2.	 135.000	  10.000	   2.315	   0.871	   0.939	   0.890
   1885	   2.	 135.000	  11.000	   2.031	   0.769	   0.828	   0.764
   1886	   2.	 135.000	  12.000	   2.266	   0.808	   0.982	   0.838
   1887	   2.	 135.000	  13.000	   2.090	   0.729	   0.824	   0.731
   1888	   2.	 135.000	  14.000	   2.302	   0.766	   0.962	   0.800
   1889	   2.	 135.000	  15.000	   3.101	   0.911	   1.123	   0.999
   1890	   2.	 135.000	  16.000	   3.655	   1.085	   1.194	   1.193
   1891	   2.	 135.000	  17.000	   3.903	   1.184	   1.142	   1.256
   1892	   2.	 135.000	  18.000	   3.408	   1.013	   0.849	   0.993
   1893	   2.	 135.000	  19.000	   3.541	   1.035	   1.040	   1.032
   1894	   2.	 135.000	  20.000	   4.219	   1.242	   1.285	   1.308
   1895	   2.	 135.000	  21.000	   4.332	   1.275	   1.103	   1.283
   1896	   2.	 135.000	  22.000	   4.220	   1.266	   1.074	   1.238
   1897	   2.	 135.000	  23.000	   4.222	   1.232	   1.045	   1.181
   1898	   2.	 135.000	  24.000	   3.917	   1.081	   0.896	   0.997
   1899	   2.	 135.000	  25.000	   3.604	   1.042	   0.982	   0.976
   1900	   2.	 135.000	  26.000	   3.556	   0.971	   0.927	   0.909
   1901	   2.	 135.000	  27.000	   4.213	   1.211	   1.297	   1.245
   1902	   2.	 135.000	  28.000	   3.944	   1.180	   1.009	   1.148
   1903	   2.	 135.000	  29.000	   4.422	   1.339	   1.237	   1.329
   1904	   2.	 135.000	  30.000	   4.139	   1.215	   0.956	   1.142
   1905	   2.	 135.000	  31.000	   3.849	   1.093	   0.937	   1.015
