year	num	seg	age	raw	std	res	ars
   1792	   1.	 218.000	   1.000	   0.667	   1.054	   1.042	   1.056
   1793	   1.	 218.000	   2.000	   0.871	   1.122	   1.102	   1.134
   1794	   1.	 218.000	   3.000	   0.452	   0.957	   0.899	   0.972
   1795	   1.	 218.000	   4.000	   0.595	   1.000	   1.015	   1.002
   1796	   2.	 216.000	   3.000	   1.012	   1.015	   1.021	   1.025
   1797	   3.	 212.667	   3.000	   1.378	   0.990	   0.977	   0.993
   1798	   3.	 212.667	   4.000	   1.291	   1.028	   0.998	   0.997
   1799	   3.	 212.667	   5.000	   1.332	   1.090	   1.083	   1.084
   1800	   3.	 212.667	   6.000	   1.342	   1.190	   1.234	   1.281
   1801	   3.	 212.667	   7.000	   1.213	   1.052	   1.020	   1.171
   1802	   3.	 212.667	   8.000	   1.179	   0.927	   0.956	   1.049
   1803	   3.	 212.667	   9.000	   1.107	   1.024	   0.998	   1.026
   1804	   3.	 212.667	  10.000	   1.026	   0.988	   0.975	   0.991
   1805	   3.	 212.667	  11.000	   0.837	   0.737	   0.784	   0.782
   1806	   4.	 210.500	   9.250	   0.887	   0.926	   1.017	   0.904
   1807	   4.	 210.500	  10.250	   1.314	   1.110	   1.262	   1.214
   1808	   4.	 210.500	  11.250	   0.999	   0.910	   0.858	   0.973
   1809	   4.	 210.500	  12.250	   1.084	   0.962	   0.998	   0.987
   1810	   4.	 210.500	  13.250	   0.879	   0.862	   0.880	   0.876
   1811	   4.	 210.500	  14.250	   0.953	   0.907	   0.966	   0.903
   1812	   4.	 210.500	  15.250	   1.016	   0.981	   0.995	   0.946
   1813	   4.	 210.500	  16.250	   1.075	   0.988	   0.992	   0.966
   1814	   4.	 210.500	  17.250	   0.932	   0.997	   1.006	   0.991
   1815	   4.	 210.500	  18.250	   0.811	   0.921	   0.926	   0.924
   1816	   4.	 210.500	  19.250	   1.191	   1.092	   1.085	   1.047
   1817	   4.	 210.500	  20.250	   0.972	   1.076	   0.975	   1.002
   1818	   4.	 210.500	  21.250	   0.998	   1.046	   1.089	   1.093
   1819	   4.	 210.500	  22.250	   0.848	   0.933	   0.895	   0.946
   1820	   4.	 210.500	  23.250	   0.723	   0.886	   0.891	   0.865
   1821	   4.	 210.500	  24.250	   0.968	   0.987	   1.044	   0.976
   1822	   4.	 210.500	  25.250	   0.917	   1.028	   1.014	   1.004
   1823	   4.	 210.500	  26.250	   0.817	   0.967	   0.950	   0.955
   1824	   4.	 210.500	  27.250	   0.600	   0.754	   0.804	   0.783
   1825	   4.	 210.500	  28.250	   0.750	   1.036	   1.076	   0.964
   1826	   4.	 210.500	  29.250	   0.594	   0.941	   0.928	   0.911
   1827	   4.	 210.500	  30.250	   0.834	   0.983	   1.089	   1.044
   1828	   4.	 210.500	  31.250	   0.349	   0.786	   0.804	   0.830
   1829	   4.	 210.500	  32.250	   0.625	   0.979	   0.983	   0.896
   1830	   4.	 210.500	  33.250	   0.960	   1.167	   1.125	   1.073
   1831	   4.	 210.500	  34.250	   0.639	   0.896	   0.839	   0.879
   1832	   4.	 210.500	  35.250	   0.921	   1.097	   1.143	   1.082
   1833	   4.	 210.500	  36.250	   0.850	   1.071	   1.065	   1.111
   1834	   4.	 210.500	  37.250	   0.993	   0.985	   0.981	   1.042
   1835	   4.	 210.500	  38.250	   1.149	   1.131	   1.209	   1.233
   1836	   4.	 210.500	  39.250	   0.655	   0.812	   0.782	   0.907
   1837	   4.	 210.500	  40.250	   1.210	   1.049	   1.251	   1.205
   1838	   4.	 210.500	  41.250	   0.665	   0.794	   0.783	   0.894
   1839	   5.	 202.600	  34.000	   0.541	   0.842	   0.892	   0.839
   1840	   5.	 202.600	  35.000	   0.792	   0.839	   0.933	   0.851
   1841	   5.	 202.600	  36.000	   0.992	   0.962	   1.073	   0.997
   1842	   5.	 202.600	  37.000	   1.376	   1.066	   1.090	   1.090
   1843	   5.	 202.600	  38.000	   1.259	   0.991	   0.972	   1.022
   1844	   5.	 202.600	  39.000	   1.394	   1.249	   1.236	   1.250
   1845	   5.	 202.600	  40.000	   1.204	   1.051	   0.961	   1.096
   1846	   5.	 202.600	  41.000	   1.653	   1.171	   1.078	   1.131
   1847	   5.	 202.600	  42.000	   1.241	   1.108	   1.087	   1.158
   1848	   5.	 202.600	  43.000	   1.302	   1.047	   0.995	   1.081
   1849	   5.	 202.600	  44.000	   1.147	   1.070	   1.054	   1.099
   1850	   5.	 202.600	  45.000	   1.075	   1.078	   0.997	   1.051
   1851	   5.	 202.600	  46.000	   1.184	   1.202	   1.244	   1.274
   1852	   5.	 202.600	  47.000	   1.022	   1.103	   1.001	   1.148
   1853	   5.	 202.600	  48.000	   0.988	   1.036	   1.019	   1.099
   1854	   5.	 202.600	  49.000	   0.872	   1.050	   0.986	   1.041
   1855	   5.	 202.600	  50.000	   0.789	   0.896	   0.861	   0.885
   1856	   5.	 202.600	  51.000	   0.764	   0.747	   0.750	   0.692
   1857	   5.	 202.600	  52.000	   0.615	   0.812	   0.900	   0.740
   1858	   5.	 202.600	  53.000	   0.709	   0.860	   0.907	   0.772
   1859	   5.	 202.600	  54.000	   0.571	   0.805	   0.880	   0.762
   1860	   6.	 194.833	  46.000	   0.833	   0.831	   0.925	   0.802
   1861	   6.	 194.833	  47.000	   0.579	   0.761	   0.807	   0.706
   1862	   6.	 194.833	  48.000	   0.928	   0.857	   1.009	   0.857
   1863	   6.	 194.833	  49.000	   0.950	   0.975	   1.048	   0.975
   1864	   6.	 194.833	  50.000	   1.214	   0.961	   0.948	   0.937
   1865	   6.	 194.833	  51.000	   1.304	   1.118	   1.113	   1.082
   1866	   7.	 187.571	  44.714	   1.651	   1.019	   1.042	   1.088
   1867	   7.	 187.571	  45.714	   1.780	   1.095	   1.078	   1.127
   1868	  10.	 173.900	  33.000	   2.098	   1.162	   1.154	   1.223
   1869	  10.	 173.900	  34.000	   2.097	   1.191	   1.130	   1.251
   1870	  11.	 170.818	  31.909	   2.207	   1.039	   0.960	   1.095
   1871	  14.	 164.000	  26.071	   2.415	   1.056	   1.073	   1.126
   1872	  15.	 162.267	  25.333	   2.543	   1.073	   1.065	   1.134
   1873	  15.	 162.267	  26.333	   2.361	   0.982	   0.959	   1.033
   1874	  16.	 160.625	  25.688	   2.064	   0.929	   0.932	   0.952
   1875	  17.	 159.118	  25.176	   2.201	   1.026	   1.020	   0.997
   1876	  17.	 159.118	  26.176	   2.062	   0.975	   0.980	   0.981
   1877	  18.	 157.667	  25.722	   1.947	   0.825	   0.876	   0.869
   1878	  20.	 155.100	  24.150	   2.248	   0.998	   1.049	   0.983
   1879	  20.	 155.100	  25.150	   1.986	   0.871	   0.905	   0.898
   1880	  21.	 153.905	  24.952	   1.743	   0.744	   0.810	   0.759
   1881	  22.	 152.773	  24.818	   2.136	   0.888	   0.972	   0.847
   1882	  24.	 150.667	  23.750	   2.113	   0.890	   0.986	   0.908
   1883	  24.	 150.667	  24.750	   2.070	   0.897	   0.958	   0.912
   1884	  24.	 150.667	  25.750	   2.013	   0.910	   0.961	   0.917
   1885	  25.	 149.640	  25.720	   1.878	   0.802	   0.869	   0.828
   1886	  26.	 148.654	  25.731	   2.022	   0.885	   0.979	   0.891
   1887	  27.	 147.704	  25.778	   1.850	   0.790	   0.868	   0.813
   1888	  27.	 147.704	  26.778	   1.690	   0.702	   0.776	   0.680
   1889	  27.	 147.704	  27.778	   1.839	   0.854	   0.997	   0.831
   1890	  27.	 147.704	  28.778	   2.122	   1.005	   1.075	   0.989
   1891	  28.	 146.679	  28.750	   2.890	   1.364	   1.376	   1.372
   1892	  28.	 146.679	  29.750	   2.714	   1.291	   1.078	   1.277
   1893	  29.	 145.655	  29.724	   2.368	   1.069	   0.938	   1.086
   1894	  29.	 145.655	  30.724	   2.467	   1.102	   1.058	   1.106
   1895	  34.	 141.147	  27.206	   2.934	   1.395	   1.306	   1.364
   1896	  36.	 139.639	  26.694	   2.962	   1.353	   1.179	   1.374
   1897	  38.	 138.237	  26.289	   2.862	   1.270	   1.091	   1.290
   1898	  39.	 137.564	  26.615	   2.604	   1.176	   1.016	   1.171
