 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  100990    1871  2009     0     4   -67     0     0     1     1     1
   2  90546     1901  2009     0     4   -67     0     0     1     1     2
   3  60315     1932  2009     0     4   -67     0     0     1     1     3
   4  80371     1925  2009     0     4   -67     0     0     1     1     4
   5  80745     1874  2009     0     4   -67     0     0     1     1     5
   6  70471     1878  2009     0     4   -67     0     0     1     1     6
   7  80451     1895  2009     0     4   -67     0     0     1     1     7
   8  50455     1924  2009     0     4   -67     0     0     1     1     8
   9  50322     1881  2009     0     4   -67     0     0     1     1     9
  10  101212    1891  2009     0     4   -67     0     0     1     1    10
  11  80540     1921  2002     0     4   -67     0     0     1     1    11
  12  70519     1895  2009     0     4   -67     0     0     1     1    12
  13  90130     1927  2009     0     4   -67     0     0     1     1    13
  14  70536     1897  2009     0     4   -67     0     0     1     1    14
  15  60078     1886  2009     0     4   -67     0     0     1     1    15
  16  70371     1897  2009     0     4   -67     0     0     1     1    16
  17  60121     1877  2009     0     4   -67     0     0     1     1    17
  18  80089     1882  2009     0     4   -67     0     0     1     1    18
  19  60377     1895  2009     0     4   -67     0     0     1     1    19
  20  90558     1887  2009     0     4   -67     0     0     1     1    20
  21  70559     1895  2009     0     4   -67     0     0     1     1    21
  22  90283     1925  2009     0     4   -67     0     0     1     1    22
  23  50314     1875  2009     0     4   -67     0     0     1     1    23
  24  162397    1868  2009     0     4   -67     0     0     1     1    24
  25  162295    1871  2009     0     4   -67     0     0     1     1    25
  26  172168    1906  2009     0     4   -67     0     0     1     1    26
  27  112142    1882  2008     0     4   -67     0     0     1     1    27
  28  180996    1880  2009     0     4   -67     0     0     1     1    28
  29  142363    1969  2009     0     4   -67     0     0     1     1     0
  30  201332    1960  2005     0     4   -67     0     0     1     1     0
  31  142539    1898  2009     0     4   -67     0     0     1     1    31
  32  162398    1868  2009     0     4   -67     0     0     1     1    24
  33  70602     1914  2009     0     4   -67     0     0     1     1    32
  34  122404    1872  2009     0     4   -67     0     0     1     1    33
  35  72232     1893  2009     0     4   -67     0     0     1     1    34
  36  60210     1918  2009     0     4   -67     0     0     1     1    35
  37  92046     1885  2009     0     4   -67     0     0     1     1    36
  38  52111     1896  2009     0     4   -67     0     0     1     1    37
  39  60016     1923  2009     0     4   -67     0     0     1     1    38
  40  132206    1866  2009     0     4   -67     0     0     1     1    39
  41  112336    1896  2009     0     4   -67     0     0     1     1    40
  42  142565    1895  2009     0     4   -67     0     0     1     1    41
  43  122211    1933  2009     0     4   -67     0     0     1     1    42
  44  82058     1933  2009     0     4   -67     0     0     1     1    43
  45  192029    1916  2009     0     4   -67     0     0     1     1    44
  46  32138A    1860  2015     0     4   -67     0     0     1     1    45
  47  60507     1870  2009     0     4   -67     0     0     1     1    46
  48  161573A   1951  2017     0     4   -67     0     0     1     1     0
  49  70601A    1916  2014     0     4   -67     0     0     1     1    48
  50  90273     1922  2007     0     4   -67     0     0     1     1    49
  51  132177A   1936  2011     0     4   -67     0     0     1     1    50
  52  102371    1878  2009     0     4   -67     0     0     1     1    51
  53  111195A   1953  2017     0     4   -67     0     0     1     1     0
  54  172036    1868  2009     0     4   -67     0     0     1     1    53
  55  60060     1931  2007     0     4   -67     0     0     1     1    54
  56  60331     1910  2009     0     4   -67     0     0     1     1    55
  57  70535     1917  2009     0     4   -67     0     0     1     1    56
  58  70069     1871  2009     0     4   -67     0     0     1     1    57
  59  50234     1921  2009     0     4   -67     0     0     1     1    58
  60  110870    1907  2007     0     4   -67     0     0     1     1    59
  61  62148     1839  2009     0     4   -67     0     0     1     1    60
  62  90752     1806  2009     0     4   -67     0     0     1     1    61
  63  102271    1792  2009     0     4   -67     0     0     1     1    62
  64  50517r    1917  2009     0     4   -67     0     0     1     1    63
  65  20835r    1796  2009     0     4   -67     0     0     1     1    64
  66  122474r   1797  2002     0     4   -67     0     0     1     1    65
