year	num	seg	age	raw	std	res	ars
   1909	   1.	 107.000	   1.000	   1.330	   1.080	   1.074	   1.102
   1910	   1.	 107.000	   2.000	   1.100	   0.965	   0.930	   0.991
   1911	   1.	 107.000	   3.000	   0.635	   0.752	   0.770	   0.765
   1912	   1.	 107.000	   4.000	   0.971	   0.867	   0.981	   0.851
   1913	   1.	 107.000	   5.000	   1.353	   0.998	   1.063	   0.981
   1914	   1.	 107.000	   6.000	   1.125	   0.883	   0.884	   0.875
   1915	   1.	 107.000	   7.000	   1.568	   1.039	   1.099	   1.031
   1916	   1.	 107.000	   8.000	   2.367	   1.332	   1.340	   1.354
   1917	   1.	 107.000	   9.000	   1.546	   0.984	   0.831	   1.039
   1918	   1.	 107.000	  10.000	   1.100	   0.780	   0.790	   0.813
   1919	   1.	 107.000	  11.000	   1.535	   0.934	   1.038	   0.935
   1920	   1.	 107.000	  12.000	   1.318	   0.824	   0.853	   0.818
   1921	   1.	 107.000	  13.000	   1.283	   0.786	   0.867	   0.765
   1922	   2.	  98.000	   7.500	   3.083	   0.934	   0.979	   0.848
   1923	   2.	  98.000	   8.500	   2.498	   0.629	   0.658	   0.564
   1924	   2.	  98.000	   9.500	   3.135	   1.011	   1.192	   0.953
   1925	   2.	  98.000	  10.500	   2.813	   0.851	   0.835	   0.810
   1926	   2.	  98.000	  11.500	   2.680	   0.806	   0.869	   0.762
   1927	   2.	  98.000	  12.500	   3.440	   1.240	   1.362	   1.229
   1928	   2.	  98.000	  13.500	   3.290	   1.167	   1.045	   1.177
   1929	   2.	  98.000	  14.500	   3.441	   1.263	   1.163	   1.264
   1930	   2.	  98.000	  15.500	   2.876	   0.972	   0.806	   0.961
   1931	   2.	  98.000	  16.500	   2.864	   0.995	   0.983	   0.963
   1932	   2.	  98.000	  17.500	   3.195	   1.187	   1.200	   1.180
   1933	   2.	  98.000	  18.500	   2.858	   1.033	   0.928	   1.034
   1934	   2.	  98.000	  19.500	   2.557	   0.871	   0.883	   0.905
   1935	   2.	  98.000	  20.500	   2.853	   1.054	   1.129	   1.077
   1936	   2.	  98.000	  21.500	   2.954	   1.123	   1.115	   1.161
   1937	   2.	  98.000	  22.500	   2.724	   1.017	   0.972	   1.066
   1938	   2.	  98.000	  23.500	   2.496	   0.906	   0.933	   0.974
   1939	   2.	  98.000	  24.500	   2.409	   0.864	   0.955	   0.943
   1940	   2.	  98.000	  25.500	   3.193	   1.306	   1.423	   1.386
   1941	   2.	  98.000	  26.500	   2.944	   1.184	   1.061	   1.283
   1942	   2.	  98.000	  27.500	   2.563	   0.993	   0.937	   1.103
   1943	   2.	  98.000	  28.500	   2.780	   1.098	   1.161	   1.220
   1944	   2.	  98.000	  29.500	   2.075	   0.721	   0.674	   0.801
   1945	   2.	  98.000	  30.500	   2.544	   0.984	   1.142	   1.033
   1946	   2.	  98.000	  31.500	   2.483	   0.954	   0.952	   0.974
   1947	   2.	  98.000	  32.500	   2.721	   1.098	   1.106	   1.093
