year	num	seg	age	raw	std	res	ars
   1868	   1.	 125.000	   1.000	   1.334	   0.858	   0.882	   0.836
   1869	   1.	 125.000	   2.000	   2.123	   1.055	   1.127	   1.025
   1870	   1.	 125.000	   3.000	   1.439	   0.865	   0.836	   0.858
   1871	   1.	 125.000	   4.000	   1.155	   0.791	   0.859	   0.776
   1872	   1.	 125.000	   5.000	   1.883	   0.958	   1.054	   0.913
   1873	   1.	 125.000	   6.000	   2.184	   1.029	   1.035	   0.984
   1874	   1.	 125.000	   7.000	   1.900	   0.942	   0.924	   0.919
   1875	   1.	 125.000	   8.000	   1.916	   0.937	   0.963	   0.915
   1876	   1.	 125.000	   9.000	   1.780	   0.893	   0.918	   0.869
   1877	   1.	 125.000	  10.000	   2.108	   0.967	   1.014	   0.934
   1878	   2.	 128.000	   6.000	   2.009	   1.275	   1.237	   1.203
   1879	   2.	 128.000	   7.000	   1.720	   1.079	   0.912	   1.045
   1880	   4.	 128.500	   4.500	   1.739	   1.161	   1.115	   1.151
   1881	   5.	 126.000	   4.600	   2.004	   1.046	   0.905	   1.005
   1882	   5.	 126.000	   5.600	   2.046	   1.205	   1.128	   1.138
   1883	   5.	 126.000	   6.600	   2.079	   1.105	   0.967	   1.059
   1884	   5.	 126.000	   7.600	   1.654	   0.891	   0.920	   0.963
   1885	   5.	 126.000	   8.600	   1.933	   0.917	   0.886	   0.867
   1886	   5.	 126.000	   9.600	   1.774	   0.966	   0.992	   0.911
   1887	   5.	 126.000	  10.600	   2.030	   0.905	   0.880	   0.830
   1888	   5.	 126.000	  11.600	   1.573	   1.000	   0.977	   0.872
   1889	   5.	 126.000	  12.600	   1.569	   0.703	   0.717	   0.651
   1890	   6.	 123.000	  11.500	   1.403	   0.747	   0.940	   0.721
   1891	   6.	 123.000	  12.500	   1.353	   0.814	   1.002	   0.826
   1892	   6.	 123.000	  13.500	   1.542	   0.866	   1.039	   0.931
   1893	   6.	 123.000	  14.500	   2.034	   1.166	   1.211	   1.175
   1894	   6.	 123.000	  15.500	   2.002	   1.120	   1.044	   1.161
   1895	   6.	 123.000	  16.500	   1.987	   1.143	   1.018	   1.127
   1896	   6.	 123.000	  17.500	   2.033	   1.142	   1.060	   1.147
   1897	   6.	 123.000	  18.500	   2.065	   1.130	   1.110	   1.212
   1898	   6.	 123.000	  19.500	   1.914	   1.159	   0.986	   1.126
   1899	   6.	 123.000	  20.500	   1.677	   0.993	   0.927	   1.012
   1900	   6.	 123.000	  21.500	   1.486	   0.994	   0.966	   0.978
   1901	   6.	 123.000	  22.500	   1.605	   0.986	   1.062	   1.053
   1902	   8.	 119.250	  17.875	   1.752	   1.033	   1.031	   1.071
   1903	   8.	 119.250	  18.875	   1.887	   1.120	   1.109	   1.162
   1904	   8.	 119.250	  19.875	   1.952	   1.120	   1.075	   1.185
   1905	   9.	 116.889	  18.667	   1.868	   1.089	   0.965	   1.087
   1906	   9.	 116.889	  19.667	   1.827	   1.060	   1.004	   1.065
   1907	   9.	 116.889	  20.667	   1.535	   0.945	   0.885	   0.931
