year	num	seg	age	raw	std	res	ars
   1892	   1.	 117.000	   1.000	   3.041	   1.166	   1.070	   1.096
   1893	   2.	 117.000	   1.500	   2.626	   1.252	   1.025	   1.080
   1894	   2.	 117.000	   2.500	   2.831	   1.274	   1.035	   1.095
   1895	   2.	 117.000	   3.500	   3.389	   1.487	   1.224	   1.288
   1896	   3.	 116.000	   3.333	   2.609	   1.311	   1.058	   1.214
   1897	   3.	 116.000	   4.333	   2.394	   1.285	   0.945	   1.111
   1898	   3.	 116.000	   5.333	   2.352	   1.265	   1.006	   1.108
   1899	   3.	 116.000	   6.333	   2.319	   1.202	   0.991	   1.068
   1900	   3.	 116.000	   7.333	   1.593	   0.924	   0.952	   1.010
   1901	   3.	 116.000	   8.333	   1.350	   0.929	   0.870	   0.892
   1902	   3.	 116.000	   9.333	   1.309	   0.833	   0.915	   0.871
   1903	   3.	 116.000	  10.333	   1.716	   0.969	   1.069	   0.988
   1904	   3.	 116.000	  11.333	   1.187	   0.677	   0.756	   0.723
   1905	   3.	 116.000	  12.333	   1.128	   0.695	   0.932	   0.805
   1906	   3.	 116.000	  13.333	   1.181	   0.710	   0.999	   0.849
   1907	   3.	 116.000	  14.333	   1.503	   0.658	   0.921	   0.809
   1908	   3.	 116.000	  15.333	   1.187	   0.673	   0.911	   0.791
   1909	   3.	 116.000	  16.333	   0.842	   0.542	   0.787	   0.650
   1910	   3.	 116.000	  17.333	   0.919	   0.572	   0.870	   0.665
   1911	   3.	 116.000	  18.333	   0.738	   0.498	   0.867	   0.635
   1912	   3.	 116.000	  19.333	   0.160	   0.298	   0.809	   0.568
   1913	   3.	 116.000	  20.333	   0.747	   0.465	   0.968	   0.688
   1914	   3.	 116.000	  21.333	   0.213	   0.324	   0.819	   0.579
   1915	   4.	 110.000	  17.000	   1.260	   0.477	   1.048	   0.786
   1916	   4.	 110.000	  18.000	   2.356	   1.032	   1.330	   1.137
   1917	   4.	 110.000	  19.000	   2.188	   0.946	   0.982	   0.997
   1918	   4.	 110.000	  20.000	   1.536	   0.716	   0.767	   0.800
   1919	   4.	 110.000	  21.000	   2.259	   0.851	   1.152	   1.062
   1920	   5.	 106.000	  17.800	   2.286	   0.961	   0.988	   0.972
   1921	   6.	 103.167	  15.833	   2.638	   0.997	   1.067	   1.070
   1922	   6.	 103.167	  16.833	   3.503	   1.335	   1.319	   1.347
   1923	   6.	 103.167	  17.833	   3.504	   1.526	   1.133	   1.309
   1924	   6.	 103.167	  18.833	   3.641	   1.434	   1.138	   1.361
   1925	   6.	 103.167	  19.833	   3.204	   1.302	   1.038	   1.276
   1926	   6.	 103.167	  20.833	   3.748	   1.518	   1.185	   1.397
