year	num	seg	age	raw	std	res	ars
   1884	   1.	 126.000	   1.000	   0.380	   0.652	   0.793	   0.706
   1885	   1.	 126.000	   2.000	   0.707	   0.778	   1.008	   0.806
   1886	   1.	 126.000	   3.000	   0.785	   0.802	   0.938	   0.811
   1887	   1.	 126.000	   4.000	   1.077	   0.916	   1.038	   0.911
   1888	   1.	 126.000	   5.000	   1.034	   0.888	   0.938	   0.881
   1889	   1.	 126.000	   6.000	   1.002	   0.866	   0.941	   0.864
   1890	   1.	 126.000	   7.000	   0.807	   0.775	   0.868	   0.784
   1891	   1.	 126.000	   8.000	   0.992	   0.843	   0.992	   0.847
   1892	   1.	 126.000	   9.000	   1.255	   0.946	   1.039	   0.937
   1893	   1.	 126.000	  10.000	   1.973	   1.245	   1.256	   1.233
   1894	   1.	 126.000	  11.000	   1.699	   1.119	   0.947	   1.105
   1895	   2.	 118.000	   6.500	   1.981	   1.182	   1.123	   1.208
   1896	   2.	 118.000	   7.500	   1.971	   1.167	   1.042	   1.191
   1897	   2.	 118.000	   8.500	   2.530	   1.459	   1.335	   1.513
   1898	   2.	 118.000	   9.500	   2.432	   1.402	   1.084	   1.445
   1899	   3.	 115.667	   7.333	   2.031	   1.170	   0.921	   1.215
   1900	   4.	 114.000	   6.500	   2.048	   1.135	   1.053	   1.208
   1901	   4.	 114.000	   7.500	   1.802	   1.103	   1.010	   1.156
   1902	   4.	 114.000	   8.500	   1.882	   1.043	   1.017	   1.128
   1903	   4.	 114.000	   9.500	   1.929	   1.073	   1.005	   1.097
   1904	   4.	 114.000	  10.500	   1.882	   1.062	   1.002	   1.073
   1905	   4.	 114.000	  11.500	   2.024	   1.092	   1.076	   1.134
   1906	   4.	 114.000	  12.500	   1.956	   1.032	   0.960	   1.054
   1907	   5.	 111.600	  11.000	   1.327	   0.835	   0.934	   0.973
   1908	   5.	 111.600	  12.000	   1.429	   0.726	   0.918	   0.903
   1909	   5.	 111.600	  13.000	   1.087	   0.760	   0.864	   0.806
   1910	   5.	 111.600	  14.000	   1.296	   0.629	   0.911	   0.785
   1911	   5.	 111.600	  15.000	   1.119	   0.633	   0.837	   0.704
   1912	   5.	 111.600	  16.000	   0.580	   0.297	   0.467	   0.372
   1913	   5.	 111.600	  17.000	   1.138	   0.527	   1.035	   0.569
   1914	   5.	 111.600	  18.000	   0.978	   0.440	   0.837	   0.560
   1915	   5.	 111.600	  19.000	   1.405	   0.875	   1.114	   0.796
   1916	   5.	 111.600	  20.000	   1.564	   0.992	   1.007	   0.869
   1917	   6.	 108.000	  17.667	   2.153	   1.014	   0.923	   0.839
   1918	   7.	 105.714	  16.143	   2.068	   0.862	   0.787	   0.694
   1919	   7.	 105.714	  17.143	   2.036	   0.885	   1.080	   0.866
   1920	   7.	 105.714	  18.143	   2.315	   1.034	   1.109	   1.022
   1921	   7.	 105.714	  19.143	   2.623	   1.258	   1.174	   1.205
   1922	   7.	 105.714	  20.143	   2.734	   1.416	   1.275	   1.452
   1923	   8.	 103.375	  18.625	   2.199	   1.124	   0.877	   1.171
   1924	   8.	 103.375	  19.625	   2.400	   1.215	   1.123	   1.254
   1925	   9.	 101.111	  18.444	   2.155	   1.093	   0.956	   1.128
   1926	  10.	  99.400	  17.600	   2.404	   1.367	   1.172	   1.279
   1927	  10.	  99.400	  18.600	   2.371	   1.377	   1.075	   1.276
   1928	  10.	  99.400	  19.600	   2.209	   1.196	   1.021	   1.214
   1929	  10.	  99.400	  20.600	   2.194	   1.199	   0.946	   1.091
   1930	  10.	  99.400	  21.600	   1.954	   1.013	   0.890	   0.953
   1931	  11.	  97.545	  20.636	   1.931	   0.963	   1.060	   1.034
   1932	  11.	  97.545	  21.636	   1.854	   0.943	   0.948	   0.974
   1933	  11.	  97.545	  22.636	   1.834	   0.965	   0.976	   0.962
   1934	  11.	  97.545	  23.636	   1.836	   0.991	   0.981	   0.959
   1935	  11.	  97.545	  24.636	   1.672	   0.849	   0.890	   0.867
   1936	  11.	  97.545	  25.636	   1.769	   0.917	   1.029	   0.942
   1937	  11.	  97.545	  26.636	   1.940	   0.992	   1.033	   0.998
   1938	  11.	  97.545	  27.636	   2.138	   1.205	   1.175	   1.188
   1939	  11.	  97.545	  28.636	   1.766	   0.977	   0.864	   0.990
   1940	  12.	  95.333	  27.250	   1.825	   0.936	   1.048	   1.048
   1941	  12.	  95.333	  28.250	   2.003	   1.128	   1.135	   1.181
   1942	  12.	  95.333	  29.250	   1.802	   1.046	   0.913	   1.035
   1943	  12.	  95.333	  30.250	   1.616	   0.930	   0.915	   0.942
   1944	  12.	  95.333	  31.250	   1.427	   0.789	   0.811	   0.781
   1945	  12.	  95.333	  32.250	   1.530	   0.831	   1.054	   0.905
   1946	  12.	  95.333	  33.250	   1.395	   0.793	   0.824	   0.769
   1947	  12.	  95.333	  34.250	   0.947	   0.570	   0.729	   0.600
   1948	  12.	  95.333	  35.250	   1.360	   0.773	   1.099	   0.813
   1949	  12.	  95.333	  36.250	   1.313	   0.739	   0.887	   0.768
   1950	  12.	  95.333	  37.250	   1.077	   0.496	   0.774	   0.638
   1951	  13.	  92.462	  35.385	   1.204	   0.663	   0.853	   0.620
   1952	  13.	  92.462	  36.385	   1.019	   0.556	   0.835	   0.593
   1953	  13.	  92.462	  37.385	   1.121	   0.608	   0.838	   0.577
   1954	  13.	  92.462	  38.385	   1.526	   0.949	   1.208	   0.900
   1955	  13.	  92.462	  39.385	   1.802	   1.178	   1.180	   1.123
   1956	  13.	  92.462	  40.385	   2.020	   1.323	   1.218	   1.327
   1957	  13.	  92.462	  41.385	   1.888	   1.152	   0.949	   1.169
   1958	  13.	  92.462	  42.385	   2.150	   1.485	   1.354	   1.519
   1959	  13.	  92.462	  43.385	   1.944	   1.223	   0.848	   1.182
   1960	  13.	  92.462	  44.385	   2.200	   1.363	   1.260	   1.419
   1961	  13.	  92.462	  45.385	   2.064	   1.264	   0.991	   1.276
   1962	  13.	  92.462	  46.385	   1.799	   1.070	   0.923	   1.107
   1963	  13.	  92.462	  47.385	   1.813	   1.109	   1.057	   1.138
   1964	  13.	  92.462	  48.385	   1.573	   0.909	   0.870	   0.964
   1965	  13.	  92.462	  49.385	   1.617	   0.940	   1.014	   0.994
   1966	  13.	  92.462	  50.385	   1.428	   0.802	   0.816	   0.818
   1967	  13.	  92.462	  51.385	   1.596	   0.961	   1.037	   0.914
   1968	  13.	  92.462	  52.385	   1.919	   1.234	   1.284	   1.247
   1969	  13.	  92.462	  53.385	   1.702	   1.055	   0.885	   1.049
   1970	  13.	  92.462	  54.385	   1.848	   1.181	   1.161	   1.210
   1971	  13.	  92.462	  55.385	   1.561	   0.989	   0.880	   1.020
   1972	  13.	  92.462	  56.385	   1.488	   0.916	   0.951	   0.967
   1973	  13.	  92.462	  57.385	   1.494	   0.965	   1.005	   0.987
   1974	  13.	  92.462	  58.385	   1.460	   0.922	   0.947	   0.943
   1975	  13.	  92.462	  59.385	   1.458	   0.948	   0.980	   0.945
   1976	  13.	  92.462	  60.385	   1.435	   0.982	   0.992	   0.958
   1977	  13.	  92.462	  61.385	   1.114	   0.739	   0.806	   0.786
   1978	  13.	  92.462	  62.385	   1.285	   0.883	   1.097	   0.952
   1979	  13.	  92.462	  63.385	   1.173	   0.801	   0.889	   0.861
   1980	  13.	  92.462	  64.385	   1.368	   1.001	   1.136	   1.047
   1981	  13.	  92.462	  65.385	   1.470	   1.058	   0.999	   1.036
   1982	  13.	  92.462	  66.385	   1.461	   1.076	   1.057	   1.088
   1983	  13.	  92.462	  67.385	   1.389	   1.039	   1.015	   1.080
   1984	  13.	  92.462	  68.385	   1.107	   0.888	   0.870	   0.926
   1985	  13.	  92.462	  69.385	   1.440	   1.100	   1.150	   1.109
   1986	  13.	  92.462	  70.385	   1.533	   1.180	   1.073	   1.156
   1987	  13.	  92.462	  71.385	   1.182	   0.943	   0.823	   0.927
   1988	  13.	  92.462	  72.385	   1.230	   1.045	   1.068	   1.024
   1989	  13.	  92.462	  73.385	   1.263	   1.018	   0.990	   1.011
   1990	  13.	  92.462	  74.385	   1.520	   1.279	   1.246	   1.277
   1991	  13.	  92.462	  75.385	   1.111	   0.942	   0.789	   0.969
   1992	  13.	  92.462	  76.385	   0.998	   0.877	   0.904	   0.887
   1993	  13.	  92.462	  77.385	   1.308	   1.169	   1.211	   1.146
   1994	  13.	  92.462	  78.385	   1.191	   1.094	   1.007	   1.111
   1995	  13.	  92.462	  79.385	   0.844	   0.886	   0.877	   0.954
   1996	  13.	  92.462	  80.385	   0.891	   0.892	   0.949	   0.921
   1997	  13.	  92.462	  81.385	   0.745	   0.880	   0.922	   0.873
   1998	  13.	  92.462	  82.385	   0.726	   0.829	   0.880	   0.800
   1999	  13.	  92.462	  83.385	   0.809	   0.893	   1.045	   0.910
   2000	  13.	  92.462	  84.385	   0.910	   0.991	   1.078	   1.022
   2001	  13.	  92.462	  85.385	   0.870	   0.985	   0.956	   0.975
   2002	  13.	  92.462	  86.385	   0.826	   0.954	   1.011	   0.998
   2003	  13.	  92.462	  87.385	   0.743	   0.915	   0.946	   0.948
   2004	  13.	  92.462	  88.385	   0.628	   0.883	   0.940	   0.909
   2005	  12.	  91.000	  87.583	   0.740	   0.895	   1.012	   0.953
   2006	  12.	  91.000	  88.583	   0.592	   0.957	   1.023	   0.996
   2007	  11.	  91.091	  89.455	   0.595	   0.941	   1.008	   1.010
   2008	  10.	  91.900	  91.100	   0.764	   0.998	   0.975	   0.986
   2009	   7.	  92.857	  92.714	   0.717	   1.051	   1.002	   0.997
   2010	   1.	  71.000	  71.000	   0.467	   0.797	   0.781	   0.787
