 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00746         0.00427         0.02101
  0.01351       0.03436         0.01130         0.05346
  0.02703       0.04945         0.01230         0.05844
  0.04054       0.02561         0.00595         0.02670
  0.05405       0.00925         0.00321         0.01251
  0.06757       0.03166         0.01205         0.03828
  0.08108       0.04711         0.01779         0.05462
  0.09459       0.02196         0.01167         0.03028
  0.10811       0.01099         0.00904         0.02052
  0.12162       0.00887         0.00637         0.01406
  0.13514       0.01141         0.00700         0.01239
  0.14865       0.01780         0.01520         0.02346
  0.16216       0.01151         0.01036         0.01540
  0.17568       0.00337         0.00325         0.00351
  0.18919       0.00383         0.00545         0.00573
  0.20270       0.00792         0.00993         0.01025
  0.21622       0.01078         0.01270         0.01244
  0.22973       0.01383         0.01783         0.01567
  0.24324       0.01223         0.01651         0.01351
  0.25676       0.00761         0.00864         0.00628
  0.27027       0.00614         0.00722         0.00496
  0.28378       0.00580         0.00942         0.00611
  0.29730       0.00485         0.00803         0.00490
  0.31081       0.00459         0.00570         0.00321
  0.32432       0.00433         0.00605         0.00345
  0.33784       0.00496         0.01244         0.00653
  0.35135       0.00757         0.01717         0.00938
  0.36486       0.00723         0.01281         0.00691
  0.37838       0.00800         0.01179         0.00617
  0.39189       0.01223         0.01806         0.00844
  0.40541       0.01549         0.02400         0.01059
  0.41892       0.00922         0.01462         0.00603
  0.43243       0.00114         0.00144         0.00050
  0.44595       0.00073         0.00028        -0.00009
  0.45946       0.00316         0.00366         0.00160
  0.47297       0.00446         0.00643         0.00285
  0.48649       0.00412         0.00727         0.00316
  0.50000       0.00585         0.01060         0.00436
