 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000      -0.00031        -0.00022        -0.00038
  0.01667       0.00118         0.00073         0.00141
  0.03333       0.00415         0.00214         0.00414
  0.05000       0.00679         0.00363         0.00690
  0.06667       0.01503         0.00937         0.01645
  0.08333       0.02613         0.01722         0.02936
  0.10000       0.01505         0.01079         0.01794
  0.11667       0.00406         0.00335         0.00507
  0.13333       0.00463         0.00379         0.00524
  0.15000       0.00617         0.00540         0.00729
  0.16667       0.00396         0.00386         0.00502
  0.18333       0.00159         0.00173         0.00210
  0.20000       0.00187         0.00201         0.00222
  0.21667       0.00423         0.00433         0.00436
  0.23333       0.00845         0.00940         0.00901
  0.25000       0.00972         0.01146         0.01068
  0.26667       0.00472         0.00553         0.00506
  0.28333       0.00294         0.00340         0.00274
  0.30000       0.00418         0.00480         0.00368
  0.31667       0.00338         0.00409         0.00305
  0.33333       0.00239         0.00349         0.00255
  0.35000       0.00176         0.00266         0.00188
  0.36667       0.00083         0.00124         0.00089
  0.38333       0.00114         0.00129         0.00083
  0.40000       0.00281         0.00271         0.00170
  0.41667       0.00218         0.00218         0.00134
  0.43333       0.00456         0.00557         0.00345
  0.45000       0.00817         0.00989         0.00611
  0.46667       0.00780         0.00945         0.00584
  0.48333       0.00802         0.00897         0.00544
  0.50000       0.00677         0.00673         0.00402
