year	num	seg	age	raw	std	res	ars
   1870	   2.	 139.000	   1.000	   2.016	   0.750	   0.839	   0.784
   1871	   2.	 139.000	   2.000	   2.656	   0.922	   1.051	   0.936
   1872	   2.	 139.000	   3.000	   2.627	   0.895	   0.938	   0.902
   1873	   2.	 139.000	   4.000	   2.936	   1.019	   1.072	   1.020
   1874	   2.	 139.000	   5.000	   2.845	   0.988	   0.972	   0.984
   1875	   2.	 139.000	   6.000	   2.896	   1.012	   1.010	   1.002
   1876	   2.	 139.000	   7.000	   3.047	   1.075	   1.053	   1.055
   1877	   2.	 139.000	   8.000	   2.799	   0.945	   0.910	   0.942
   1878	   2.	 139.000	   9.000	   3.029	   1.038	   1.060	   1.028
   1879	   2.	 139.000	  10.000	   3.168	   1.091	   1.056	   1.072
   1880	   2.	 139.000	  11.000	   2.725	   0.886	   0.866	   0.907
   1881	   2.	 139.000	  12.000	   3.302	   1.145	   1.203	   1.150
   1882	   2.	 139.000	  13.000	   3.132	   1.088	   1.000	   1.085
   1883	   2.	 139.000	  14.000	   2.971	   1.006	   0.958	   1.007
   1884	   2.	 139.000	  15.000	   2.984	   1.003	   0.996	   1.000
   1885	   3.	 135.667	  11.000	   3.070	   1.144	   1.142	   1.140
   1886	   3.	 135.667	  12.000	   3.599	   1.122	   1.171	   1.243
   1887	   3.	 135.667	  13.000	   3.128	   1.025	   0.892	   1.032
   1888	   3.	 135.667	  14.000	   3.089	   0.976	   0.953	   0.972
   1889	   3.	 135.667	  15.000	   3.386	   1.009	   1.076	   1.061
   1890	   3.	 135.667	  16.000	   3.395	   1.156	   1.044	   1.078
   1891	   3.	 135.667	  17.000	   2.865	   1.007	   1.073	   1.116
   1892	   3.	 135.667	  18.000	   3.473	   1.158	   1.071	   1.134
   1893	   3.	 135.667	  19.000	   2.831	   0.964	   0.929	   1.006
   1894	   3.	 135.667	  20.000	   2.983	   0.951	   0.930	   0.934
   1895	   3.	 135.667	  21.000	   2.717	   0.862	   0.917	   0.879
   1896	   4.	 128.000	  16.750	   2.836	   0.925	   0.961	   0.895
   1897	   4.	 128.000	  17.750	   3.190	   0.924	   1.024	   0.967
   1898	   4.	 128.000	  18.750	   3.251	   0.928	   0.964	   0.947
   1899	   4.	 128.000	  19.750	   3.083	   0.872	   0.960	   0.931
   1900	   4.	 128.000	  20.750	   3.143	   1.062	   1.081	   1.043
   1901	   4.	 128.000	  21.750	   3.702	   1.230	   1.241	   1.257
   1902	   4.	 128.000	  22.750	   3.216	   1.059	   0.966	   1.113
   1903	   4.	 128.000	  23.750	   3.499	   1.145	   1.070	   1.132
   1904	   4.	 128.000	  24.750	   3.163	   1.055	   1.062	   1.135
   1905	   4.	 128.000	  25.750	   2.982	   0.986	   0.950	   1.027
   1906	   4.	 128.000	  26.750	   2.842	   0.929	   0.918	   0.934
   1907	   4.	 128.000	  27.750	   2.940	   0.971	   1.009	   0.974
   1908	   4.	 128.000	  28.750	   2.737	   0.888	   0.880	   0.864
   1909	   4.	 128.000	  29.750	   2.687	   0.889	   0.954	   0.879
   1910	   5.	 123.800	  24.800	   2.626	   0.944	   1.019	   0.954
   1911	   5.	 123.800	  25.800	   2.048	   0.687	   0.794	   0.762
   1912	   5.	 123.800	  26.800	   2.603	   0.923	   1.062	   0.935
   1913	   5.	 123.800	  27.800	   2.752	   0.994	   0.997	   0.962
   1914	   5.	 123.800	  28.800	   2.544	   0.913	   1.041	   1.020
   1915	   5.	 123.800	  29.800	   1.968	   0.871	   0.857	   0.868
   1916	   5.	 123.800	  30.800	   2.787	   1.005	   1.097	   1.025
   1917	   5.	 123.800	  31.800	   3.040	   1.105	   1.089	   1.103
   1918	   6.	 118.833	  27.500	   2.548	   0.992	   0.907	   0.966
   1919	   6.	 118.833	  28.500	   2.682	   1.040	   1.047	   1.029
   1920	   6.	 118.833	  29.500	   3.039	   1.003	   0.952	   0.969
   1921	   6.	 118.833	  30.500	   2.693	   0.961	   1.047	   1.031
   1922	   7.	 114.143	  27.143	   2.049	   0.810	   0.843	   0.858
   1923	   7.	 114.143	  28.143	   1.972	   0.778	   0.895	   0.815
   1924	   7.	 114.143	  29.143	   2.498	   1.046	   1.166	   1.066
   1925	   7.	 114.143	  30.143	   2.397	   0.980	   0.994	   1.031
   1926	   7.	 114.143	  31.143	   2.392	   0.969	   0.986	   1.004
   1927	   7.	 114.143	  32.143	   2.769	   1.153	   1.158	   1.158
   1928	   8.	 111.125	  29.125	   2.498	   1.177	   1.065	   1.152
   1929	  10.	 105.400	  24.300	   2.267	   1.017	   0.954	   1.041
   1930	  10.	 105.400	  25.300	   2.013	   0.969	   0.914	   0.938
   1931	  10.	 105.400	  26.300	   2.169	   0.966	   0.979	   0.945
   1932	  10.	 105.400	  27.300	   2.196	   0.999	   1.007	   0.978
   1933	  10.	 105.400	  28.300	   2.294	   1.101	   1.036	   1.025
   1934	  13.	  98.462	  22.769	   2.176	   1.138	   1.070	   1.084
   1935	  15.	  95.467	  20.733	   2.224	   1.130	   1.070	   1.116
   1936	  16.	  94.375	  20.438	   1.948	   0.926	   0.911	   0.977
   1937	  19.	  92.158	  18.211	   1.716	   0.897	   0.955	   0.943
   1938	  19.	  92.158	  19.211	   2.084	   1.152	   1.218	   1.183
   1939	  19.	  92.158	  20.211	   1.681	   0.881	   0.843	   0.948
   1940	  19.	  92.158	  21.211	   1.822	   0.975	   1.027	   0.999
   1941	  19.	  92.158	  22.211	   1.903	   1.029	   1.025	   1.026
   1942	  22.	  88.773	  20.182	   1.986	   1.102	   1.063	   1.078
   1943	  23.	  87.826	  20.304	   1.813	   1.001	   0.971	   1.015
   1944	  23.	  87.826	  21.304	   1.803	   0.968	   0.958	   0.968
   1945	  24.	  86.792	  21.417	   1.961	   1.105	   1.091	   1.074
   1946	  25.	  85.880	  21.560	   1.692	   0.889	   0.865	   0.906
   1947	  25.	  85.880	  22.560	   1.543	   0.780	   0.857	   0.801
   1948	  26.	  84.769	  22.692	   1.748	   0.916	   1.024	   0.917
   1949	  28.	  83.250	  22.071	   1.763	   0.900	   0.953	   0.908
   1950	  28.	  83.250	  23.071	   2.040	   1.080	   1.103	   1.053
   1951	  29.	  82.483	  23.276	   2.023	   1.106	   1.066	   1.096
   1952	  29.	  82.483	  24.276	   1.899	   0.984	   0.925	   0.980
   1953	  30.	  81.867	  24.467	   2.026	   1.032	   1.024	   1.014
   1954	  33.	  79.909	  23.242	   1.893	   0.983	   0.976	   0.985
   1955	  33.	  79.909	  24.242	   2.002	   1.068	   1.063	   1.055
   1956	  35.	  78.629	  23.857	   1.890	   0.957	   0.939	   0.971
   1957	  36.	  78.000	  24.194	   1.966	   1.057	   1.090	   1.074
   1958	  37.	  77.514	  24.541	   2.154	   1.165	   1.153	   1.190
   1959	  37.	  77.514	  25.541	   1.900	   1.008	   0.933	   1.042
   1960	  38.	  76.947	  25.868	   1.764	   0.997	   0.995	   1.019
   1961	  39.	  76.256	  26.205	   1.854	   1.032	   1.033	   1.044
   1962	  39.	  76.256	  27.205	   1.495	   0.827	   0.801	   0.823
   1963	  39.	  76.256	  28.205	   1.695	   0.922	   1.011	   0.916
   1964	  39.	  76.256	  29.205	   1.482	   0.820	   0.867	   0.817
   1965	  39.	  76.256	  30.205	   1.459	   0.822	   0.909	   0.806
   1966	  39.	  76.256	  31.205	   1.430	   0.852	   0.917	   0.808
   1967	  39.	  76.256	  32.205	   1.680	   1.001	   1.076	   0.973
   1968	  39.	  76.256	  33.205	   1.786	   1.054	   1.076	   1.062
   1969	  39.	  76.256	  34.205	   1.748	   0.990	   0.965	   1.001
   1970	  39.	  76.256	  35.205	   1.743	   1.047	   1.069	   1.070
   1971	  39.	  76.256	  36.205	   1.807	   1.076	   1.051	   1.090
   1972	  39.	  76.256	  37.205	   1.851	   1.117	   1.099	   1.148
   1973	  39.	  76.256	  38.205	   1.867	   1.103	   1.023	   1.106
   1974	  40.	  75.450	  38.250	   1.726	   1.005	   0.937	   0.998
   1975	  40.	  75.450	  39.250	   1.688	   1.001	   0.993	   0.993
   1976	  40.	  75.450	  40.250	   1.629	   0.983	   0.971	   0.968
   1977	  40.	  75.450	  41.250	   1.380	   0.764	   0.761	   0.735
   1978	  40.	  75.450	  42.250	   1.502	   0.874	   0.978	   0.833
   1979	  40.	  75.450	  43.250	   1.591	   0.893	   0.962	   0.871
   1980	  40.	  75.450	  44.250	   1.697	   1.000	   1.083	   1.014
   1981	  40.	  75.450	  45.250	   1.770	   1.058	   1.031	   1.040
   1982	  40.	  75.450	  46.250	   1.849	   1.082	   1.048	   1.070
   1983	  41.	  74.415	  46.122	   1.947	   1.176	   1.201	   1.233
   1984	  41.	  74.415	  47.122	   1.942	   1.158	   1.099	   1.227
   1985	  41.	  74.415	  48.122	   1.913	   1.165	   1.095	   1.219
   1986	  41.	  74.415	  49.122	   1.718	   1.092	   1.000	   1.124
   1987	  41.	  74.415	  50.122	   1.502	   0.894	   0.846	   0.916
   1988	  41.	  74.415	  51.122	   1.551	   0.987	   1.047	   1.002
   1989	  41.	  74.415	  52.122	   1.564	   1.030	   1.050	   1.052
   1990	  41.	  74.415	  53.122	   1.484	   0.932	   0.920	   0.949
   1991	  41.	  74.415	  54.122	   1.279	   0.835	   0.859	   0.828
   1992	  41.	  74.415	  55.122	   1.433	   0.973	   1.073	   0.980
   1993	  41.	  74.415	  56.122	   1.442	   0.943	   0.967	   0.957
   1994	  41.	  74.415	  57.122	   1.475	   0.978	   1.019	   0.996
   1995	  41.	  74.415	  58.122	   1.448	   0.968	   0.995	   0.994
   1996	  41.	  74.415	  59.122	   1.265	   0.881	   0.871	   0.867
   1997	  41.	  74.415	  60.122	   1.277	   0.914	   0.954	   0.880
   1998	  41.	  74.415	  61.122	   1.259	   0.956	   0.984	   0.919
   1999	  41.	  74.415	  62.122	   1.294	   0.995	   1.010	   0.966
   2000	  40.	  74.625	  63.025	   1.319	   1.000	   0.993	   0.975
   2001	  39.	  73.846	  62.949	   1.402	   1.127	   1.142	   1.127
   2002	  39.	  73.846	  63.949	   1.408	   1.163	   1.127	   1.195
   2003	  39.	  73.846	  64.949	   1.367	   1.174	   1.100	   1.207
   2004	  39.	  73.846	  65.949	   1.093	   0.913	   0.841	   0.960
   2005	  37.	  74.595	  67.270	   1.106	   0.975	   0.977	   0.956
   2006	  37.	  74.595	  68.270	   1.049	   0.940	   0.955	   0.931
   2007	  37.	  74.595	  69.270	   1.022	   0.967	   1.046	   1.008
   2008	  33.	  73.152	  68.182	   0.978	   0.946	   0.926	   0.931
   2009	  33.	  73.152	  69.182	   0.797	   0.845	   0.864	   0.823
   2010	  27.	  71.074	  67.222	   0.679	   0.819	   0.853	   0.749
   2011	  26.	  71.885	  68.885	   0.705	   0.914	   0.973	   0.836
   2012	  23.	  71.174	  68.783	   0.575	   0.837	   0.893	   0.800
   2013	  18.	  72.778	  70.722	   0.608	   0.927	   1.007	   0.899
   2014	  12.	  68.750	  66.667	   0.708	   1.009	   1.092	   1.037
   2015	  12.	  68.750	  67.667	   0.572	   0.980	   1.005	   1.027
   2016	   9.	  74.889	  74.444	   0.461	   0.961	   1.041	   1.057
   2017	   4.	  68.750	  68.750	   0.668	   1.205	   1.126	   1.156
