 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  22545     1922  2009     0     4   -67     0     0     1     1     1
   2  32189     1936  2009     0     4   -67     0     0     1     1     2
   3  50406     1939  2009     0     4   -67     0     0     1     1     3
   4  50555     1919  2009     0     4   -67     0     0     1     1     4
   5  60287     1947  2009     0     4   -67     0     0     1     1     5
   6  70433     1914  2009     0     4   -67     0     0     1     1     6
   7  80711     1906  2009     0     4   -67     0     0     1     1     7
   8  82218     1919  2009     0     4   -67     0     0     1     1     8
   9  90287     1920  2009     0     4   -67     0     0     1     1     9
  10  91377     1927  2009     0     4   -67     0     0     1     1    10
  11  102412    1929  2009     0     4   -67     0     0     1     1    11
  12  110128    1953  2009     0     4   -67     0     0     1     1     0
  13  110379    1970  2009     0     4   -67     0     0     1     1     0
  14  110791    1925  2009     0     4   -67     0     0     1     1    14
  15  110798    1933  2009     0     4   -67     0     0     1     1    14
  16  110914    1925  2009     0     4   -67     0     0     1     1    15
  17  111014    1926  2008     0     4   -67     0     0     1     1    16
  18  111030    1923  2009     0     4   -67     0     0     1     1    17
  19  111051    1923  2009     0     4   -67     0     0     1     1    18
  20  111134    1918  2005     0     4   -67     0     0     1     1    19
  21  121212    1908  2009     0     4   -67     0     0     1     1    20
  22  121284    1922  2009     0     4   -67     0     0     1     1    21
  23  131304    1930  2009     0     4   -67     0     0     1     1    22
  24  160665    1954  2009     0     4   -67     0     0     1     1     0
  25  160777    1949  2009     0     4   -67     0     0     1     1    24
  26  160930    1925  2009     0     4   -67     0     0     1     1    25
  27  170994    1960  2009     0     4   -67     0     0     1     1     0
  28  172229    1880  2009     0     4   -67     0     0     1     1    27
  29  180751    1943  2009     0     4   -67     0     0     1     1    28
  30  180794    1948  2009     0     4   -67     0     0     1     1    29
  31  190018    1953  2009     0     4   -67     0     0     1     1     0
  32  190438    1936  2009     0     4   -67     0     0     1     1    31
  33  200038    1955  2009     0     4   -67     0     0     1     1     0
  34  200389    1950  2009     0     4   -67     0     0     1     1    33
  35  190075A   1957  2015     0     4   -67     0     0     1     1     0
  36  82368     1870  2009     0     4   -67     0     0     1     1    35
  37  130579    1924  2009     0     4   -67     0     0     1     1    36
