year	num	seg	age	raw	std	res	ars
   1913	   1.	  93.000	   1.000	   1.824	   0.885	   0.964	   0.953
   1914	   1.	  93.000	   2.000	   1.331	   0.769	   0.865	   0.839
   1915	   2.	  94.000	   2.000	   1.851	   0.712	   0.871	   0.777
   1916	   2.	  94.000	   3.000	   2.221	   0.911	   1.118	   0.986
   1917	   3.	  93.667	   3.000	   2.023	   0.843	   0.954	   0.948
   1918	   4.	  94.500	   3.250	   1.855	   0.910	   0.984	   0.955
   1919	   4.	  94.500	   4.250	   1.981	   0.878	   1.124	   1.100
   1920	   5.	  93.200	   4.400	   1.734	   0.731	   0.819	   0.882
   1921	   6.	  92.500	   4.667	   1.942	   1.165	   1.256	   1.187
   1922	   9.	  92.111	   4.111	   2.358	   1.286	   1.102	   1.218
   1923	   9.	  92.111	   5.111	   2.057	   1.001	   0.793	   0.927
   1924	  10.	  92.000	   5.600	   1.909	   0.983	   0.982	   0.941
   1925	  10.	  92.000	   6.600	   2.008	   0.903	   0.824	   0.790
   1926	  11.	  91.545	   7.000	   2.020	   0.858	   0.903	   0.779
   1927	  11.	  91.545	   8.000	   2.067	   1.007	   1.111	   0.980
   1928	  13.	  90.077	   7.769	   2.247	   1.128	   1.061	   1.052
   1929	  14.	  89.429	   8.214	   2.371	   1.377	   1.230	   1.264
   1930	  15.	  88.800	   8.667	   2.076	   0.997	   0.793	   0.955
   1931	  17.	  87.882	   8.647	   2.170	   1.055	   1.073	   1.048
   1932	  18.	  87.667	   9.167	   1.963	   0.764	   0.823	   0.855
   1933	  20.	  87.150	   9.250	   1.891	   0.722	   0.842	   0.757
   1934	  20.	  87.150	  10.250	   1.902	   0.711	   0.838	   0.694
   1935	  22.	  86.000	  10.318	   2.132	   0.916	   1.067	   0.885
   1936	  22.	  86.000	  11.318	   2.052	   0.856	   0.934	   0.867
   1937	  24.	  85.417	  11.375	   2.194	   0.969	   1.000	   0.922
   1938	  26.	  84.385	  11.500	   2.324	   1.094	   1.126	   1.081
   1939	  27.	  83.889	  12.074	   1.959	   0.706	   0.750	   0.802
   1940	  29.	  82.931	  12.241	   2.326	   1.047	   1.235	   1.118
   1941	  29.	  82.931	  13.241	   2.318	   1.013	   1.031	   1.105
   1942	  29.	  82.931	  14.241	   2.330	   1.126	   1.090	   1.156
   1943	  30.	  82.433	  14.767	   1.921	   0.818	   0.780	   0.877
   1944	  31.	  81.903	  15.290	   2.117	   0.982	   1.079	   1.008
   1945	  32.	  81.406	  15.813	   2.290	   1.185	   1.176	   1.183
   1946	  32.	  81.406	  16.812	   2.192	   1.057	   0.964	   1.078
   1947	  32.	  81.406	  17.813	   2.318	   1.213	   1.191	   1.241
   1948	  32.	  81.406	  18.813	   2.305	   1.248	   1.105	   1.253
   1949	  33.	  80.545	  19.242	   2.337	   1.315	   1.163	   1.319
   1950	  39.	  77.538	  17.282	   1.878	   1.027	   0.889	   1.084
   1951	  39.	  77.538	  18.282	   1.786	   0.936	   0.930	   0.984
   1952	  41.	  76.585	  18.390	   1.805	   0.922	   0.942	   0.935
