 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00397         0.00187         0.00609
  0.01786       0.00962         0.00334         0.01108
  0.03571       0.03735         0.00795         0.02854
  0.05357       0.06489         0.01071         0.03583
  0.07143       0.05111         0.00866         0.02591
  0.08929       0.03406         0.00688         0.01712
  0.10714       0.04041         0.00807         0.01829
  0.12500       0.03490         0.01067         0.02017
  0.14286       0.03547         0.01775         0.02819
  0.16071       0.02980         0.01382         0.02189
  0.17857       0.01103         0.00449         0.00712
  0.19643       0.00747         0.00523         0.00636
  0.21429       0.01033         0.00804         0.00891
  0.23214       0.00675         0.00579         0.00529
  0.25000       0.00288         0.00268         0.00203
  0.26786       0.00206         0.00247         0.00211
  0.28571       0.00289         0.00340         0.00242
  0.30357       0.00346         0.00466         0.00257
  0.32143       0.00279         0.00443         0.00229
  0.33929       0.00376         0.00832         0.00417
  0.35714       0.00296         0.00757         0.00366
  0.37500       0.00128         0.00285         0.00134
  0.39286       0.00278         0.00851         0.00378
  0.41071       0.00720         0.02029         0.00891
  0.42857       0.00819         0.01964         0.00921
  0.44643       0.00430         0.00903         0.00441
  0.46429       0.00206         0.00407         0.00196
  0.48214       0.00199         0.00382         0.00200
  0.50000       0.00242         0.00560         0.00283
