 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  100990    1871  2009     0     4   -67     0     0     1     1     1
   2  90546     1901  2009     0     4   -67     0     0     1     1     2
   3  60315     1932  2009     0     4   -67     0     0     1     1     3
   4  80745     1874  2009     0     4   -67     0     0     1     1     4
   5  70471     1878  2009     0     4   -67     0     0     1     1     5
   6  80451     1895  2009     0     4   -67     0     0     1     1     6
   7  50322     1881  2009     0     4   -67     0     0     1     1     7
   8  101212    1891  2009     0     4   -67     0     0     1     1     8
   9  70519     1895  2009     0     4   -67     0     0     1     1     9
  10  70536     1897  2009     0     4   -67     0     0     1     1    10
  11  60078     1886  2009     0     4   -67     0     0     1     1    11
  12  70371     1897  2009     0     4   -67     0     0     1     1    12
  13  60121     1877  2009     0     4   -67     0     0     1     1    13
  14  80089     1882  2009     0     4   -67     0     0     1     1    14
  15  60377     1895  2009     0     4   -67     0     0     1     1    15
  16  90558     1887  2009     0     4   -67     0     0     1     1    16
  17  70559     1895  2009     0     4   -67     0     0     1     1    17
  18  90283     1925  2009     0     4   -67     0     0     1     1    18
  19  50314     1875  2009     0     4   -67     0     0     1     1    19
  20  162295    1871  2009     0     4   -67     0     0     1     1    20
  21  112142    1882  2008     0     4   -67     0     0     1     1    21
  22  180996    1880  2009     0     4   -67     0     0     1     1    22
  23  142363    1969  2009     0     4   -67     0     0     1     1     0
  24  142539    1898  2009     0     4   -67     0     0     1     1    24
  25  162398    1868  2009     0     4   -67     0     0     1     1    25
  26  72232     1893  2009     0     4   -67     0     0     1     1    26
  27  92046     1885  2009     0     4   -67     0     0     1     1    27
  28  52111     1896  2009     0     4   -67     0     0     1     1    28
  29  60016     1923  2009     0     4   -67     0     0     1     1    29
  30  132206    1866  2009     0     4   -67     0     0     1     1    30
  31  82058     1933  2009     0     4   -67     0     0     1     1    31
  32  32138A    1860  2015     0     4   -67     0     0     1     1    32
  33  102371    1878  2009     0     4   -67     0     0     1     1    33
  34  172036    1868  2009     0     4   -67     0     0     1     1    34
  35  70069     1871  2009     0     4   -67     0     0     1     1    35
  36  90752     1806  2009     0     4   -67     0     0     1     1    36
  37  102271    1792  2009     0     4   -67     0     0     1     1    37
