 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00734         0.00175         0.01379
  0.00676       0.01728         0.00281         0.01949
  0.01351       0.04586         0.00760         0.05094
  0.02027       0.04800         0.00761         0.05050
  0.02703       0.04377         0.00669         0.03889
  0.03378       0.05675         0.01077         0.06085
  0.04054       0.04639         0.01135         0.06006
  0.04730       0.02662         0.00695         0.03352
  0.05405       0.03088         0.00636         0.02719
  0.06081       0.03108         0.00660         0.02817
  0.06757       0.01816         0.00413         0.01573
  0.07432       0.01506         0.00410         0.01288
  0.08108       0.00994         0.00320         0.01017
  0.08784       0.01154         0.00431         0.01212
  0.09459       0.02003         0.00712         0.01832
  0.10135       0.01354         0.00412         0.01003
  0.10811       0.01308         0.00399         0.00874
  0.11486       0.01402         0.00465         0.01013
  0.12162       0.01098         0.00396         0.00887
  0.12838       0.00455         0.00147         0.00374
  0.13514       0.00449         0.00143         0.00297
  0.14189       0.00797         0.00310         0.00535
  0.14865       0.01763         0.01015         0.01569
  0.15541       0.01731         0.01299         0.01863
  0.16216       0.00759         0.00676         0.00878
  0.16892       0.00483         0.00546         0.00645
  0.17568       0.00689         0.00759         0.00898
  0.18243       0.00656         0.00626         0.00769
  0.18919       0.00627         0.00585         0.00651
  0.19595       0.01068         0.00945         0.00922
  0.20270       0.01525         0.01459         0.01362
  0.20946       0.00892         0.00780         0.00744
  0.21622       0.00392         0.00370         0.00333
  0.22297       0.00312         0.00366         0.00321
  0.22973       0.00306         0.00476         0.00382
  0.23649       0.00412         0.00670         0.00495
  0.24324       0.00482         0.00588         0.00399
  0.25000       0.00483         0.00491         0.00331
  0.25676       0.00638         0.00716         0.00503
  0.26351       0.01115         0.01204         0.00862
  0.27027       0.00933         0.00978         0.00691
  0.27703       0.00367         0.00498         0.00313
  0.28378       0.00261         0.00291         0.00173
  0.29054       0.00473         0.00489         0.00311
  0.29730       0.00380         0.00390         0.00227
  0.30405       0.00285         0.00483         0.00262
  0.31081       0.00302         0.00714         0.00396
  0.31757       0.00451         0.00976         0.00539
  0.32432       0.00473         0.00708         0.00411
  0.33108       0.00324         0.00467         0.00260
  0.33784       0.00231         0.00289         0.00165
  0.34459       0.00564         0.00632         0.00332
  0.35135       0.00652         0.00803         0.00374
  0.35811       0.00298         0.00485         0.00205
  0.36486       0.00207         0.00420         0.00198
  0.37162       0.00169         0.00276         0.00142
  0.37838       0.00240         0.00253         0.00124
  0.38514       0.00392         0.00508         0.00240
  0.39189       0.00546         0.00760         0.00354
  0.39865       0.00579         0.00725         0.00314
  0.40541       0.00521         0.00753         0.00286
  0.41216       0.00327         0.00536         0.00209
  0.41892       0.00475         0.00963         0.00396
  0.42568       0.00792         0.01579         0.00664
  0.43243       0.00710         0.01342         0.00543
  0.43919       0.00574         0.01063         0.00406
  0.44595       0.00257         0.00405         0.00157
  0.45270       0.00153         0.00211         0.00091
  0.45946       0.00205         0.00376         0.00153
  0.46622       0.00252         0.00436         0.00186
  0.47297       0.00182         0.00244         0.00107
  0.47973       0.00167         0.00302         0.00113
  0.48649       0.00273         0.00410         0.00139
  0.49324       0.00395         0.00605         0.00229
  0.50000       0.00440         0.00732         0.00298
