year	num	seg	age	raw	std	res	ars
   1792	   1.	 218.000	   1.000	   0.604	   0.957	   0.983	   0.981
   1793	   1.	 218.000	   2.000	   0.801	   1.124	   1.118	   1.112
   1794	   1.	 218.000	   3.000	   0.415	   0.765	   0.766	   0.841
   1795	   1.	 218.000	   4.000	   0.550	   0.865	   1.002	   0.911
   1796	   1.	 218.000	   5.000	   0.689	   0.968	   1.053	   1.005
   1797	   1.	 218.000	   6.000	   0.550	   0.841	   0.895	   0.904
   1798	   1.	 218.000	   7.000	   0.673	   0.925	   1.020	   0.967
   1799	   1.	 218.000	   8.000	   0.568	   0.832	   0.909	   0.895
   1800	   1.	 218.000	   9.000	   0.963	   1.125	   1.192	   1.133
   1801	   1.	 218.000	  10.000	   0.568	   0.811	   0.803	   0.891
   1802	   1.	 218.000	  11.000	   0.568	   0.802	   0.924	   0.863
   1803	   1.	 218.000	  12.000	   0.330	   0.638	   0.804	   0.723
   1804	   1.	 218.000	  13.000	   0.373	   0.658	   0.909	   0.744
   1805	   1.	 218.000	  14.000	   0.190	   0.544	   0.803	   0.648
   1806	   2.	 211.000	   8.000	   0.988	   1.001	   1.078	   0.869
   1807	   2.	 211.000	   9.000	   1.377	   1.318	   1.257	   1.182
   1808	   2.	 211.000	  10.000	   0.967	   0.978	   0.823	   0.942
   1809	   2.	 211.000	  11.000	   1.055	   1.029	   1.009	   0.980
   1810	   2.	 211.000	  12.000	   0.906	   0.906	   0.905	   0.898
   1811	   2.	 211.000	  13.000	   1.027	   0.994	   1.040	   0.984
   1812	   2.	 211.000	  14.000	   1.010	   0.971	   0.980	   0.977
   1813	   2.	 211.000	  15.000	   1.067	   1.003	   1.014	   1.006
   1814	   2.	 211.000	  16.000	   1.206	   1.082	   1.063	   1.073
   1815	   2.	 211.000	  17.000	   1.205	   1.071	   1.014	   1.065
   1816	   2.	 211.000	  18.000	   1.312	   1.157	   1.085	   1.131
   1817	   2.	 211.000	  19.000	   1.384	   1.186	   1.058	   1.145
   1818	   2.	 211.000	  20.000	   1.593	   1.324	   1.149	   1.243
   1819	   2.	 211.000	  21.000	   1.302	   1.118	   0.923	   1.081
   1820	   2.	 211.000	  22.000	   0.998	   0.916	   0.856	   0.913
   1821	   2.	 211.000	  23.000	   1.148	   1.017	   1.051	   1.004
   1822	   2.	 211.000	  24.000	   1.082	   0.971	   0.970	   0.978
   1823	   2.	 211.000	  25.000	   0.830	   0.812	   0.858	   0.851
   1824	   2.	 211.000	  26.000	   0.693	   0.722	   0.867	   0.780
   1825	   2.	 211.000	  27.000	   1.114	   0.922	   1.105	   0.977
