 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00743         0.00177         0.00503
  0.00633       0.01895         0.00450         0.01274
  0.01266       0.02813         0.00579         0.01611
  0.01899       0.02465         0.00443         0.01216
  0.02532       0.05624         0.01058         0.02889
  0.03165       0.04083         0.00799         0.02159
  0.03797       0.01047         0.00300         0.00793
  0.04430       0.02063         0.00561         0.01425
  0.05063       0.03589         0.00765         0.01919
  0.05696       0.03413         0.00689         0.01729
  0.06329       0.02018         0.00502         0.01228
  0.06962       0.01182         0.00384         0.00880
  0.07595       0.02544         0.00882         0.01929
  0.08228       0.03093         0.00985         0.02127
  0.08861       0.01144         0.00321         0.00651
  0.09494       0.00777         0.00220         0.00394
  0.10127       0.00504         0.00202         0.00374
  0.10759       0.00419         0.00225         0.00413
  0.11392       0.00629         0.00341         0.00584
  0.12025       0.00573         0.00343         0.00557
  0.12658       0.00388         0.00237         0.00351
  0.13291       0.00820         0.00416         0.00653
  0.13924       0.00896         0.00621         0.00955
  0.14557       0.00975         0.00849         0.01221
  0.15190       0.00871         0.00640         0.00893
  0.15823       0.00740         0.00488         0.00674
  0.16456       0.01030         0.00841         0.01136
  0.17089       0.00649         0.00556         0.00772
  0.17722       0.00385         0.00381         0.00507
  0.18354       0.00517         0.00410         0.00530
  0.18987       0.00790         0.00668         0.00786
  0.19620       0.00930         0.01055         0.01170
  0.20253       0.00692         0.00719         0.00781
  0.20886       0.00498         0.00339         0.00356
  0.21519       0.00467         0.00440         0.00423
  0.22152       0.00777         0.00717         0.00689
  0.22785       0.00602         0.00674         0.00653
  0.23418       0.00474         0.00879         0.00852
  0.24051       0.00881         0.01201         0.01115
  0.24684       0.00858         0.00778         0.00689
  0.25316       0.00347         0.00246         0.00205
  0.25949       0.00371         0.00365         0.00299
  0.26582       0.00864         0.00923         0.00754
  0.27215       0.01002         0.00917         0.00762
  0.27848       0.00632         0.00464         0.00360
  0.28481       0.00433         0.00384         0.00271
  0.29114       0.00566         0.00566         0.00414
  0.29747       0.00509         0.00509         0.00384
  0.30380       0.00292         0.00284         0.00226
  0.31013       0.00253         0.00271         0.00197
  0.31646       0.00255         0.00289         0.00198
  0.32278       0.00664         0.00860         0.00567
  0.32911       0.00807         0.01107         0.00726
  0.33544       0.00693         0.00890         0.00587
  0.34177       0.00629         0.00814         0.00515
  0.34810       0.00553         0.00758         0.00471
  0.35443       0.00507         0.00706         0.00435
  0.36076       0.00379         0.00621         0.00373
  0.36709       0.00420         0.00592         0.00356
  0.37342       0.00372         0.00403         0.00244
  0.37975       0.00210         0.00303         0.00178
  0.38608       0.00396         0.00674         0.00363
  0.39241       0.00632         0.00844         0.00451
  0.39873       0.00470         0.00516         0.00282
  0.40506       0.00421         0.00527         0.00299
  0.41139       0.00388         0.00569         0.00331
  0.41772       0.00393         0.00553         0.00320
  0.42405       0.00446         0.00648         0.00374
  0.43038       0.00293         0.00533         0.00302
  0.43671       0.00419         0.00528         0.00287
  0.44304       0.00560         0.00728         0.00387
  0.44937       0.00391         0.00686         0.00370
  0.45570       0.00224         0.00491         0.00259
  0.46203       0.00138         0.00266         0.00131
  0.46835       0.00096         0.00235         0.00113
  0.47468       0.00262         0.00568         0.00282
  0.48101       0.00298         0.00685         0.00336
  0.48734       0.00127         0.00227         0.00107
  0.49367       0.00226         0.00374         0.00197
  0.50000       0.00357         0.00623         0.00338
