 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00312         0.00093         0.00224
  0.01064       0.00505         0.00112         0.00298
  0.02128       0.01372         0.00277         0.00756
  0.03191       0.01541         0.00301         0.00813
  0.04255       0.01578         0.00324         0.00830
  0.05319       0.02412         0.00471         0.01235
  0.06383       0.01365         0.00286         0.00764
  0.07447       0.00475         0.00154         0.00382
  0.08511       0.01639         0.00551         0.01203
  0.09574       0.02174         0.00731         0.01539
  0.10638       0.01641         0.00673         0.01309
  0.11702       0.01677         0.00720         0.01410
  0.12766       0.00922         0.00353         0.00680
  0.13830       0.00481         0.00207         0.00321
  0.14894       0.00667         0.00365         0.00525
  0.15957       0.00749         0.00398         0.00561
  0.17021       0.00651         0.00347         0.00459
  0.18085       0.00288         0.00208         0.00259
  0.19149       0.00124         0.00181         0.00199
  0.20213       0.00243         0.00249         0.00286
  0.21277       0.00250         0.00244         0.00257
  0.22340       0.00223         0.00208         0.00203
  0.23404       0.00343         0.00287         0.00252
  0.24468       0.00386         0.00364         0.00330
  0.25532       0.00126         0.00154         0.00133
  0.26596       0.00269         0.00328         0.00238
  0.27660       0.00381         0.00399         0.00305
  0.28723       0.00268         0.00270         0.00209
  0.29787       0.00246         0.00302         0.00222
  0.30851       0.00147         0.00190         0.00145
  0.31915       0.00041         0.00088         0.00055
  0.32979       0.00109         0.00237         0.00137
  0.34043       0.00287         0.00513         0.00307
  0.35106       0.00437         0.00676         0.00419
  0.36170       0.00339         0.00595         0.00336
  0.37234       0.00141         0.00280         0.00141
  0.38298       0.00076         0.00168         0.00081
  0.39362       0.00200         0.00400         0.00217
  0.40426       0.00181         0.00460         0.00253
  0.41489       0.00195         0.00429         0.00227
  0.42553       0.00196         0.00306         0.00160
  0.43617       0.00219         0.00475         0.00243
  0.44681       0.00236         0.00501         0.00258
  0.45745       0.00130         0.00218         0.00127
  0.46809       0.00105         0.00184         0.00101
  0.47872       0.00105         0.00220         0.00102
  0.48936       0.00207         0.00364         0.00171
  0.50000       0.00352         0.00523         0.00266
