 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.01119         0.00013        -0.00066
  0.01220       0.04414         0.00252         0.01497
  0.02439       0.15461         0.01005         0.06219
  0.03659       0.19127         0.01308         0.07339
  0.04878       0.13309         0.01079         0.05080
  0.06098       0.07007         0.00782         0.03177
  0.07317       0.04112         0.00679         0.02492
  0.08537       0.02467         0.00542         0.01753
  0.09756       0.02819         0.00758         0.01940
  0.10976       0.03425         0.00882         0.02276
  0.12195       0.02053         0.00560         0.01493
  0.13415       0.00907         0.00386         0.00676
  0.14634       0.00703         0.00492         0.00589
  0.15854       0.01285         0.00695         0.00903
  0.17073       0.01183         0.00754         0.00807
  0.18293       0.00991         0.00778         0.00627
  0.19512       0.01576         0.01056         0.00847
  0.20732       0.01120         0.00758         0.00569
  0.21951       0.00538         0.00596         0.00366
  0.23171       0.01054         0.00708         0.00440
  0.24390       0.01180         0.00667         0.00446
  0.25610       0.00679         0.00570         0.00315
  0.26829       0.00824         0.01002         0.00494
  0.28049       0.00816         0.00974         0.00481
  0.29268       0.00691         0.01072         0.00518
  0.30488       0.00634         0.00984         0.00494
  0.31707       0.00370         0.00323         0.00178
  0.32927       0.00258         0.00239         0.00109
  0.34146       0.00425         0.00802         0.00396
  0.35366       0.00589         0.00993         0.00503
  0.36585       0.00193         0.00393         0.00192
  0.37805       0.00070         0.00212         0.00100
  0.39024       0.00455         0.00889         0.00446
  0.40244       0.00652         0.01163         0.00592
  0.41463       0.00429         0.00534         0.00302
  0.42683       0.00619         0.00596         0.00356
  0.43902       0.00753         0.01048         0.00615
  0.45122       0.00621         0.00983         0.00651
  0.46341       0.00333         0.00405         0.00322
  0.47561       0.00221         0.00303         0.00228
  0.48780       0.00318         0.00764         0.00548
  0.50000       0.00646         0.01558         0.01117
