 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00087         0.00056         0.00126
  0.01190       0.00250         0.00144         0.00382
  0.02381       0.00754         0.00349         0.00907
  0.03571       0.01194         0.00392         0.01034
  0.04762       0.01416         0.00492         0.01215
  0.05952       0.00973         0.00381         0.00955
  0.07143       0.00437         0.00168         0.00407
  0.08333       0.00717         0.00361         0.00779
  0.09524       0.01168         0.00611         0.01236
  0.10714       0.00826         0.00434         0.00827
  0.11905       0.00793         0.00437         0.00796
  0.13095       0.00432         0.00206         0.00386
  0.14286       0.00543         0.00425         0.00641
  0.15476       0.00850         0.00714         0.01008
  0.16667       0.01052         0.00814         0.01067
  0.17857       0.00495         0.00427         0.00549
  0.19048       0.00044         0.00141         0.00164
  0.20238       0.00081         0.00149         0.00171
  0.21429       0.00251         0.00227         0.00240
  0.22619       0.00236         0.00182         0.00189
  0.23810       0.00543         0.00442         0.00396
  0.25000       0.00847         0.00760         0.00674
  0.26190       0.00744         0.00935         0.00782
  0.27381       0.00496         0.00642         0.00507
  0.28571       0.00359         0.00357         0.00262
  0.29762       0.00279         0.00263         0.00187
  0.30952       0.00119         0.00093         0.00061
  0.32143       0.00295         0.00370         0.00248
  0.33333       0.00533         0.00791         0.00498
  0.34524       0.00472         0.00719         0.00432
  0.35714       0.00287         0.00438         0.00254
  0.36905       0.00295         0.00293         0.00176
  0.38095       0.00257         0.00241         0.00129
  0.39286       0.00326         0.00456         0.00246
  0.40476       0.00245         0.00348         0.00184
  0.41667       0.00317         0.00454         0.00245
  0.42857       0.00522         0.00780         0.00408
  0.44048       0.00438         0.00727         0.00379
  0.45238       0.00176         0.00315         0.00152
  0.46429       0.00124         0.00183         0.00090
  0.47619       0.00094         0.00097         0.00049
  0.48810       0.00168         0.00167         0.00091
  0.50000       0.00151         0.00175         0.00086
