"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0.147238681497834,-0.04645507806048,0.101032161580612,0.00112173230455333,0.277452368749015,0.172370158281611,0.268033631733116,0.283144318626791,0.176685259571746,0.129700681739806,0.133577308850916,0.350303528530203,0.24044659109147,0.291584748854062,0.332030616346543,0.324320330250648,0.171322569644911
"dtr",0.129780320995197,0.360978273750415,0.208299106764216,0.183680462056554,0.11457717578269,0.0860289203584386,0.146569638269655,0.197873546141313,0.00193312502019045,0.154369905893537,0.246163705270887,0.112745579788527,0.212677255229672,0.0116492284702922,-0.0252701237999714,0.0232782459444322,-0.0540651810148846
"pet",0.064976184610877,0.362315149554722,0.220438596924805,0.307953305456476,0.153196264368561,0.102720029040194,0.0884866441818307,0.0339727702165292,0.059565501806294,0.228049339336947,0.129540003831089,0.0887475462147918,0.279357060027038,-0.0442243175257157,-0.0178704660648143,0.0617468629659336,-0.0501550209272256
"PETminusPRE",0.102217358049667,0.378093691488532,0.242001556902,0.225572450928207,0.061067243679995,0.0273725570975654,0.155455049178856,0.233242056199194,0.0205774342978764,0.264992842963721,0.13760672939646,0.0641741906509481,0.187124168424029,-0.0552236572523336,-0.0498112818033521,0.0307934023787921,-0.0259620310008063
"pre",0.127523845161719,0.00131228388390886,0.254636456564354,0.0929875957479012,0.293995543116675,0.34128161353452,0.0497984348480725,0.248667808664333,0.120024293723031,0.0725252413873695,0.192305268658521,0.211468763334787,0.264102482947231,0.316753235104707,0.260598008604757,0.418284750533305,0.27668635799973
"tmn",0.136132420555023,0.120297988613073,0.104104063167822,0.176884436432641,0.274222232039794,0.094820739404255,0.112367429028052,0.0829684509593787,0.231778692049303,0.119306595695016,0.0910167285195106,0.103805783311364,0.184085538580999,0.0588644580725623,0.028399670067712,0.167449358790554,0.119189352975545
"tmp",0.0877355959688847,0.204553534052208,0.183836925275561,0.232320975015476,0.268592272617651,0.0469567452153372,0.0827632203178684,0.0800263514199886,0.188951416111643,0.142245971071141,0.0722494733533474,0.10352209299061,0.234449935117008,0.00506081467432571,0.0106123379568407,0.166883113798455,0.0577649213154618
"tmx",0.0853047896324343,0.280339856772307,0.219306590754041,0.258264929678988,0.208179952842475,0.0715737358394902,0.0789343529683538,0.141608738274535,0.158031468009739,0.160367434439493,0.121940813709812,0.110743644215099,0.252206453607189,-0.0155832979602245,-0.0103292316336528,0.140428679586247,0.00205471706736063
"vap",0.173317345163215,0.0865315899969064,0.203698613076314,0.198524384869975,0.185017074762805,0.106546902619108,0.0659705685222561,0.156949147482548,0.228523507298234,0.0635518729810774,0.156127018459306,0.132443005540075,0.0843498789732108,0.0718342812925549,0.134638478181268,0.174605555376708,0.178055004917352
"wet",0.112991811907975,-0.0385843156421453,0.220483345657265,0.158656890341328,0.318429964125918,0.305537653293863,0.0948538788707563,0.255243255729972,0.121123024474405,0.026622220179674,0.194831394898936,0.175217435835042,0.213177022577999,0.336659975128593,0.291525481699656,0.418614109066649,0.289586531263561
"PDSI_prewhiten",0.0446644072238056,0.000699618108890376,0.255764483947593,0.244402806727302,0.321066319953828,0.368861965849441,0.0995612729711446,0.271887879502542,0.178979931466562,0.115963052551814,0.15095346420863,0.24073413687904,0.16740524198519,0.270686562300298,0.267480156402201,0.432894416127068,0.299341577068834
