"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.0583699640234629,-0.603373365388046,-0.449057679083442,-0.378139185947921,-0.145176786502141,-0.348877870125197,-0.0827856233409247,-0.0491624164752197,-0.110196075883969,-0.137938169466881,-0.0471145952420122,-0.019636124127199,-0.136638071056019,-0.0314861273862291,-0.0710184137459097,-0.176928690409784,0.000422382307455041
"dtr",-0.336229734476946,0.0776221504151693,-0.0275075032351019,-0.0966545323876284,-0.545289043879116,-0.337842640763016,-0.36728902595491,-0.497296073902122,-0.419880980520278,-0.250177947153656,-0.456887700228191,-0.488406826907913,-0.376907549095435,-0.385031942879767,-0.317507260520309,-0.504396864319729,-0.447603343207546
"pet",-0.388906238293858,0.107202232432845,-0.0635015037092667,-0.0800110923405664,-0.490938547170735,-0.264484950955802,-0.418200752099348,-0.530654789252717,-0.316564389468354,-0.379158402301802,-0.381436891463966,-0.330856537148332,-0.201561617540686,-0.456814084378258,-0.551120560769136,-0.457099621061455,-0.530374697174877
"PETminusPRE",-0.416030341923548,0.256561011572299,-0.115966662823108,-0.13830925400426,-0.555713391980481,-0.334937903522191,-0.237039328838962,-0.443830469300885,-0.151641266406415,-0.289384729806672,-0.391709475284345,-0.250088832503676,-0.372186187067962,-0.451578417844049,-0.447507826488451,-0.480316553384815,-0.493195798516682
"pre",-0.0571305798441336,-0.5537469459317,-0.349912724123243,-0.385386658900177,-0.172222889316233,-0.192131164690493,-0.224291087885947,-0.055016392224573,-0.5494864395634,-0.429836561050035,-0.16902405613564,-0.27953185080459,0.021337964036948,-0.0684030723233929,-0.114560369942095,-0.161132606449661,-0.144541828854493
"tmn",-0.482493406447159,-0.398708158710889,-0.186821623451558,-0.206148164228036,0.0615131242962986,-0.0755841899086023,-0.181761022098213,-0.410523451339453,-0.119971568291975,-0.491949701048403,-0.343095372487534,-0.195104400847856,-0.19013403527989,-0.286576172503616,-0.433785881633046,-0.104138248132978,-0.332686868189717
"tmp",-0.502076277102635,-0.296219202694988,-0.129629559626241,-0.233387587744294,-0.123986264419256,-0.0948338553198322,-0.290240650069379,-0.488478271542184,-0.243268921545607,-0.485989857786451,-0.357453935586426,-0.281055585322249,-0.219000725390092,-0.313278951585771,-0.486397195305428,-0.161767744080591,-0.342851931589467
"tmx",-0.474112431046742,-0.1732529972277,-0.0606358565886531,-0.215890842808133,-0.328971114299181,-0.168333319371696,-0.336414349727643,-0.541532085207052,-0.307785860221926,-0.472174141323541,-0.362154439338051,-0.337607041511547,-0.210735438424933,-0.347543773930327,-0.536580846881048,-0.278008436296293,-0.389623964463403
"vap",-0.534789014474926,-0.484115623603368,-0.249645785053818,-0.28864375307852,0.165599172919812,-0.206920214051173,-0.0628535597467859,-0.330457251457733,-0.124511041178689,-0.486144827589859,-0.347496472923612,-0.21516126790761,-0.17911872140581,-0.27817215348137,-0.462912220582689,-0.114366339360632,-0.377583215050664
"wet",-0.0489110229739011,-0.58858680131016,-0.426765774261313,-0.306200657920437,-0.0978777514289268,-0.238835664107035,-0.201525068338019,-0.0524957500053807,-0.49368554184048,-0.445297643119224,-0.0989777267876981,-0.257029452978981,-0.0270346798082555,-0.0399251049202756,-0.156151821601131,-0.0370661415238405,-0.127102565208566
"PDSI_prewhiten",-0.0711417927379691,-0.615746726589038,-0.395835720515337,-0.196958563289191,-0.27527377955681,-0.242729378875107,-0.281216963329714,-0.0805766041702812,-0.341271486366351,-0.307417882421096,-0.176793425326002,-0.231022276734586,-0.0426230794990463,-0.369634130768377,-0.0614965582250088,-0.166305551134251,-0.00753510909745193
