"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",4,4,8,1,9,12,13,13,13,11,3,5,4,11,12,13,2
"dtr",13,12,10,10,7,1,2,3,2,4,5,3,11,4,4,1,1
"pet",13,9,4,12,6,1,1,0,3,2,4,7,11,0,1,3,8
"PETminusPRE",10,6,10,9,4,2,1,10,0,12,7,2,10,5,1,1,1
"pre",4,7,4,5,11,12,12,3,14,0,7,12,5,8,10,13,13
"tmn",13,4,8,10,13,5,5,1,9,2,5,10,12,0,5,12,8
"tmp",13,6,11,12,11,2,2,0,7,2,5,6,13,0,2,6,4
"tmx",13,6,11,12,9,3,2,1,6,2,6,6,13,0,2,4,3
"vap",13,6,14,10,13,4,11,8,12,2,6,8,12,3,7,12,6
"wet",5,7,4,5,10,12,12,4,14,1,6,12,5,7,9,13,14
"PDSI_prewhiten",2,5,3,7,11,14,12,2,13,4,6,12,5,7,11,13,14
