"Species","Climate_data","variable","month","ANPP_response","ANPP_response_percent"
"caco","CRU_SCBI_1901_2016","cld","prev.apr",-0.000398704830363774,-1.43286687933061
"caco","CRU_SCBI_1901_2016","cld","prev.may",-0.000203350668968573,-0.730802378764624
"caco","CRU_SCBI_1901_2016","cld","prev.jun",-0.000322092168445528,-1.15753601439013
"caco","CRU_SCBI_1901_2016","cld","prev.jul",-0.000782452743201024,-2.81198153368547
"caco","CRU_SCBI_1901_2016","cld","prev.aug",0.00105637871765126,3.79641770372132
"caco","CRU_SCBI_1901_2016","cld","prev.sep",0.000891432796034083,3.20363444661787
"caco","CRU_SCBI_1901_2016","cld","prev.oct",0.0010698173287922,3.84471343364886
"caco","CRU_SCBI_1901_2016","cld","prev.nov",0.000968056235978784,3.4790040456693
"caco","CRU_SCBI_1901_2016","cld","prev.dec",0.00130885919076699,4.70378295253253
"caco","CRU_SCBI_1901_2016","cld","curr.jan",0.000580524634501839,2.08629155722607
"caco","CRU_SCBI_1901_2016","cld","curr.feb",-0.000560226776903299,-2.01334504226216
"caco","CRU_SCBI_1901_2016","cld","curr.mar",0.000997389226129148,3.58442105308263
"caco","CRU_SCBI_1901_2016","cld","curr.apr",-0.000464332400099927,-1.66871947976211
"caco","CRU_SCBI_1901_2016","cld","curr.may",0.000935592397146721,3.3623353827992
"caco","CRU_SCBI_1901_2016","cld","curr.jun",0.00159271216411771,5.72389480756739
"caco","CRU_SCBI_1901_2016","cld","curr.jul",0.0011061646738169,3.97533865529461
"caco","CRU_SCBI_1901_2016","cld","curr.aug",-0.00050902333113758,-1.82932991137357
"caco","CRU_SCBI_1901_2016","dtr","prev.apr",0.000822155661706469,2.95466602759368
"caco","CRU_SCBI_1901_2016","dtr","prev.may",0.000540959777064885,1.94410322769135
"caco","CRU_SCBI_1901_2016","dtr","prev.jun",0.000680419450804593,2.44529391384773
"caco","CRU_SCBI_1901_2016","dtr","prev.jul",0.000325947012630057,1.17138956753608
"caco","CRU_SCBI_1901_2016","dtr","prev.aug",-0.00100946029558397,-3.62780210669095
"caco","CRU_SCBI_1901_2016","dtr","prev.sep",-0.00111734759493062,-4.0155278781425
"caco","CRU_SCBI_1901_2016","dtr","prev.oct",-0.000721092304084157,-2.59146416289886
"caco","CRU_SCBI_1901_2016","dtr","prev.nov",-0.000326419254900297,-1.17308671353611
"caco","CRU_SCBI_1901_2016","dtr","prev.dec",-0.00171004147866457,-6.14555332782004
"caco","CRU_SCBI_1901_2016","dtr","curr.jan",-0.000121465431547882,-0.436522912676438
"caco","CRU_SCBI_1901_2016","dtr","curr.feb",-0.000262042054147139,-0.941727693734281
"caco","CRU_SCBI_1901_2016","dtr","curr.mar",-0.00179367305050539,-6.44610877694196
"caco","CRU_SCBI_1901_2016","dtr","curr.apr",0.000578338220926261,2.078434016112
"caco","CRU_SCBI_1901_2016","dtr","curr.may",-0.000166665438217611,-0.598962862158582
"caco","CRU_SCBI_1901_2016","dtr","curr.jun",-0.00124163746679435,-4.46220127476851
"caco","CRU_SCBI_1901_2016","dtr","curr.jul",-0.00150449014251552,-5.40684218328384
"caco","CRU_SCBI_1901_2016","dtr","curr.aug",-0.00120760379903265,-4.33989095494269
