"Summary_type","Species","cld","drt","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",30.1694480282477,24.4644371752381,8.39437814070316,28.0930874698881,27.9447668864407,25.8030848454809,18.043094812944,21.6047280046012,24.1046318569586,19.2304337415972,23.7633819769559
"Sum of all absolute correlations","CACO",2.40483238363083,1.90828317750056,0.419567160496282,2.28183683387254,2.28652007639541,1.99871633699437,1.11456521643267,1.40057431302894,1.6792195557991,1.23365688731169,1.55670289789939
"Sum of all absolute correlations","CAGL",2.20080503363276,1.42398311134242,0.500531650927679,1.84874129161071,1.81409177140182,1.55019451055275,1.23894367186226,1.30486138628589,1.48146013411526,1.34445272780274,1.37659112298845
"Sum of all absolute correlations","CAOV",1.92465839771794,1.46271682365063,0.460091977797017,1.73649835548602,1.69405318519563,1.51980398999571,1.04595086705271,1.08759887218455,1.31570668937872,1.33095270302202,1.24467646594857
"Sum of all absolute correlations","CATO",1.40919878243261,0.88199268444652,0.878864989473033,2.38362990167721,2.35860485569075,1.50486283918679,2.00396153608226,2.15138832905155,1.910232036063,1.09502280338437,1.51324675175494
"Sum of all absolute correlations","FAGR",2.1952827471682,2.58238575835984,0.790101193018083,2.54689129414266,2.50856088407291,1.99326109711743,1.7788646406115,2.06848192245128,2.34891714917261,1.71249698083442,2.0963924695773
"Sum of all absolute correlations","FRAM",2.00806617327475,1.4733821043192,0.582331683150764,1.95818851500677,1.94420043780542,1.88889097383952,1.49963684552042,1.75153714269178,1.81402790588538,1.56334127767425,1.50762176091112
"Sum of all absolute correlations","FRNI",1.93798344739866,1.38865149409058,0.47037169218923,1.21699820132531,1.22345248240889,1.86007488238988,1.48048502586592,1.48934861022973,1.29063110815308,1.46108169486936,1.45536096065589
"Sum of all absolute correlations","JUNI",2.34980699467699,1.86084921781171,0.611589781450603,2.26509293864265,2.28733177694215,1.87485551477747,1.15436112057838,1.75483207856733,2.0680119342271,0.950272526709883,1.84887508441715
"Sum of all absolute correlations","LITU",2.34093157533319,1.84674593202629,0.738596229032856,1.66297724042313,1.67915444250129,2.07153474620247,1.23168442928699,1.23741305544299,1.3479819809301,1.21371492252952,1.79535145015175
"Sum of all absolute correlations","PIST",1.5958628927528,1.60431736139358,0.724053551604074,1.41152496377837,1.37431493793962,1.67387399766268,1.26295673554196,1.36191338091853,1.4514547369188,1.98971037578238,1.85617884648002
"Sum of all absolute correlations","QUAL",2.45565923195257,2.15129261647738,0.683866476797141,2.16294797432043,2.17222397789377,2.08801165711144,1.24514631001959,1.63363055350565,1.93075374476954,1.17491222483358,2.03749902561301
"Sum of all absolute correlations","QUPR",2.32380126471146,1.8587227121739,0.372835599585133,1.99490203605844,2.01690858850998,1.94279783437863,0.925888900602287,1.28824274142849,1.6028187106442,1.38431987515164,1.80320886860933
"Sum of all absolute correlations","QURU",2.59305158249424,2.099299857228,0.582556297650123,2.47573159171004,2.46652598837205,1.72261348566169,1.30366431817763,1.83380571615123,2.23758965894521,1.56879791462495,1.80493938727113
"Sum of all absolute correlations","QUVE",2.42950752107071,1.9218143244175,0.579019857531141,2.14712633183383,2.11882348131095,2.11359297961008,0.756985195309375,1.24109990266321,1.62582651195651,1.20770082706634,1.86673688467781
"Count of Significant correlations","All",51,29,2,49,48,42,11,18,26,8,36
"Count of Significant correlations","CACO",5,2,0,6,6,5,0,1,1,1,2
"Count of Significant correlations","CAGL",4,1,0,1,1,2,0,0,0,0,3
"Count of Significant correlations","CAOV",3,1,0,6,6,2,1,2,3,1,1
"Count of Significant correlations","CATO",1,0,0,4,4,2,2,2,2,0,1
"Count of Significant correlations","FAGR",1,4,0,5,4,3,1,3,5,1,4
"Count of Significant correlations","FRAM",4,1,1,3,3,3,3,2,2,1,2
"Count of Significant correlations","FRNI",2,0,0,0,1,3,1,1,1,1,2
"Count of Significant correlations","JUNI",4,1,1,3,3,3,1,1,2,0,3
"Count of Significant correlations","LITU",5,2,0,2,2,4,0,0,1,0,4
"Count of Significant correlations","PIST",2,2,0,0,0,3,1,0,0,2,1
"Count of Significant correlations","QUAL",4,4,0,5,5,3,1,2,3,1,3
"Count of Significant correlations","QUPR",3,3,0,3,4,3,0,2,3,0,2
"Count of Significant correlations","QURU",8,4,0,6,5,2,0,2,2,0,4
"Count of Significant correlations","QUVE",5,4,0,5,4,4,0,0,1,0,4
"Sum of absolute significant correlations","All",13.0803340463339,6.74435272805141,0.429470056012928,11.6578028586865,11.3842967352966,10.7124105954432,2.60667314556494,4.43969299865535,6.13466560247121,1.66962791054582,8.58227724481213
"Sum of absolute significant correlations","CACO",1.20412256606687,0.470290358426359,NA,1.39124536513871,1.40018758364529,1.2017566384932,NA,0.272048200452238,0.26059042670132,0.205459376224271,0.49801092692555
"Sum of absolute significant correlations","CAGL",0.875571057671456,0.20200754980588,NA,0.273608394944938,0.276882204338777,0.45736359633582,NA,NA,NA,NA,0.521714075457383
"Sum of absolute significant correlations","CAOV",0.690904724354438,0.200098853228439,NA,1.23916330481783,1.21549051327074,0.411149646424529,0.234715953881663,0.415760763688743,0.639978717452813,0.175155823733757,0.18521135807146
"Sum of absolute significant correlations","CATO",0.189649249307902,NA,NA,0.932889824844098,0.917370506375111,0.471650332154622,0.585691271096916,0.638141854281006,0.520683190941137,NA,0.270431226649591
"Sum of absolute significant correlations","FAGR",0.335716557157273,1.04870633464147,NA,1.31761537884509,1.10759643767937,1.02330350755546,0.239805088264211,0.728551042714198,1.25148509033193,0.207179510205142,1.07725711606047
"Sum of absolute significant correlations","FRAM",1.07439766421736,0.22462222546444,0.268658909378589,0.779374310382657,0.763650959435456,0.683893928231758,0.641572442879279,0.523957287327974,0.522782544582577,0.207406150576513,0.549315681486418
"Sum of absolute significant correlations","FRNI",0.492187501611155,NA,NA,NA,0.20680336783719,0.842762401501845,0.235440559913492,0.255728659192233,0.203674346517439,0.212865555885481,0.489788479644533
"Sum of absolute significant correlations","JUNI",1.24537504223495,0.222993368220576,0.160811146634339,0.8108554536114,0.81452274951559,0.797896302856953,0.212107551762655,0.313116889633076,0.491376681238832,NA,0.794246992256877
"Sum of absolute significant correlations","LITU",1.21152432609467,0.358350038654119,NA,0.422900631325661,0.422776073103229,1.06669720049305,NA,NA,0.205189687778314,NA,1.09979284209732
"Sum of absolute significant correlations","PIST",0.557053718545585,0.478180561874155,NA,NA,NA,0.785773421294161,0.232345742767837,NA,NA,0.464993660658724,0.298805289228933
"Sum of absolute significant correlations","QUAL",1.14706766534271,0.97477967461108,NA,1.18550498476304,1.18559835424357,0.684332381462983,0.224994534998891,0.440665001363498,0.695724420797864,0.196567833261929,0.684746662845996
"Sum of absolute significant correlations","QUPR",0.946244895526228,0.701729607109528,NA,0.686680255818816,0.855103294031451,0.810423220416788,NA,0.379240864453713,0.604135557019582,NA,0.49380955115643
"Sum of absolute significant correlations","QURU",1.81886629495502,0.96074865620863,NA,1.46456218795689,1.28671566774102,0.561559515951662,NA,0.472482435548667,0.523735213502275,NA,0.76298579438739
"Sum of absolute significant correlations","QUVE",1.29165278324831,0.90184549980674,NA,1.15340276623741,0.931599024079809,0.913848502270401,NA,NA,0.21530972560712,NA,0.856161248543774
