"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",29.7024493200537,27.5779485551651,29.5884311208207,8.04823627163848,30.1770505924975,30.2373975795208,25.4925232486555,17.843757758978,22.0712677578675,25.393637764648,17.0072196313874,26.7164702132622
"Sum of all absolute correlations","CACO",2.24592435384843,2.20957202822574,2.36187479357489,0.436240514411564,2.36253962410706,2.35639307023001,2.06602145393175,1.20621955092883,1.5481576443368,1.84476082791202,1.10337801257449,2.23802956863169
"Sum of all absolute correlations","CAGL",2.20380038424151,1.64699586871086,1.86321738425491,0.475004686754516,1.82321270630213,1.8566851894517,1.40314982112886,1.27674848923325,1.41328840449495,1.55044539152366,1.14240673323761,1.50275453792528
"Sum of all absolute correlations","CAOV",1.87871997195352,1.68860812006444,1.73173748404216,0.450872577098442,1.86076306511704,1.84507161441856,1.50595099570308,1.12351623072864,1.09646289937898,1.2966106058899,0.999765562329576,1.43181816203278
"Sum of all absolute correlations","CATO",1.46870639538686,1.44220908669498,1.30011256861529,0.793995727586496,2.13935966864168,2.14062082123906,1.42005809248944,1.76241074872122,1.91818777759809,1.81631034134653,1.12924552807075,1.48644127503325
"Sum of all absolute correlations","FAGR",2.1385252737229,2.04940010424627,2.86603891217241,0.858807926595221,2.54853920670158,2.5357420651788,1.85640630942711,1.68208941605818,2.13772046525426,2.4333744098251,1.55227302809995,1.99803188133061
"Sum of all absolute correlations","FRAM",1.94466561691953,1.98406680034636,1.55568431837115,0.53682316123837,1.9027334483096,1.94255755200147,1.79246382841795,1.43803947204201,1.78090950111028,1.93891920803908,1.463993208115,1.94202458920074
"Sum of all absolute correlations","FRNI",1.99711599242073,1.82227696921838,1.78984721546281,0.466491082865213,1.3843865498297,1.40894720871771,1.70524590038547,1.5275036916318,1.41401765901903,1.31806714331027,1.34738225456189,1.70931011203619
"Sum of all absolute correlations","JUNI",2.29951518766063,1.98356831693511,1.85201513732704,0.545098061600497,2.19242136731271,2.1616819107025,1.870894685813,1.01184392101665,1.45447176900084,1.73955992919965,0.821824539627943,1.97343110325043
"Sum of all absolute correlations","LITU",2.26233911259369,2.14731589086266,2.60285219432625,0.645111917426014,2.11173589857914,2.09069619901502,2.10566803531623,1.09977389812208,1.36144599686421,1.76041097557964,1.04468653957278,2.25096951063542
"Sum of all absolute correlations","PIST",1.53160302021804,1.68339466383666,1.63371309163861,0.681812398148951,1.39002608922386,1.45177398929437,1.74389032431192,1.28452939215377,1.45795041198861,1.48435112543484,1.90742028947996,1.91505604238663
"Sum of all absolute correlations","QUAL",2.38941603747766,2.38725793371415,2.55561810279715,0.596851231338084,2.50511487114342,2.51435777756083,2.14631477831424,1.30026624172779,1.70562690181179,1.98272028615104,1.14970735994202,2.25651688502817
