"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","All",25.128117272027,32.8055972411995,24.1851284930634,34.4583130945997,26.6604056181071,34.554898380516,25.6140689387673,25.8609053090601,21.7151707368365,26.6815878437581,16.922396404156,28.4469127741691
"Sum of all absolute correlations","CACO",2.03337899224926,3.34808744862434,2.04135363303774,3.50856965498304,2.1990553302462,3.62529836144106,2.12061822228358,2.13130422442188,1.43455661037522,1.95901713914774,1.08605347226921,2.41405429228943
"Sum of all absolute correlations","CAGL",1.37612773537355,1.75754739832884,1.37566250984117,2.11337931511318,1.59059434634674,2.19460921338891,1.45603798748291,1.43197653310094,1.38594011965927,1.6064125317315,1.10148668537126,1.67176540436132
"Sum of all absolute correlations","CAOV",1.47948452089823,1.23891137704109,1.1642117379157,1.67458326271445,1.84040864044647,1.42365252124864,1.54366995466244,1.47424477107519,1.00317379388325,1.27118010011527,1.03130360934139,1.63227084625328
"Sum of all absolute correlations","CATO",1.29267191584109,0.927347626816485,1.71638508022451,1.66665238199311,1.59657416288653,1.35971973784535,1.43676817166256,1.2723046839096,1.630150006438,1.68946430160648,1.34932643510378,1.40410312530452
"Sum of all absolute correlations","FAGR",1.8944177446074,2.99644219105531,2.16861679223346,2.80866707226758,2.09838843707503,2.91859316802613,2.0805300993239,2.14125735840755,2.13449746931723,2.62292031706922,1.59303738118257,2.26392702588485
"Sum of all absolute correlations","FRAM",1.72541044157926,1.84052325153234,1.70928435430356,1.77641598222231,1.75064833646942,2.01653009958234,1.72571630619937,1.75185252176565,1.81711668232902,2.13039592671125,1.50324433539695,2.03423775791264
"Sum of all absolute correlations","FRNI",1.78916315856193,3.25487534264745,1.63048658017808,3.6321758931288,1.95410258006376,3.25266927792546,1.69123509660788,1.63692755112266,1.35679414831517,1.45426733152512,1.4609826426961,1.74919692768848
"Sum of all absolute correlations","JUNI",1.83537855000182,1.85224180768504,1.47070646632963,2.16725628242111,1.65993903292537,2.12811802053499,1.72428512046171,1.83627789954396,1.37144777655617,1.74603707011452,1.08639911980491,2.03585011823847
"Sum of all absolute correlations","LITU",2.16440341446176,3.31095781006049,1.95413156619765,2.66286240844613,1.85568218697088,3.10103827175284,2.22577373048251,2.40603912498661,1.50140229503895,2.12356067797877,1.16598177099576,2.46569731975503
