"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","All",8.49245239952326,11.9041273437063,8.45179940845562,11.0367181704313,9.34675191038853,12.1739758654347,8.88383586478494,9.33195100895596,8.37157950022049,10.7666226299648,5.32019532842245,10.8215829472399
"Sum of all absolute correlations","CACO",0.650184678136437,0.973359031616173,0.588821371689345,1.0913473750196,0.73099630135269,1.10248340778288,0.661625848642393,0.706553319926624,0.678937471730301,0.84436309517441,0.334123744257882,0.846232556869469
"Sum of all absolute correlations","CAGL",0.580602381864506,0.717568033607302,0.495504279299025,0.781920404492864,0.622077611479201,0.864302197129048,0.570212754368343,0.5906819197686,0.51403209691996,0.655514800539762,0.417329176330975,0.725276647710832
"Sum of all absolute correlations","CAOV",0.565750051644344,0.354880769127986,0.465814546562866,0.349443728584364,0.637233115103677,0.418704148572734,0.575372427266786,0.613307413104369,0.54394834077487,0.746728743330969,0.453365773159483,0.696887109027669
"Sum of all absolute correlations","CATO",0.196389291414597,0.195213723528553,0.312643475935643,0.219535454041916,0.33031727556285,0.26164552122666,0.268668476831155,0.24030609178163,0.683742961586294,0.69937118762728,0.560602339833561,0.35931413910931
"Sum of all absolute correlations","FAGR",0.91909216328946,1.27733018127008,1.11590529160345,1.02417450471144,0.977587523615378,1.11968150009537,1.00067013218392,1.08506715978048,0.996753654790596,1.15119311476618,0.586680339789069,1.13698305790994
"Sum of all absolute correlations","FRAM",0.526759035630627,0.952504577155,0.503081701219703,0.977162896395599,0.607658020999789,1.03775825500517,0.481613830518108,0.543386609481652,0.662469294040763,0.714919613539499,0.481527204552675,0.725178368674234
"Sum of all absolute correlations","FRNI",0.207184466046663,0.669436151578775,0.215265552095565,1.03747650147471,0.23216290624266,0.794722119325437,0.19221891019084,0.271313408467871,0.227328477473889,0.25995905714688,0.292708897229843,0.199957355932088
"Sum of all absolute correlations","JUNI",0.92238612179298,1.01922718219622,0.791741543146983,0.830665487599622,0.835378732150993,1.0187750369496,0.885833013475285,1.02016852823767,0.326235132564356,0.670872831461021,0.118499959452188,1.0795449781249
"Sum of all absolute correlations","LITU",1.00132021494816,1.48734693184197,0.917752757852491,1.40732198511344,1.02747929037831,1.60621856787101,1.03278633161809,1.14606434949601,0.746822198711695,1.08081822702535,0.30222375581355,1.2845059229141
"Sum of all absolute correlations","PIST",0.334571555573564,0.319865995401036,0.484806566011331,0.26476292655384,0.31837111454481,0.27233264351016,0.315708259366055,0.382431528015338,0.403234468222362,0.372188284656767,0.443876610202156,0.398635900084555
"Sum of all absolute correlations","QUAL",0.688862338179312,0.998579168706535,0.717027518683184,0.6844857642767,0.838774183654839,0.901486201941605,0.757996600975749,0.693810070279394,0.774725206190679,1.00164687224639,0.449189803137956,0.900164066829947
"Sum of all absolute correlations","QUPR",0.570978126536043,0.799537836700154,0.530464597429988,0.576096156367022,0.661731730077376,0.732296931438762,0.589615997672127,0.559402491721478,0.541764513424041,0.762336738544444,0.291130312144095,0.71656015534649
"Sum of all absolute correlations","QURU",0.600957542057133,0.95772282308147,0.63279479242057,0.789991811816052,0.735944029163865,0.927068479817691,0.724159374323802,0.676558291940356,0.665508872874089,0.896257551446578,0.42582824945066,0.805369030125546
