"Summary_type","Species","PPT","Tmax","Tmean","Tmin"
"Sum of all absolute correlations","All",25.3502514903929,26.4709880130202,22.8830327179086,17.6535106000499
"Sum of all absolute correlations","CACO",2.17263297155257,1.93376360417657,1.51848573268726,1.1414126610114
"Sum of all absolute correlations","CAGL",1.40552638796527,1.78239799711237,1.65485615491453,1.40786837564862
"Sum of all absolute correlations","CAOV",1.44710725719609,1.75715452700977,1.65121848453678,1.43713191251672
"Sum of all absolute correlations","CATO",1.32055166036685,1.51961772732104,1.61286193824386,1.46721935713778
"Sum of all absolute correlations","FAGR",1.92333213196533,2.64652050837671,2.23788647942335,1.62776821651179
"Sum of all absolute correlations","FRAM",1.54322102827504,1.40263183232102,1.36064886821967,1.20988733736215
"Sum of all absolute correlations","FRNI",2.18880161050183,1.74523342222368,1.67921463242338,1.49103762941038
"Sum of all absolute correlations","JUNI",1.70359687120706,1.59736133294539,1.36031653046551,1.03954124803129
"Sum of all absolute correlations","LITU",2.13726326319596,2.11264498901761,1.55035161156922,0.947697689407883
"Sum of all absolute correlations","PIST",1.82473663568271,1.6576963457297,1.52173117897212,1.30505232995037
"Sum of all absolute correlations","QUAL",1.96472344567378,2.00610979404669,1.67078443679522,1.21789467287222
"Sum of all absolute correlations","QUPR",1.92587575230737,1.82542297060748,1.42223585996451,0.844412873840128
"Sum of all absolute correlations","QURU",1.95581483185741,2.37993914859444,2.01202337088057,1.43863141449998
"Sum of all absolute correlations","QUVE",1.83706764264561,2.10449381353775,1.63041743881264,1.0779548818492
"Count of Significant correlations","All",36,26,21,11
"Count of Significant correlations","CACO",4,2,1,1
"Count of Significant correlations","CAGL",1,1,1,1
"Count of Significant correlations","CAOV",2,1,1,1
"Count of Significant correlations","CATO",1,1,1,0
"Count of Significant correlations","FAGR",3,5,5,1
"Count of Significant correlations","FRAM",2,1,1,1
"Count of Significant correlations","FRNI",4,1,1,0
"Count of Significant correlations","JUNI",2,1,1,0
"Count of Significant correlations","LITU",4,3,2,1
"Count of Significant correlations","PIST",3,0,1,2
"Count of Significant correlations","QUAL",2,1,1,1
"Count of Significant correlations","QUPR",2,3,2,1
"Count of Significant correlations","QURU",4,3,1,1
"Count of Significant correlations","QUVE",2,3,2,0
"Sum of absolute significant correlations","All",9.86894198838195,6.76967283037231,5.28414043053983,2.60190122794936
"Sum of absolute significant correlations","CACO",1.08840547418077,0.533963057964542,0.281131671519862,0.21660170906919
"Sum of absolute significant correlations","CAGL",0.277784650267965,0.231981358324015,0.249059342216936,0.251757265214004
"Sum of absolute significant correlations","CAOV",0.517350871204431,0.236824591689428,0.257218504650684,0.292189333573799
"Sum of absolute significant correlations","CATO",0.232729590111606,0.237730730793657,0.276961550271348,NA
"Sum of absolute significant correlations","FAGR",0.927800149948937,1.41741653710834,1.23991606669527,0.231712204534434
"Sum of absolute significant correlations","FRAM",0.480167615340579,0.296955367327377,0.271323410406768,0.228857869262682
"Sum of absolute significant correlations","FRNI",1.06170659178844,0.296506408284754,0.232401542294329,NA
"Sum of absolute significant correlations","JUNI",0.549950935269526,0.259262952658522,0.244874457608259,NA
"Sum of absolute significant correlations","LITU",1.13672248254582,0.719837582100452,0.448928719648292,0.194706209692226
"Sum of absolute significant correlations","PIST",0.752766180824675,NA,0.314033353985046,0.470658411395007
"Sum of absolute significant correlations","QUAL",0.586005605990567,0.228555387230058,0.260978839333658,0.25056587089029
"Sum of absolute significant correlations","QUPR",0.575661437703969,0.750737398077586,0.428138697361523,0.203653819173644
"Sum of absolute significant correlations","QURU",1.10500379979509,0.74568147123401,0.278166830758795,0.261198535144085
"Sum of absolute significant correlations","QUVE",0.576886603409584,0.814219987579568,0.501007443789065,NA
