"Summary_type","Species","PPT","Tmax","Tmean","Tmin"
"Sum of all absolute correlations","All",9.26565427065742,8.18494597704959,7.41226415716643,5.76944023780777
"Sum of all absolute correlations","CACO",0.742133702495525,0.723250944564341,0.657989490757822,0.485483040662981
"Sum of all absolute correlations","CAGL",0.61981089491013,0.438278244148704,0.466019819402237,0.463685710703369
"Sum of all absolute correlations","CAOV",0.60556357062173,0.556658397576113,0.573739530687517,0.554862044111535
"Sum of all absolute correlations","CATO",0.217806785319194,0.474774921406098,0.59334267415554,0.589291487370856
"Sum of all absolute correlations","FAGR",0.869160585970979,1.12407117021681,1.02509152205243,0.625328737198248
"Sum of all absolute correlations","FRAM",0.590230754353296,0.471855508096898,0.455696117186644,0.361527833334458
"Sum of all absolute correlations","FRNI",0.321538054645351,0.289053505669017,0.309041078727929,0.315126622671479
"Sum of all absolute correlations","JUNI",0.864283101160348,0.388697431611813,0.222162175413271,0.111681196301474
"Sum of all absolute correlations","LITU",1.11585050652507,0.953102590208808,0.730842497444203,0.341441418226813
"Sum of all absolute correlations","PIST",0.418111771747976,0.388044883595796,0.44040837823241,0.50522476327938
"Sum of all absolute correlations","QUAL",0.823310342122534,0.663610513819367,0.600719042983722,0.488046903766944
"Sum of all absolute correlations","QUPR",0.623300030809607,0.378954199705817,0.339305846825556,0.26524975627356
"Sum of all absolute correlations","QURU",0.716736776973644,0.720205641151972,0.609962726165399,0.479248331480366
"Sum of all absolute correlations","QUVE",0.737817393002042,0.614388025278034,0.387943257131756,0.183242392426303
"Count of Significant correlations","All",19,15,15,11
"Count of Significant correlations","CACO",1,1,1,1
"Count of Significant correlations","CAGL",1,1,1,1
"Count of Significant correlations","CAOV",2,1,1,1
"Count of Significant correlations","CATO",0,1,1,1
"Count of Significant correlations","FAGR",2,3,3,1
"Count of Significant correlations","FRAM",1,1,1,0
"Count of Significant correlations","FRNI",0,0,0,0
"Count of Significant correlations","JUNI",2,0,0,0
"Count of Significant correlations","LITU",4,3,2,1
"Count of Significant correlations","PIST",0,0,1,2
"Count of Significant correlations","QUAL",1,0,1,1
"Count of Significant correlations","QUPR",1,1,1,1
"Count of Significant correlations","QURU",2,2,2,1
"Count of Significant correlations","QUVE",2,1,0,0
"Sum of absolute significant correlations","All",5.32002837421531,3.90400480101444,3.85621829209423,2.57411068584067
"Sum of absolute significant correlations","CACO",0.255287001214183,0.270798913206166,0.278704504413923,0.22340531419783
"Sum of absolute significant correlations","CAGL",0.283307303575637,0.233857299131813,0.251766490061802,0.240359621258066
"Sum of absolute significant correlations","CAOV",0.511627111567413,0.213434008289501,0.262592648474167,0.28431233496341
"Sum of absolute significant correlations","CATO",NA,0.239591005836539,0.260501747410985,0.225818088148858
"Sum of absolute significant correlations","FAGR",0.586981944039988,0.919334597578992,0.815223782375907,0.21988549310053
"Sum of absolute significant correlations","FRAM",0.227850268004039,0.291306235120271,0.259421189922182,NA
"Sum of absolute significant correlations","FRNI",NA,NA,NA,NA
"Sum of absolute significant correlations","JUNI",0.564357122781021,NA,NA,NA
"Sum of absolute significant correlations","LITU",1.11585050652507,0.720436010840524,0.463957664489046,0.196561442849641
"Sum of absolute significant correlations","PIST",NA,NA,0.303670233199157,0.465124833390303
"Sum of absolute significant correlations","QUAL",0.387889199145913,NA,0.2524513095664,0.256701733260642
"Sum of absolute significant correlations","QUPR",0.234881982015023,0.212955381705018,0.23019717178115,0.211606416083233
"Sum of absolute significant correlations","QURU",0.587235104907109,0.528160846751742,0.477731550399514,0.250335408588158
"Sum of absolute significant correlations","QUVE",0.564760830439919,0.274130502553872,NA,NA
