"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0.142313074317005,-0.0412299499590893,0.099556739259093,-0.000948086643932824,0.248984652022133,0.149358275595525,0.273469564673429,0.278354311202498,0.181812698839136,0.130162685665847,0.137622955866277,0.345596389664092,0.23779796469562,0.292662726411787,0.326847690997215,0.329482112510702,0.165665178517995
"dtr",0.12348324930951,0.359356309516757,0.206156515494102,0.178664357604841,0.11149048918562,0.0888572688739022,0.156143353642046,0.202865731136291,-0.00362194278954385,0.158160128201602,0.24359816630158,0.102615939934137,0.223297626253991,0.021025532911554,-0.0297082501854426,0.0213009555043481,-0.0570275526210564
"pet",0.0600475766006656,0.365002385378998,0.214503341842404,0.300870052041109,0.151697235382375,0.0988272185910726,0.0887088481820041,0.0429016552300683,0.061388774976873,0.226759003394885,0.120413819523845,0.08554355528473,0.281216219895849,-0.0380826539471088,-0.0156454631257452,0.068881883713878,-0.0360033832765135
"PETminusPRE",0.0982040406737332,0.370440752571672,0.241813161912809,0.216291713090125,0.0649183946130527,0.0273223380904455,0.147578852325969,0.234422402826916,0.0325512810036882,0.265603864460856,0.137563709770525,0.0670684844200861,0.165486882784034,-0.0477495184948435,-0.0450215824635999,0.0340497541455307,-0.0302268191700389
"pre",0.12480211601627,-0.00565232327027582,0.257153853269742,0.0953213888336621,0.317848077306484,0.340960885344235,0.0548605884661312,0.25438517916291,0.118465720701038,0.0640496893395713,0.195660867936349,0.209945967258228,0.258485751458197,0.313206666262172,0.258015688163338,0.412121264536218,0.282919970509271
"tmn",0.139516559146679,0.118425663931454,0.0989083770107364,0.173320673624466,0.277456782097786,0.0939736726573298,0.118003014893757,0.0872734159552716,0.224357735876096,0.124720845139232,0.0828226102315285,0.105616810081473,0.178956897399463,0.0654630471760556,0.0298645332689,0.154306022737475,0.115448729328777
"tmp",0.0917223887341581,0.206353588613554,0.181120185214256,0.230307505739603,0.265549521653222,0.0397716431161051,0.0835138116191652,0.0838453372826642,0.190976570119505,0.136452706062006,0.0666042918564705,0.0978034375378662,0.236652853268545,0.0025026943700593,0.0100116743592001,0.163151080273516,0.0593516681467404
"tmx",0.079437853272913,0.284161896015572,0.220315622660293,0.25587327822771,0.213092096044461,0.0626190060015312,0.0732238987076126,0.147255560732224,0.149750152344891,0.156890594587164,0.12675198106706,0.103598053548366,0.245649313217893,-0.0122039109399446,0.00453051014353109,0.140765120183205,0.00368064059233538
"vap",0.163563492491717,0.0839730803215183,0.203396320247178,0.192854034961979,0.185803737677362,0.105397635494952,0.0661832628336113,0.151786004048258,0.225645823305732,0.0586375351844479,0.158587480020215,0.132273460662991,0.0831015154356012,0.0694095975546947,0.129725656863021,0.177035474280425,0.186478683393777
"wet",0.107367619077062,-0.0390738080421364,0.21765222807593,0.160528764281592,0.328213944623276,0.306791291192488,0.104064372430745,0.249732201837515,0.126907140434387,0.0227704446185095,0.194624238465878,0.169380420559397,0.216932397085247,0.345325564027909,0.296548997115966,0.421454307424656,0.283150030836625
"PDSI_prewhiten",0.045241373078646,0.00708546357189267,0.259742822541637,0.26057760868011,0.334214381214806,0.362863309670663,0.0945146995288828,0.274982685827941,0.178806911936526,0.130453399422056,0.150281595181303,0.232735007608205,0.180240889073456,0.271031811829688,0.271586447156113,0.436462071382176,0.302465913211517
