"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.104798666245075,-0.421927428375656,-0.285237137076643,-0.303452017790264,-0.0817689565265692,-0.0925471211448565,-0.22339976421063,-0.292366565975032,-0.075113674431079,-0.178219502585747,-0.0813024751872792,-0.101418846086846,-0.188447628974906,-0.00701874256931935,0.0343189163287534,-0.0468538225752915,-0.101949688522141
"dtr",-0.107588257467416,0.0638215878011092,-0.063466428720989,-0.131873686445447,-0.271791747802332,-0.286982137153107,-0.272300845432653,-0.275343456228371,-0.301558180481731,-0.210620086665831,-0.255245477684341,-0.283409273776636,-0.251402285574134,-0.276309188767875,-0.210112296647731,-0.310010073106824,-0.258750980416324
"pet",-0.0872932071551197,-0.0251539006516783,-0.123539979361581,-0.00324962989290665,-0.32958702698987,-0.213166411401761,-0.26490842799667,-0.281941305580247,-0.182165188875483,-0.107690564796089,-0.252796931462792,-0.214776942062863,-0.180237407715029,-0.307002573416904,-0.329981118208023,-0.348741147974465,-0.304308722699204
"PETminusPRE",-0.117070405449531,-0.00680344644702273,-0.24398319108281,-0.073840598524598,-0.346274788290588,-0.336035950670692,-0.0804535522304781,-0.267946485787466,-0.129045946582052,-0.0738198890903081,-0.201786314996352,-0.246649030907937,-0.263411495813186,-0.338687541106964,-0.272526750746289,-0.428520780722509,-0.307326316964616
"pre",-0.111119784701698,-0.338157209488755,-0.2294444114695,-0.200970671241643,-0.0395563474933113,-0.0300903792267758,-0.189204341092208,-0.242401424720487,-0.0623617436648251,-0.272293463784132,-0.126136828899257,-0.055255898700019,-0.16929592056535,0.0424604828413837,0.0225213404278478,-0.0206862920678363,0.0190311740429493
"tmn",-0.147795464161007,-0.181694347467779,-0.146543903636678,-0.0976045298087293,-0.0257905263672145,-0.0992300465770041,-0.0533589444177131,-0.0586643930641848,-0.0762174280180471,-0.156507522079595,-0.162570342675777,-0.106743809246408,-0.0770632961554122,-0.228532970702925,-0.250799721695453,-0.275069546848169,-0.247700054095986
"tmp",-0.133932069750439,-0.130231660471886,-0.121616817844362,-0.0837425616817088,-0.13865791096338,-0.165532249461724,-0.085484318373458,-0.149709785575009,-0.118324696160314,-0.187834673912037,-0.17334998940654,-0.176211667306306,-0.117574820565476,-0.279314523081817,-0.300538331726956,-0.282742989339761,-0.293955341853896
"tmx",-0.0988166725845645,-0.0756193041719721,-0.122237833605448,-0.0781817046609027,-0.230657313335634,-0.212821501795557,-0.196168038374758,-0.200093186344918,-0.174988541089387,-0.21755672259325,-0.169645466319623,-0.205999020330922,-0.174548086438437,-0.308631208587842,-0.304631043227413,-0.344518036008993,-0.290690740656782
"vap",-0.0847280603064557,-0.0981814164837192,-0.0623190411623859,-0.0986699454987191,-0.0532043702497776,-0.0870041803385667,-0.0612005088663113,-0.015872655028324,-0.0986911430347341,-0.236747236835112,-0.0998811317500801,-0.11168938930332,-0.0447792522416348,-0.207207240928767,-0.174524587758463,-0.191987150874986,-0.186819832427905
"wet",-0.115674241962475,-0.379360590800281,-0.220842975217374,-0.150986871935245,-0.0236494269566561,-0.0409090072533628,-0.133237903155334,-0.21096251035346,-0.0896148690155942,-0.284317268166076,-0.159414842260065,-0.0787945533197949,-0.14878278179111,0.04195244161348,0.0169321117967553,-0.00412751148066959,0.0360129747760092
"PDSI_prewhiten",-0.13217183416537,-0.400573812088984,-0.185881808294393,-0.0735158812160704,-0.0720341783709209,-0.0102149913364303,-0.120263560584219,-0.207172584669304,-0.130920667152758,-0.204943329139339,-0.114234807691929,-0.127090213525104,-0.116628478429516,-0.0854470983063513,0.005545164374292,-0.0209313160513169,0.0597947777915345
