"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_1SD_clim","variable","month"
"CACO",-0.100322753438319,FALSE,FALSE,-0.264404546133176,0.0676208684912073,-0.0132187124489373,"cld","prev.apr"
"CACO",-0.251540532348796,TRUE,FALSE,-0.424969151835484,-0.0629442126995683,-0.033143448045569,"cld","prev.may"
"CACO",-0.154234476509312,FALSE,FALSE,-0.323907030741058,0.0157492150168235,-0.020322221278969,"cld","prev.jun"
"CACO",-0.15545434658212,FALSE,FALSE,-0.347443772754528,0.0392148496670123,-0.0204829536269646,"cld","prev.jul"
"CACO",0.246896116985869,TRUE,TRUE,0.100207913883983,0.410069213265245,0.0325314912454229,"cld","prev.aug"
"CACO",0.142919835726063,FALSE,FALSE,-0.0434566116725107,0.333338560869137,0.0188313831804239,"cld","prev.sep"
"CACO",0.0672759423522633,FALSE,FALSE,-0.124047725880298,0.247915634583525,0.00886440320074166,"cld","prev.oct"
"CACO",0.145344653831955,FALSE,FALSE,-0.0601430002701495,0.32541828553148,0.0191508817207274,"cld","prev.nov"
"CACO",0.120805593250518,FALSE,FALSE,-0.0772947861301449,0.306617834092193,0.0159175694911892,"cld","prev.dec"
"CACO",0.00133065410777002,FALSE,FALSE,-0.201495840048098,0.191810196548102,0.00017532945834091,"cld","curr.jan"
"CACO",-0.000468112098204014,FALSE,FALSE,-0.215293203839568,0.202000281180284,-6.16793200740049e-05,"cld","curr.feb"
"CACO",0.15378923306777,FALSE,FALSE,-0.0373720558745898,0.320742682665714,0.0202635551755997,"cld","curr.mar"
"CACO",-0.0598740091276364,FALSE,FALSE,-0.248175186313495,0.109023644999222,-0.00788911072212428,"cld","curr.apr"
"CACO",0.215675225802379,TRUE,FALSE,0.0139079726186378,0.387114705361526,0.0284177685971718,"cld","curr.may"
"CACO",0.192677143970687,FALSE,FALSE,-0.00942435758320917,0.352673972490762,0.0253874985917022,"cld","curr.jun"
"CACO",0.133304832088803,FALSE,FALSE,-0.0798586428948825,0.298622229997488,0.0175644924311129,"cld","curr.jul"
"CACO",-0.0767751926691893,FALSE,FALSE,-0.247187069844845,0.117103870738368,-0.010116042077431,"cld","curr.aug"
"CACO",0.123140139480655,FALSE,FALSE,-0.0633683774466991,0.28731759812088,0.0162251736413674,"dtr","prev.apr"
"CACO",0.133531382739804,FALSE,FALSE,-0.0410697682103241,0.314238271625254,0.0175943431659468,"dtr","prev.may"
"CACO",0.0628690726780808,FALSE,FALSE,-0.133364422674814,0.235182413205034,0.00828374586203757,"dtr","prev.jun"
"CACO",0.0576615830517298,FALSE,FALSE,-0.153713769317838,0.24641840247959,0.00759759735043518,"dtr","prev.jul"
"CACO",-0.278609785892179,TRUE,FALSE,-0.438832838090567,-0.0822663640398748,-0.0367101432022899,"dtr","prev.aug"
"CACO",-0.216812245798467,TRUE,FALSE,-0.368768263041293,-0.0361354926105332,-0.0285675844650769,"dtr","prev.sep"
"CACO",-0.079534840271735,FALSE,FALSE,-0.239652593013221,0.102354088949155,-0.0104796583745144,"dtr","prev.oct"
"CACO",-0.159378796247703,FALSE,FALSE,-0.328237855253425,0.038958227312392,-0.0210000464087287,"dtr","prev.nov"
"CACO",-0.258666927427168,TRUE,FALSE,-0.43070165125723,-0.0547405340146142,-0.0340824351059314,"dtr","prev.dec"
"CACO",0.0356033164518934,FALSE,FALSE,-0.160052580490362,0.211146032933831,0.00469115914661825,"dtr","curr.jan"
"CACO",-0.104906318248256,FALSE,FALSE,-0.305129772150617,0.101409389851385,-0.013822651467127,"dtr","curr.feb"
"CACO",-0.269033933330994,TRUE,FALSE,-0.44767648765874,-0.0630586888117047,-0.035448411071527,"dtr","curr.mar"
"CACO",0.15809360004541,FALSE,FALSE,-0.0256092726364528,0.341410420964504,0.0208307065684998,"dtr","curr.apr"
"CACO",-0.100197939783177,FALSE,FALSE,-0.276144146879839,0.0809354352530848,-0.0132022667697621,"dtr","curr.may"
"CACO",-0.129247330897614,FALSE,FALSE,-0.329392303120271,0.0964543605178975,-0.0170298685330505,"dtr","curr.jun"
"CACO",-0.140590852998745,FALSE,FALSE,-0.331559012424058,0.0554983087555359,-0.0185245120877173,"dtr","curr.jul"
"CACO",-0.0793876291786335,FALSE,FALSE,-0.260746141559635,0.107137998648608,-0.0104602615672866,"dtr","curr.aug"
"CACO",0.0463898817380735,FALSE,FALSE,-0.141445854930615,0.219045217192667,0.00611241703620926,"frs","prev.oct"
"CACO",-0.0223953932892724,FALSE,FALSE,-0.231358284884569,0.15971588038304,-0.00295085864298734,"frs","prev.nov"
"CACO",-0.170257810911828,FALSE,FALSE,-0.362967909316111,0.00254539655871529,-0.0224334856001805,"frs","prev.dec"
"CACO",-0.0383002504321773,FALSE,FALSE,-0.204820026394607,0.137981958451921,-0.00504651218027535,"frs","curr.jan"
"CACO",0.0269019321090721,FALSE,FALSE,-0.147829146918864,0.194344971755593,0.00354464857355909,"frs","curr.feb"
"CACO",0.0287997609504973,FALSE,FALSE,-0.14847460454012,0.205986748206365,0.00379471002893495,"frs","curr.mar"
"CACO",0.0941412036896662,FALSE,FALSE,-0.115338027244315,0.285854015170688,0.0124042199652708,"frs","curr.apr"
"CACO",0.0101410558679006,FALSE,FALSE,-0.204769493191763,0.209602292200832,0.00133620436892021,"frs","curr.may"
"CACO",0.0567211763688883,FALSE,FALSE,-0.15404834148173,0.253295319912614,0.00747368761810128,"pet","prev.apr"
"CACO",0.00155689918328657,FALSE,FALSE,-0.185547469448786,0.185220498855766,0.000205139929981126,"pet","prev.may"
"CACO",-0.0277974510863995,FALSE,FALSE,-0.197697384209718,0.145019917718559,-0.00366264381838792,"pet","prev.jun"
"CACO",0.0797779719705619,FALSE,FALSE,-0.0872735328717196,0.250640740439386,0.0105116938590268,"pet","prev.jul"
"CACO",-0.327798963570465,TRUE,TRUE,-0.47704436747753,-0.159484656063104,-0.0431914006742423,"pet","prev.aug"
"CACO",-0.211118076975841,TRUE,FALSE,-0.404158953952573,-0.0141106779086437,-0.0278173101980505,"pet","prev.sep"
"CACO",-0.119102818286301,FALSE,FALSE,-0.283526967483302,0.044315793183073,-0.0156932086971937,"pet","prev.oct"
"CACO",-0.222692310846197,FALSE,FALSE,-0.428871045136458,0.0133607564981172,-0.0293423527642222,"pet","prev.nov"
"CACO",-0.0657110413960271,FALSE,FALSE,-0.257749103677466,0.123894783981535,-0.00865820894228492,"pet","prev.dec"
"CACO",0.00930934661309672,FALSE,FALSE,-0.165456717901334,0.177681029422329,0.0012266168117253,"pet","curr.jan"
"CACO",-0.130846982802992,FALSE,FALSE,-0.327325614722904,0.0702293179071574,-0.0172406416411529,"pet","curr.feb"
"CACO",-0.200265912321333,FALSE,FALSE,-0.390188622245496,0.000229392082299306,-0.0263874088137681,"pet","curr.mar"
"CACO",0.0547790206112039,FALSE,FALSE,-0.174096833739954,0.283383455517943,0.00721778556585486,"pet","curr.apr"
"CACO",-0.18743610124116,FALSE,FALSE,-0.380333529611459,0.0206070281867176,-0.0246969290608649,"pet","curr.may"
"CACO",-0.331939173012214,TRUE,TRUE,-0.462224289518435,-0.177949306426431,-0.0437369223651168,"pet","curr.jun"
"CACO",-0.23451934050135,TRUE,FALSE,-0.404290270517469,-0.0407776317621527,-0.0309007041728351,"pet","curr.jul"
"CACO",-0.0925712472161315,FALSE,FALSE,-0.245568498836081,0.0814973582072779,-0.0121973595824588,"pet","curr.aug"
"CACO",0.0595144394877953,FALSE,FALSE,-0.148558361817437,0.265331706272128,0.00784173315809691,"pet_sum","prev.apr"
"CACO",0.00463884419479932,FALSE,FALSE,-0.182250577897787,0.181657824388873,0.000611222732679233,"pet_sum","prev.may"
"CACO",-0.0333080862714627,FALSE,FALSE,-0.196408275722091,0.140246633449519,-0.00438873535222061,"pet_sum","prev.jun"
"CACO",0.0747221864518956,FALSE,FALSE,-0.085922822582216,0.249558914791279,0.00984553416260419,"pet_sum","prev.jul"
"CACO",-0.329188774632707,TRUE,TRUE,-0.487218325339622,-0.152831976835974,-0.0433745247628511,"pet_sum","prev.aug"
"CACO",-0.215156877389524,TRUE,FALSE,-0.409650337085139,-0.0102761112705802,-0.0283494700469121,"pet_sum","prev.sep"
"CACO",-0.119819570060306,FALSE,FALSE,-0.285980652555511,0.0432022737894851,-0.0157876492430631,"pet_sum","prev.oct"
"CACO",-0.221232365098031,FALSE,FALSE,-0.417760946336892,0.000775321917451922,-0.0291499875990463,"pet_sum","prev.nov"
"CACO",-0.0561925114538945,FALSE,FALSE,-0.250498724394721,0.120089632340397,-0.00740402974634599,"pet_sum","prev.dec"
"CACO",0.0110036720545907,FALSE,FALSE,-0.16278070980539,0.172617620723855,0.00144986428090285,"pet_sum","curr.jan"
"CACO",-0.127759530719274,FALSE,FALSE,-0.327961181177396,0.0723456976848227,-0.0168338332163858,"pet_sum","curr.feb"
"CACO",-0.204451951611467,TRUE,FALSE,-0.401617370696288,-0.0062104101851537,-0.0269389691306434,"pet_sum","curr.mar"
"CACO",0.0430401497560623,FALSE,FALSE,-0.185952484072667,0.257732156472548,0.00567105012457999,"pet_sum","curr.apr"
"CACO",-0.186667293688591,FALSE,FALSE,-0.384925102431697,0.00346696682242753,-0.024595629548863,"pet_sum","curr.may"
"CACO",-0.336598249714153,TRUE,TRUE,-0.476932840428281,-0.167561745175314,-0.04435081097054,"pet_sum","curr.jun"
"CACO",-0.232031213084731,TRUE,FALSE,-0.406483303794245,-0.0417049844282566,-0.030572863880086,"pet_sum","curr.jul"
"CACO",-0.0891799570904009,FALSE,FALSE,-0.254840705230434,0.0861805530756049,-0.0117505168925747,"pet_sum","curr.aug"
"CACO",0.00917433848873736,FALSE,FALSE,-0.162794732186202,0.152755511797048,0.00120882789033894,"pre","prev.apr"
"CACO",-0.047961048913574,FALSE,FALSE,-0.23102982422117,0.136754677962355,-0.00631943694336241,"pre","prev.may"
"CACO",-0.0376314110473293,FALSE,FALSE,-0.25688000266714,0.15635988102907,-0.00495838465984934,"pre","prev.jun"
"CACO",0.0735356817898708,FALSE,FALSE,-0.105206133166295,0.250090797531635,0.00968919810314513,"pre","prev.jul"
"CACO",0.316349493952743,TRUE,TRUE,0.144623445079488,0.458172855504295,0.0416827972778795,"pre","prev.aug"
"CACO",0.237404186446756,TRUE,TRUE,0.0861507273030421,0.373999643277862,0.0312808168362623,"pre","prev.sep"
