"Summary_type","Species","cld","drt","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",27.4233469037913,22.7763619619399,9.10295927255976,27.6710009061541,27.621061103158,26.052764786902,20.2298430014367,23.0940787868628,24.6029974148938,19.9375609461649,23.7828058219332
"Sum of all absolute correlations","CACO",2.14661542060912,1.85556497046463,0.561833978305326,2.90163706122796,2.88194490681228,2.25327946830843,1.22450590017656,1.9249698602977,2.21322599387448,1.24679820900701,1.73763072000628
"Sum of all absolute correlations","CAGL",2.14267344163302,1.09925170058159,0.744588113862889,1.92587675405583,1.88062944235874,1.70040690200989,1.67083112882835,1.72819089578365,1.80031592827217,1.53474666665719,1.60199536911468
"Sum of all absolute correlations","CAOV",2.09344004674959,1.56069101207891,0.760531826491319,2.10619239337194,2.10933158771443,1.48188165226759,1.50232511304927,1.73477579107868,1.80808829403097,1.33884226379671,1.35246917374614
"Sum of all absolute correlations","CATO",1.4855589418445,1.0972008312313,1.19279556900779,2.48755671994926,2.46727234794657,1.58311074365308,2.2413636668303,2.22925092896834,1.92883969206857,1.27646186585002,1.35686011837055
"Sum of all absolute correlations","FAGR",2.12955841316669,2.48351368958595,0.698849699107567,2.2892657748477,2.26230749602216,2.10138846050205,1.71194749694742,1.85372137071054,2.16912186255581,1.62541969472909,2.11744352092193
"Sum of all absolute correlations","FRAM",1.85959237833127,1.34338506171022,0.626054109853304,1.33182907748151,1.401742911736,1.83106297320814,1.3220677333924,1.35404316475913,1.30529622602162,1.58386087370428,1.72910811352817
"Sum of all absolute correlations","FRNI",2.24389106432817,2.19799457320533,0.263663637170079,1.68555823416818,1.66761125338492,2.33787145954112,1.5694428026442,1.66995108163858,1.55505721487873,1.6609611037571,1.81480248489364
"Sum of all absolute correlations","JUNI",2.13717473277185,1.1875025193672,0.780319629911594,1.75006440138761,1.77486997027595,1.55480671901728,1.67461057616877,1.73989189749879,1.64616213727278,1.03220674088388,1.9023192535422
"Sum of all absolute correlations","LITU",2.02791984649362,1.83642663865998,0.725600537634752,1.52337974844732,1.49591667728559,1.8424509304552,1.46891717345629,1.18114926677726,1.3861483589904,1.15538075946473,1.70910408203302
"Sum of all absolute correlations","PIST",1.58447815733111,1.70152416512224,0.690752988523874,1.39357782207783,1.42404852761561,1.67460354224956,1.2938703856826,1.3689928658516,1.40526588608777,1.97250199403427,1.90985163901402
"Sum of all absolute correlations","QUAL",1.83777231316755,1.6201357408598,0.469003257281589,2.05288449960248,2.07552262701247,2.06116443631598,1.15685337813898,1.58888833028973,1.89550960080514,1.10545828242309,1.79086121180895
"Sum of all absolute correlations","QUPR",1.64375753650872,1.57311428245292,0.534116698854505,2.09969878694306,2.13937521170862,1.91574036420065,1.02009680726589,1.50727084407297,1.77618773253096,1.56653165026658,1.57227270331275
"Sum of all absolute correlations","QURU",2.08375156044978,1.73493729360284,0.508018576751389,2.34583677441329,2.32275330162626,1.80617857361706,1.28772292451352,1.8668392087135,2.15054149192419,1.52650247879853,1.58505561541112
"Sum of all absolute correlations","QUVE",2.00716305040633,1.48511948301701,0.546830649803777,1.77764285818015,1.71773484165844,1.90881856155594,1.08528791434218,1.34614328042229,1.56323699558025,1.3118883627924,1.60303181622973
"Count of Significant correlations","All",29,17,4,27,26,38,10,12,11,9,23
"Count of Significant correlations","CACO",1,0,1,6,7,4,1,2,1,0,3
"Count of Significant correlations","CAGL",2,0,0,1,1,2,0,0,0,1,2
"Count of Significant correlations","CAOV",2,0,0,1,1,1,1,1,0,0,1
