"Climate_data","variable","month","ANPP_response"
"CRU_SCBI_1901_2014","cld","curr.apr",-0.122404327220479
"CRU_SCBI_1901_2014","cld","curr.aug",-0.151927255491607
"CRU_SCBI_1901_2014","cld","curr.feb",-0.0720277191441417
"CRU_SCBI_1901_2014","cld","curr.jan",0.00866857594800289
"CRU_SCBI_1901_2014","cld","curr.jul",0.0882847034201645
"CRU_SCBI_1901_2014","cld","curr.jun",0.146304153251857
"CRU_SCBI_1901_2014","cld","curr.mar",0.173137530771439
"CRU_SCBI_1901_2014","cld","curr.may",0.122792467382384
"CRU_SCBI_1901_2014","cld","prev.apr",0.1338851615135
"CRU_SCBI_1901_2014","cld","prev.aug",0.0387209869147017
"CRU_SCBI_1901_2014","cld","prev.dec",0.0131595982261691
"CRU_SCBI_1901_2014","cld","prev.jul",-0.177285153353212
"CRU_SCBI_1901_2014","cld","prev.jun",-0.0258873011565638
"CRU_SCBI_1901_2014","cld","prev.may",-0.285488052172864
"CRU_SCBI_1901_2014","cld","prev.nov",0.252763868796472
"CRU_SCBI_1901_2014","cld","prev.oct",0.0335265566236729
"CRU_SCBI_1901_2014","cld","prev.sep",0.0187134988840127
"CRU_SCBI_1901_2014","drt","curr.apr",0.198572422228153
"CRU_SCBI_1901_2014","drt","curr.aug",-0.142523448587572
"CRU_SCBI_1901_2014","drt","curr.feb",0.0261503195175531
"CRU_SCBI_1901_2014","drt","curr.jan",0.0237873469226224
"CRU_SCBI_1901_2014","drt","curr.jul",-0.0652743657739466
"CRU_SCBI_1901_2014","drt","curr.jun",0.0378327077637719
"CRU_SCBI_1901_2014","drt","curr.mar",-0.151343075568167
"CRU_SCBI_1901_2014","drt","curr.may",-0.000252908301848795
"CRU_SCBI_1901_2014","drt","prev.apr",-0.036992563972917
"CRU_SCBI_1901_2014","drt","prev.aug",0.0456535500059724
"CRU_SCBI_1901_2014","drt","prev.dec",-0.0770218977912767
"CRU_SCBI_1901_2014","drt","prev.jul",0.0136724812268266
"CRU_SCBI_1901_2014","drt","prev.jun",-0.0161015580260805
"CRU_SCBI_1901_2014","drt","prev.may",0.183005060055774
"CRU_SCBI_1901_2014","drt","prev.nov",-0.136100819516201
"CRU_SCBI_1901_2014","drt","prev.oct",-0.00399929661382423
"CRU_SCBI_1901_2014","drt","prev.sep",-0.136422012245366
"CRU_SCBI_1901_2014","frs","curr.apr",-0.0813201203018563
"CRU_SCBI_1901_2014","frs","curr.feb",0.0463287035196476
"CRU_SCBI_1901_2014","frs","curr.jan",-0.0551064850820065
"CRU_SCBI_1901_2014","frs","curr.mar",0.0200195165312343
"CRU_SCBI_1901_2014","frs","curr.may",0.0230566599410916
"CRU_SCBI_1901_2014","frs","prev.dec",-0.0645825456184105
"CRU_SCBI_1901_2014","frs","prev.nov",0.0396538359903815
"CRU_SCBI_1901_2014","frs","prev.oct",0.00767069189157184
"CRU_SCBI_1901_2014","pet","curr.apr",0.178243660485977
"CRU_SCBI_1901_2014","pet","curr.aug",-0.0306206910362459
"CRU_SCBI_1901_2014","pet","curr.feb",-0.000161636764715672
"CRU_SCBI_1901_2014","pet","curr.jan",0.0808789219957864
"CRU_SCBI_1901_2014","pet","curr.jul",-0.0786004361064769
"CRU_SCBI_1901_2014","pet","curr.jun",-0.0236124353824085
"CRU_SCBI_1901_2014","pet","curr.mar",-0.11025595252948
"CRU_SCBI_1901_2014","pet","curr.may",-0.157324374523435
"CRU_SCBI_1901_2014","pet","prev.apr",-0.0227555575593505
"CRU_SCBI_1901_2014","pet","prev.aug",-0.030908157998893
"CRU_SCBI_1901_2014","pet","prev.dec",0.0597365410962505
"CRU_SCBI_1901_2014","pet","prev.jul",0.094421951178984
"CRU_SCBI_1901_2014","pet","prev.jun",0.0290140755085747
"CRU_SCBI_1901_2014","pet","prev.may",0.183740776860954
"CRU_SCBI_1901_2014","pet","prev.nov",-0.241026640958289
"CRU_SCBI_1901_2014","pet","prev.oct",0.0415847091306529
"CRU_SCBI_1901_2014","pet","prev.sep",-0.138537424906541
"CRU_SCBI_1901_2014","pet_sum","curr.apr",0.172940050733685
"CRU_SCBI_1901_2014","pet_sum","curr.aug",-0.0325016740690548
"CRU_SCBI_1901_2014","pet_sum","curr.feb",0.0113148924501063
"CRU_SCBI_1901_2014","pet_sum","curr.jan",0.084300062018599
"CRU_SCBI_1901_2014","pet_sum","curr.jul",-0.0856764816536446
"CRU_SCBI_1901_2014","pet_sum","curr.jun",-0.0252308687690449
"CRU_SCBI_1901_2014","pet_sum","curr.mar",-0.106551285602488
"CRU_SCBI_1901_2014","pet_sum","curr.may",-0.155332190436233
"CRU_SCBI_1901_2014","pet_sum","prev.apr",-0.0193486385164957
"CRU_SCBI_1901_2014","pet_sum","prev.aug",-0.0328779646344049
"CRU_SCBI_1901_2014","pet_sum","prev.dec",0.0568736019250066
"CRU_SCBI_1901_2014","pet_sum","prev.jul",0.0948284224461559
