"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",28.9184377899038,27.1090997585564,27.8493933731557,8.56654470915095,29.8811910288832,29.7611731501472,25.3401297740134,18.4703527709622,22.204854090049,25.3303244358027,16.5277931640646,26.3648374371184
"Sum of all absolute correlations","CACO",2.12516863030153,2.23637533936576,2.23227556265166,0.475919861256704,2.4833324876914,2.48112604046169,2.04101735616716,1.29155787383385,1.63313774570614,1.87731973457822,1.14872798919989,2.21251563556454
"Sum of all absolute correlations","CAGL",2.16155620428802,1.64404126988945,1.53207137225829,0.583881503365801,1.67041313960688,1.62723073764921,1.48973129114003,1.30118380158051,1.40162967115134,1.49839971011449,0.999620460418287,1.49161073818452
"Sum of all absolute correlations","CAOV",1.92887746309771,1.57256409897256,1.55853348592374,0.696004835475325,1.93686422989815,1.93962605656804,1.42790242686565,1.49172269402128,1.56828434672327,1.57459644002035,1.0556176140002,1.38423994563414
"Sum of all absolute correlations","CATO",1.4549470568677,1.42543648369928,1.29530483175257,0.778437293517964,2.14902606492688,2.12689272056389,1.42248337593859,1.70317281948515,1.88667610408577,1.81448236335095,1.13949744591605,1.45048290431543
"Sum of all absolute correlations","FAGR",2.18556660705533,2.05477868031967,2.82219195742343,0.847421274109213,2.55121337637531,2.53993313834001,1.83601883048454,1.66609876022452,2.13676728871754,2.47891229715047,1.51901735330895,1.99409777373577
"Sum of all absolute correlations","FRAM",1.95035546946248,1.91122516987764,1.403234834819,0.685010406596685,1.90827651160805,1.88463799512407,1.78290592370342,1.32164342057876,1.53262369126896,1.68121933806133,1.28488510439674,1.81896087380656
"Sum of all absolute correlations","FRNI",2.11369238244878,1.80537236341553,1.94743499272499,0.470268405254204,1.4492435036509,1.4841863712087,1.78884280442845,1.53997777263208,1.42210578758699,1.37221858392418,1.3563342924637,1.72029898774158
"Sum of all absolute correlations","JUNI",2.33506830389856,1.82110042326731,1.66912558645355,0.555968326653174,1.89951982581689,1.8855415148336,1.68900570347849,1.17584302044371,1.27780578008192,1.47058976161729,0.858465671315371,1.81200189769759
"Sum of all absolute correlations","LITU",2.23488758511428,2.15850030064502,2.69292184143348,0.642425813894593,2.0162339012453,2.02511802117033,2.14095898147728,1.08197775263909,1.20777022817206,1.69887184719092,1.07054552319617,2.25116563191922
"Sum of all absolute correlations","PIST",1.4785759246013,1.70015692788776,1.64781138972807,0.692550256913845,1.44247185660312,1.43282339314739,1.75006709614003,1.26423262725257,1.4556218960429,1.4930918795382,1.90455229802758,1.92666468805767
"Sum of all absolute correlations","QUAL",2.09487704749223,2.3071013137659,2.16915597314645,0.489710610027968,2.33295867945503,2.31922595400284,2.10494441120665,1.2154063854557,1.65206374666592,2.03367992680291,1.04057819807942,2.19186363057834
