"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",7.74618017984656,9.90120972781261,6.68876774207623,1.54035286629057,9.1209439862349,9.0702197956703,9.10906063601829,5.64301934547792,7.73971692783996,8.61022469434862,4.96838605636269,9.57266775851633
"Sum of all absolute correlations","CACO",0.637822191323613,0.799156328372253,0.451833197317667,0.0513696096110265,0.86958382065331,0.872424676551261,0.699015127655214,0.558942430077158,0.750284854470665,0.776280766267207,0.228962215067037,0.781893915367338
"Sum of all absolute correlations","CAGL",0.35059375434125,0.535502048527925,0.155159832852029,0.0986832643105534,0.297041296714587,0.313321576563098,0.552718150067462,0.35978291251672,0.414020044707479,0.378473569218375,0.314095647959551,0.508398291854938
"Sum of all absolute correlations","CAOV",0.379994368444246,0.614453956380626,0.323949508604452,0.145199952013014,0.595738072746533,0.601876694712087,0.551751759827071,0.52752483668174,0.662561367618827,0.665186822198102,0.412953360745508,0.572542672948043
"Sum of all absolute correlations","CATO",0.234739484109572,0.317888560732252,0.2533956936403,0.168908648585441,0.582252607069199,0.574381778123319,0.203061446789251,0.737283139711083,0.841377654465266,0.76248572112524,0.359725493864819,0.280824469062475
"Sum of all absolute correlations","FAGR",0.832209852452722,1.03399795860241,0.732683558978451,0.179867112616662,0.976448766906871,0.968113339445222,0.954009699117808,0.516664152766345,0.895489571836928,1.04287761501491,0.550027554259279,0.92821681829749
"Sum of all absolute correlations","FRAM",0.598773435891635,0.687660118189167,0.457889080948757,0.0400538636971993,0.624586031380825,0.647787186749844,0.648877014017432,0.405577581937274,0.531685401077479,0.557208627498307,0.490832133977531,0.67153045358989
"Sum of all absolute correlations","FRNI",0.409631456203778,0.278400196014322,0.357615401008424,0.139272096837765,0.299873947249281,0.296651881059158,0.246730196484056,0.382412053301223,0.254611492415561,0.193062116988715,0.348075239991032,0.26072647224123
"Sum of all absolute correlations","JUNI",0.873060136484511,0.950837283234661,0.678009452600338,0.0883941765873412,0.654771645150339,0.634775533429992,0.944295949926462,0.172614793049975,0.20635716657055,0.433748970840268,0.153633065757802,1.01379251688224
"Sum of all absolute correlations","LITU",0.72600500611026,1.07336690358684,0.890252470053873,0.102731671961972,0.975266056982273,0.983925461062926,0.972526212746639,0.231682378176701,0.62133902411261,0.876043540556959,0.312614742281158,1.05141698363667
