"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","All",25.4769425043045,32.5872202054617,25.6808043997086,34.7610154304467,27.0590545241546,34.3746114733905,25.5295179647631,25.9109278704605,22.278881140391,27.5918392115732,17.4841449651479,28.3494813821776
"Sum of all absolute correlations","CACO",2.03203522394502,3.21130340112546,2.12465369319767,3.23062447248181,2.17698936752146,3.40289076535875,2.10984971083319,2.16431054688324,1.56073584127034,2.00656917808535,1.10354174159015,2.30243043936423
"Sum of all absolute correlations","CAGL",1.4804688142587,1.93546849155491,1.58888770009673,2.11486173101123,1.73927296560945,2.24193841064888,1.58864605821309,1.55751195606999,1.54433460099453,1.86140371824767,1.3397090092065,1.6256914370835
"Sum of all absolute correlations","CAOV",1.3952862300629,1.19430369725874,1.13575540389061,1.84314128746198,1.67892677163527,1.5017015512751,1.46814125808083,1.44271785488983,1.63469745628021,1.85742279253312,1.4210066943122,1.54889965607935
"Sum of all absolute correlations","CATO",1.3124023365943,0.971862115062595,1.7304875484475,1.70250689690871,1.59415686020184,1.40545182325877,1.44941352850654,1.29592984538664,1.61414929320056,1.71641268673156,1.37381653971656,1.40130858580201
"Sum of all absolute correlations","FAGR",1.93649609576804,2.95001748971113,2.13416251038205,2.8030890910116,2.10910087843944,2.99979602860348,2.10096602475509,2.08922002900789,2.12130614238806,2.65120845698263,1.61654628429997,2.27084557423067
"Sum of all absolute correlations","FRAM",1.73782993425251,1.61330914172916,1.81808309927668,1.59350773611555,2.01021050404238,1.73287566161584,1.68725121741466,1.71151427852211,1.48673728837762,1.66339379305144,1.30671673425333,2.00797703523119
"Sum of all absolute correlations","FRNI",1.81175156800144,3.32943621909657,1.67874731296506,3.6219762256759,1.94837526974132,3.28258769072531,1.74357075403344,1.70050731855078,1.39371522395424,1.506576081734,1.47604384237036,1.77927846133761
"Sum of all absolute correlations","JUNI",1.82089552953707,1.93360492637426,1.71426628885137,2.14566454912558,1.58046699968253,2.04689591388423,1.60561159648843,1.8493103957775,1.24557286221893,1.54970746287042,1.16980241580621,2.09015592777204
"Sum of all absolute correlations","LITU",2.21717883232429,3.2118219078274,1.97665754017631,2.75187901952528,1.87506844342242,3.18763071221846,2.16156765223088,2.35957827925304,1.34388096031537,2.03534289079231,1.0850773082549,2.49151153612452
"Sum of all absolute correlations","PIST",1.67461170931772,1.58708581006938,1.82590514977089,1.40066839122436,1.26674724767299,1.47334129181913,1.48454200242418,1.65020821747492,1.41801110461822,1.56077303215491,1.27804837816317,1.5751085634691
"Sum of all absolute correlations","QUAL",2.05462641757137,2.25086861075873,1.89893734942993,2.57837494916401,2.22194678313,2.38068735356819,2.14119075264529,2.12510257770615,1.70983266006789,2.24361712706824,1.20917508252726,2.25692058168909
"Sum of all absolute correlations","QUPR",1.90204308048087,2.9019175905713,1.9516099668016,3.4139200899851,2.37864889144852,3.15992929529559,1.85007260179191,1.87637631984883,1.80474602790135,2.33628101624802,1.11170992183886,2.21266266666899
"Sum of all absolute correlations","QURU",1.96885561726685,2.87310343904096,1.95047236321406,2.87520793106158,2.2461873796443,2.86762458889594,2.02753640602708,1.89172499723831,1.90576838892021,2.38720293255563,1.26865404723337,2.33014494741302
"Sum of all absolute correlations","QUVE",2.13246111492348,2.62311736528107,2.15217847320815,2.68559305969404,2.23295616196273,2.69126038622281,2.11115840131849,2.19691525385133,1.49539328988346,2.21592804251795,0.724296965575036,2.45654596991232
"Count of Significant correlations","All",38,52,37,55,37,57,32,37,23,40,10,44
"Count of Significant correlations","CACO",3,8,5,6,5,9,2,3,1,2,1,5
"Count of Significant correlations","CAGL",1,3,3,2,2,3,1,1,2,2,1,2
"Count of Significant correlations","CAOV",1,0,2,1,1,1,1,2,1,2,1,2
"Count of Significant correlations","CATO",2,0,2,1,1,1,2,2,2,2,1,2
"Count of Significant correlations","FAGR",3,5,4,2,3,3,3,3,3,6,1,3
"Count of Significant correlations","FRAM",3,1,1,2,2,1,2,3,1,3,1,4
"Count of Significant correlations","FRNI",3,8,2,10,3,8,3,3,1,0,1,3
"Count of Significant correlations","JUNI",3,2,3,2,3,2,3,3,2,3,1,3
"Count of Significant correlations","LITU",4,4,3,5,4,6,3,4,2,4,0,4
"Count of Significant correlations","PIST",3,0,0,0,1,0,1,1,1,0,1,1
"Count of Significant correlations","QUAL",2,6,3,5,3,6,2,2,2,5,1,3
"Count of Significant correlations","QUPR",3,6,3,9,3,8,3,3,1,5,0,4
"Count of Significant correlations","QURU",4,6,3,7,4,6,4,4,2,4,0,4
"Count of Significant correlations","QUVE",3,3,3,3,2,3,2,3,2,2,0,4
"Sum of absolute significant correlations","All",10.0225545934884,14.7972806586647,9.78325465619084,15.6089629508242,9.6914516910838,16.2812430846774,8.84898218778322,10.133590075016,5.72138057873513,10.0587851665014,2.3402607022499,12.388188104048
"Sum of absolute significant correlations","CACO",0.7364101769973,1.90509074501088,1.22959962325041,1.62335366455719,1.24817801143383,2.26034749521089,0.563842189023057,0.776441242365626,0.335537443444792,0.602193410175703,0.233184640923798,1.21668451862504
"Sum of absolute significant correlations","CAGL",0.246755438704069,0.681746055644708,0.700918309075669,0.501049084152271,0.537205406714216,0.708495391116844,0.251748511667669,0.273687077809836,0.472312531915748,0.543334887949004,0.221921529665337,0.484906399398719
"Sum of absolute significant correlations","CAOV",0.250358521865583,NA,0.499465737910218,0.208087562978816,0.265892156087369,0.230236515211945,0.240526718239859,0.49019392448812,0.282752005292255,0.511675732653745,0.258590453853152,0.520467844138338
"Sum of absolute significant correlations","CATO",0.454634585250766,NA,0.438913654108161,0.22692639204046,0.234653476179215,0.193501130919083,0.487653806564061,0.452315815355556,0.5123434474612,0.493665100389416,0.224538994300801,0.468322842878723
"Sum of absolute significant correlations","FAGR",1.01859905207424,1.62086817033342,1.29857309127351,0.748713259239497,0.993430128472472,1.07781292922203,1.08891410079836,1.06983432348808,0.800343898625416,1.61375672873672,0.227988213981026,1.18126701212677
"Sum of absolute significant correlations","FRAM",0.679865896171024,0.217551713649624,0.257186482677538,0.458378687778786,0.473456426193114,0.231130367056556,0.427385852247405,0.712971466151719,0.255386802489097,0.707513784988337,0.222853968650978,0.907684090454015
"Sum of absolute significant correlations","FRNI",0.881200376291218,2.16074812481776,0.55690930642405,2.78132794354865,0.760172701638671,2.12166219436674,0.851416237871556,0.819239438469928,0.248826569260881,NA,0.268499478721923,0.904095596018886
"Sum of absolute significant correlations","JUNI",0.812223104347535,0.698484655020283,0.764744018996817,0.608792955133098,0.742531331365993,0.727375092592898,0.803783636174509,0.912635183026598,0.463994344529324,0.700213809501224,0.214064962173317,0.967400357972024
"Sum of absolute significant correlations","LITU",1.01440345867041,1.49600323143303,0.702341657560692,1.61374436808403,1.00642170955596,2.03061247517735,0.845613550421522,1.12507193645079,0.455805512490148,1.06552072257483,NA,1.28729425280625
"Sum of absolute significant correlations","PIST",0.790155687619754,NA,NA,NA,0.238090302873874,NA,0.309438811216266,0.264082414284934,0.285088364260958,NA,0.262218885277522,0.272900692824983
"Sum of absolute significant correlations","QUAL",0.589404175431841,1.5870148928982,0.829100046828666,1.36113161709669,0.80808696552389,1.59627231998055,0.526706799241958,0.607798127677283,0.482951285272999,1.14402921639904,0.206399574702043,0.801173270943916
"Sum of absolute significant correlations","QUPR",0.781822077492047,1.75770774828811,0.897809590045188,2.64004478875452,0.826785265064115,2.33700680392675,0.790052598912371,0.813606699913849,0.191999060717444,1.1313983791683,NA,1.09202024269907
"Sum of absolute significant correlations","QURU",1.0339764730742,1.65893832442209,0.890692304598058,1.8669345603187,1.01996538354771,1.71335589417672,1.07261714778961,1.03697163477625,0.508703178864694,1.00017766540441,NA,1.21237175466079
"Sum of absolute significant correlations","QUVE",0.732745569498433,1.0131269971466,0.717000833441865,0.970478067141456,0.536582426433367,1.05343447571901,0.589282227615016,0.778740790757448,0.425336134110175,0.545305728560627,NA,1.07159922850048
