"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0.05811447775438,-0.233441317641683,-0.0825298645816277,-0.12810048864771,0.0801154370875814,0.0534409767156872,0.0368969628898676,0.173086090917705,0.0851714780665175,0.0073944531649987,0.0392266157840018,0.123340160022309,-0.0189479988729543,0.158040407722447,0.156502214112636,0.131289193391438,0.03281560209189
"deficit",-0.0522321983698566,0.15307131817715,0.0341018728783697,0.0397065102473861,-0.05790602106322,-0.0846872823517921,0.0651252184910559,-0.0963367681210493,-0.0395102500041143,0.0823524498781504,-0.0582345250832553,-0.0716980239223952,0.00433994949998299,-0.170691425458312,-0.128603157152561,-0.177298814625447,-0.222090675046008
"dtr",-0.0311869109688981,0.187955507319758,0.0511622889768156,0.0410356977853054,-0.0656343125687387,-0.117966710268758,-0.0462104012509657,-0.146768191977022,-0.157692695538605,-0.015673394732438,-0.102531464295736,-0.154481252010108,0.040300209250708,-0.106989015036634,-0.0792892328053316,-0.124955160045728,-0.150935670539478
"pet",-0.0420097508947694,0.134135200328291,0.0105167301803913,0.102196861406774,-0.0337138867498622,-0.0929018539493277,-0.0901719495209747,-0.244413799461404,-0.132375979723433,-0.0502077599294824,-0.112057205585373,-0.0735772599789854,0.0588632785043655,-0.171055795379377,-0.163217840190424,-0.166327617247221,-0.13731126889939
"pre",0.0464458686822212,-0.141500774629604,-0.0358906572575695,-0.0139540545493055,0.0594145952500296,0.0786207603182924,-0.0858960395174704,0.0615150786106053,0.0149869686804997,-0.0959544595262943,0.0376667832885341,0.0577620480062712,0.0112392005078586,0.155673824656235,0.109374399838717,0.162193091696603,0.219623444056868
"tmn",0.0145180554618099,-0.0640890755078112,-0.024159436920722,0.0602921880019365,0.0879017436547707,0.0219037224420673,-0.0228474902242481,-0.0322913479773895,0.00943358905553264,-0.0526466810667003,-0.0447522315644395,0.00689184603048558,0.0432147364356145,-0.131396484717375,-0.0899097707771617,-0.0362814131158044,-0.0139880047212393
"tmp",0.000122719357958803,0.00427155011749309,0.00767330395955769,0.0781211496268526,0.0569943565460286,-0.041257215783775,-0.0491327381480571,-0.0988126513008598,-0.0294499064155961,-0.054489753084529,-0.0652607976183561,-0.0350885773535981,0.0586355628954461,-0.161743694389452,-0.130525148630138,-0.106670610993443,-0.0963674891051269
"tmx",-0.0130547477020566,0.0564240231540455,0.0228637364452048,0.0790569189654999,0.0191209549938814,-0.0810522027348176,-0.0652878448733233,-0.140269988020651,-0.0633009671695683,-0.0519191629361459,-0.0787992356648411,-0.0710238276461654,0.0590499264764541,-0.171336128040275,-0.137449573210152,-0.134574729259286,-0.145593376282456
"vap",0.0610648361896953,-0.0465964780650591,0.0375816276979888,0.0306590881561299,0.0789813206706301,0.0277370574814092,-0.00371548773646827,0.0698788203531099,0.0324572077691531,-0.0409816408683457,-0.0131409141575082,0.0128367979975688,0.0170132334696809,-0.100576504459337,-0.0567209283687417,0.0148800315075465,0.0382479382667873
"wet",0.0494449243511864,-0.162750322172505,-0.043173735476818,0.00968365440987049,0.0889518168217001,0.0679047278930778,-0.0339388104321588,0.0889832068678049,0.0123658364108064,-0.122669264131058,0.0257051183054174,0.056175230468673,0.00842267008670393,0.170526685558399,0.11727490429407,0.177235553274591,0.217332815516878
"PDSI_prewhiten",-0.00979563526764107,-0.138905671888807,-0.0519216880101839,0.0903155729663694,0.043163217948037,0.139033546841072,0.0036516317736852,0.00906973057741546,0.00954714620128923,-0.00965873861481231,0.066664733374309,0.108353852760864,0.0249558660644031,0.103120743140992,0.109075341680378,0.179616791425923,0.249750050231214
