"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",11,0,3,2,10,11,10,13,12,7,10,13,6,13,14,10,8
"deficit",3,13,10,8,4,2,11,2,5,10,2,3,8,0,0,1,0
"dtr",5,14,10,10,4,1,4,1,0,8,1,1,10,1,3,2,0
"pet",3,13,6,12,7,2,4,1,2,3,2,4,11,0,0,1,1
"pre",11,1,4,7,12,10,3,12,6,3,10,11,7,14,14,13,14
"tmn",8,2,6,10,12,8,5,4,8,3,4,8,10,2,3,6,6
"tmp",8,8,7,11,11,4,3,2,6,4,3,6,10,1,1,4,2
"tmx",5,11,8,10,9,2,3,2,3,3,3,2,11,1,1,4,0
"vap",13,3,10,8,13,10,7,13,9,4,5,8,9,2,5,9,10
"wet",11,0,4,6,12,7,4,12,8,3,9,12,8,14,14,13,14
"PDSI_prewhiten",6,2,3,10,9,14,7,8,9,5,12,13,9,11,12,13,14
