"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0.266193492241972,0.0185000521757344,0.292493665675564,0.209149052971567,0.273621896080333,0.249902414409831,-0.0158878471399693,0.43224895331518,0.163535514117586,0.122211132192373,0.0953080424617404,0.330622649158513,0.0687302113972995,0.289434756538598,0.3914145745399,0.382502277823349,0.229666094390094
"deficit",0.353758009560697,0.301934854614986,0.171292670044478,0.149898760382396,0.315795086245191,0.220474984909665,0.524573645344277,0.187718273280662,0.408150052909319,0.446389846144365,0.217867334641253,0.308874640719122,0.252354663250328,0.353525935559462,0.179989182015705,0.282058715076429,0.233323238854191
"dtr",0.1994501577576,0.538779327298647,0.00206346616068511,0.0721539165027947,0.303951158985662,0.252788600502691,0.281551162688157,0.121417048522928,0.118322654884597,0.379061387935938,0.195223800801112,0.343950356399392,0.331944818980062,0.262968765760334,0.138308603425694,0.274960012541874,0.116560772552434
"pet",0.159414983948026,0.421155571728542,0.190331771460138,0.130185887016941,0.208007804846013,0.0687581218593216,0.226564715848611,0.172496043520024,0.158517873481649,0.287319890414046,0.20739153999993,0.295733687424291,0.396698960160293,0.1610069769148,0.0702172642303135,0.133590835327498,0.162252803847926
"pre",0.232354788439702,0.16503114131824,0.385054416220154,0.315908764220165,0.286406632410397,0.493528008123816,0.171912565363845,0.27528647205202,0.0390886401118616,0.049140619830413,0.328676341723435,0.376134120197118,0.267737960726376,0.34085844751578,0.217620541105209,0.246308539618278,0.388773158543696
"tmn",0.204476524331194,0.183264723388651,0.298703587619118,0.180120483754537,0.0741851047597529,0.26172779340543,0.0707604734321622,0.184410679118609,0.140611934628842,0.199327105217296,0.356399655128322,0.378457715718096,0.258663511848557,0.196429782055359,0.362876718038275,0.0350288221359998,0.2032322164119
"tmp",0.126030794865553,0.181856995055804,0.259286276811237,0.0528487408446854,0.123781701343101,0.117355360021249,0.0478828491347865,0.224755272315742,0.144600053339241,0.192601723360638,0.313007724900095,0.430557862418224,0.342165870791819,0.118998256497345,0.278311594777813,0.0410402327979245,0.242637718783195
"tmx",0.159367233756038,0.279595139790776,0.160433739074115,-0.00447961625655334,0.195656883449488,0.0795127662054963,0.0847598733093819,0.216071165880922,0.15339300278398,0.239559770397395,0.275022972347465,0.43994810293063,0.360069210248323,0.0732868031838045,0.129833081918599,0.140914710991898,0.25753467816102
"vap",0.171295105206984,0.109676523872167,0.288415456713896,0.308174982130819,0.0457686748631994,0.215825017857736,0.00366863528694725,0.165924858111303,0.108234385740343,0.204362752612724,0.288475138838988,0.390851657736283,0.167565897467909,0.16505942641795,0.392833133089684,0.109816846855351,0.324272674731512
"wet",0.27912960741643,0.142839811496917,0.36476706062879,0.358341173175861,0.302634190922158,0.509751952983767,0.133044966449098,0.307725243708886,-0.000704629125895291,-0.00162856535568202,0.262952888381398,0.339672216309623,0.210360710389911,0.453832441788001,0.27089077122558,0.312109148360838,0.305673977800564
"PDSI_prewhiten",0.164088805963259,0.182438146504914,0.344716465851297,0.495765333975861,0.317544211914867,0.565818957680251,0.12335454352407,0.276998018226489,0.198351347540287,0.0839558178505893,0.365252042963998,0.475945177705407,0.268847639105305,0.423937264660529,0.194794550410517,0.313597965470429,0.404192708626774
