"Species","coef","significant","significant2","ci.lower","ci.upper","variable","month"
"CACO",-0.131661790345689,FALSE,FALSE,-0.413391019542736,0.120758916010449,"Tmin","prev.apr"
"CACO",-0.00180238782350113,FALSE,FALSE,-0.339177041285566,0.354377825401389,"Tmin","prev.may"
"CACO",0.043940499612331,FALSE,FALSE,-0.280780614390155,0.437494148449546,"Tmin","prev.jun"
"CACO",-0.127016259870735,FALSE,FALSE,-0.402152031397911,0.120714733255429,"Tmin","prev.jul"
"CACO",-0.0424401323320574,FALSE,FALSE,-0.427947526571618,0.381107089853541,"Tmin","prev.aug"
"CACO",-0.163571324061386,FALSE,FALSE,-0.414189555844609,0.11537910981501,"Tmin","prev.sep"
"CACO",-0.125867430684514,FALSE,FALSE,-0.459636958327035,0.143152354402068,"Tmin","prev.oct"
"CACO",0.0850261196497053,FALSE,FALSE,-0.203368541334906,0.427518672817292,"Tmin","prev.nov"
"CACO",-0.143729327201055,FALSE,FALSE,-0.4198080967869,0.175002073290435,"Tmin","prev.dec"
"CACO",0.0730245429079549,FALSE,FALSE,-0.248737753403278,0.388375004812234,"Tmin","curr.jan"
"CACO",0.0156477443333567,FALSE,FALSE,-0.307007991727123,0.324060712031532,"Tmin","curr.feb"
"CACO",-0.013309181556692,FALSE,FALSE,-0.360861772509594,0.328814123054848,"Tmin","curr.mar"
"CACO",-0.11804394299284,FALSE,FALSE,-0.400333164466696,0.211745057829532,"Tmin","curr.apr"
"CACO",-0.00967079802561904,FALSE,FALSE,-0.32300498755012,0.281022169477875,"Tmin","curr.may"
"CACO",-0.0985853061979022,FALSE,FALSE,-0.455187786633833,0.214807586985716,"Tmin","curr.jun"
"CACO",-0.151028551407114,FALSE,FALSE,-0.518890960674325,0.230846149715226,"Tmin","curr.jul"
"CACO",0.0744129329934977,FALSE,FALSE,-0.251189353921016,0.296549486930244,"Tmin","curr.aug"
"CACO",-0.101478258148519,FALSE,FALSE,-0.386957852046322,0.166723471767815,"Tmean","prev.apr"
"CACO",-0.0261420987172237,FALSE,FALSE,-0.285609099981067,0.36524028332681,"Tmean","prev.may"
"CACO",-0.107634756090782,FALSE,FALSE,-0.389259574819632,0.281881653335374,"Tmean","prev.jun"
"CACO",-0.145063711953286,FALSE,FALSE,-0.414328644798193,0.158210657506944,"Tmean","prev.jul"
"CACO",-0.116847628702237,FALSE,FALSE,-0.484298407323579,0.217120756208175,"Tmean","prev.aug"
"CACO",-0.295401119275624,TRUE,FALSE,-0.542494066925904,-0.0710876067197887,"Tmean","prev.sep"
"CACO",-0.17990571259553,FALSE,FALSE,-0.514649674022914,0.125658441442439,"Tmean","prev.oct"
"CACO",-0.00953545071620359,FALSE,FALSE,-0.320011197919201,0.320366125518317,"Tmean","prev.nov"
"CACO",-0.153846706284296,FALSE,FALSE,-0.451787500051176,0.156064065012821,"Tmean","prev.dec"
"CACO",0.114483042038464,FALSE,FALSE,-0.168971633866585,0.36989816778041,"Tmean","curr.jan"
"CACO",-0.0447998798809849,FALSE,FALSE,-0.331101265356877,0.251491326289547,"Tmean","curr.feb"
"CACO",-0.0262939436191101,FALSE,FALSE,-0.333054595239893,0.343996785303283,"Tmean","curr.mar"
"CACO",0.0562506609245455,FALSE,FALSE,-0.312871176113046,0.366468130243034,"Tmean","curr.apr"
"CACO",-0.0898187655864899,FALSE,FALSE,-0.32898656759223,0.174408607393942,"Tmean","curr.may"
"CACO",-0.156168578872594,FALSE,FALSE,-0.51972966893607,0.209503334705002,"Tmean","curr.jun"
"CACO",-0.0990585702956281,FALSE,FALSE,-0.4478691746415,0.261943399420178,"Tmean","curr.jul"
"CACO",-0.0979864961939942,FALSE,FALSE,-0.43447423194821,0.167752740074725,"Tmean","curr.aug"
"CACO",-0.111145546679767,FALSE,FALSE,-0.416253296017919,0.171891247878203,"Tmax","prev.apr"
"CACO",0.0408422929418353,FALSE,FALSE,-0.270628431282578,0.431541125457907,"Tmax","prev.may"
"CACO",-0.134172593020327,FALSE,FALSE,-0.432611262228441,0.254211566032176,"Tmax","prev.jun"
"CACO",-0.106722157041772,FALSE,FALSE,-0.411773284266368,0.253286919802339,"Tmax","prev.jul"
"CACO",-0.136160745369019,FALSE,FALSE,-0.485181269805625,0.151447582752045,"Tmax","prev.aug"
"CACO",-0.328331054329328,TRUE,FALSE,-0.627026583826841,-0.0673351395731891,"Tmax","prev.sep"
"CACO",-0.113567317289274,FALSE,FALSE,-0.431074689213845,0.189636315462121,"Tmax","prev.oct"
"CACO",-0.0865154776918094,FALSE,FALSE,-0.464059840247203,0.279129845468292,"Tmax","prev.nov"
"CACO",-0.134117340452841,FALSE,FALSE,-0.446615812876103,0.167140578437411,"Tmax","prev.dec"
"CACO",0.11141299128455,FALSE,FALSE,-0.185612487046364,0.43566102283383,"Tmax","curr.jan"
"CACO",-0.0633939729841712,FALSE,FALSE,-0.333468357575229,0.224708993826629,"Tmax","curr.feb"
"CACO",-0.00334403601771266,FALSE,FALSE,-0.35451627454086,0.381066684345041,"Tmax","curr.mar"
"CACO",0.0529453608556667,FALSE,FALSE,-0.279108127738692,0.345534992895634,"Tmax","curr.apr"
"CACO",-0.0321768630547935,FALSE,FALSE,-0.304600825161348,0.260778370501245,"Tmax","curr.may"
"CACO",-0.0566878118087191,FALSE,FALSE,-0.345062224409081,0.25200801786512,"Tmax","curr.jun"
"CACO",-0.00875241761265642,FALSE,FALSE,-0.329975108431154,0.37434412952582,"Tmax","curr.jul"
"CACO",-0.213942231065168,FALSE,FALSE,-0.628818731728159,0.0791009931435647,"Tmax","curr.aug"
"CACO",-0.192523838382037,FALSE,FALSE,-0.474914037994589,0.0998445296054208,"PPT","prev.apr"
"CACO",0.0915531353444289,FALSE,FALSE,-0.13515971442639,0.330386160035758,"PPT","prev.may"
"CACO",0.0302716563455948,FALSE,FALSE,-0.284824104197767,0.269868924943639,"PPT","prev.jun"
"CACO",0.161281131996289,FALSE,FALSE,-0.0903312262224754,0.476894271020677,"PPT","prev.jul"
"CACO",0.0687417189879831,FALSE,FALSE,-0.272456489560143,0.326645395961072,"PPT","prev.aug"
"CACO",0.200190199066596,FALSE,FALSE,-0.054176406634116,0.460948422858374,"PPT","prev.sep"
"CACO",-0.291273865902205,FALSE,FALSE,-0.579966344716141,0.0421383515645113,"PPT","prev.oct"
"CACO",0.102319968339154,FALSE,FALSE,-0.22235881923147,0.412601571411577,"PPT","prev.nov"
"CACO",-0.072403852421295,FALSE,FALSE,-0.451355233961584,0.247465600845936,"PPT","prev.dec"
"CACO",-0.154319949452102,FALSE,FALSE,-0.412170922064209,0.119126197727757,"PPT","curr.jan"
"CACO",0.203142398308578,FALSE,FALSE,-0.105994439408445,0.543724287863803,"PPT","curr.feb"
"CACO",0.348408849209038,FALSE,FALSE,-0.0164380805444786,0.72330758050075,"PPT","curr.mar"
"CACO",-0.210897287088537,FALSE,FALSE,-0.4921434712736,0.112031606205104,"PPT","curr.apr"
"CACO",0.00448183210365882,FALSE,FALSE,-0.241455332818315,0.28137732067157,"PPT","curr.may"
"CACO",0.039663939361048,FALSE,FALSE,-0.21973278491782,0.31407866436372,"PPT","curr.jun"
"CACO",0.0804854212985859,FALSE,FALSE,-0.174787472366228,0.312517677453364,"PPT","curr.jul"
"CACO",0.108494558820861,FALSE,FALSE,-0.206045574969583,0.360180538069342,"PPT","curr.aug"
"CAGL",-0.000346619111399563,FALSE,FALSE,-0.268239380787435,0.293150430775597,"Tmin","prev.apr"
"CAGL",0.054485423082723,FALSE,FALSE,-0.217697004813425,0.355232383372066,"Tmin","prev.may"
"CAGL",-0.0468064074886604,FALSE,FALSE,-0.3553715993878,0.287013193591232,"Tmin","prev.jun"
"CAGL",0.0973102121704509,FALSE,FALSE,-0.176181010867041,0.351661033613181,"Tmin","prev.jul"
"CAGL",-0.0489239444030067,FALSE,FALSE,-0.344872648860913,0.203232410762033,"Tmin","prev.aug"
"CAGL",0.129426562173797,FALSE,FALSE,-0.155065908989764,0.402929091286842,"Tmin","prev.sep"
"CAGL",0.00149863413386417,FALSE,FALSE,-0.301042686895592,0.244459994907666,"Tmin","prev.oct"
"CAGL",0.00759750718980831,FALSE,FALSE,-0.269430050696923,0.231040116505108,"Tmin","prev.nov"
"CAGL",-0.427133600538612,FALSE,FALSE,-0.739471624370869,0.0199047079991369,"Tmin","prev.dec"
"CAGL",0.13407710522934,FALSE,FALSE,-0.157654079482483,0.463439392421,"Tmin","curr.jan"
"CAGL",-0.293058606561393,FALSE,FALSE,-0.622895256503373,-0.0216921867597855,"Tmin","curr.feb"
"CAGL",-0.120936470825404,FALSE,FALSE,-0.466019916547106,0.208785018400561,"Tmin","curr.mar"
"CAGL",0.209151367605271,FALSE,FALSE,-0.0518916152480176,0.566448043311332,"Tmin","curr.apr"
"CAGL",-0.129180592072108,FALSE,FALSE,-0.44878738104128,0.249116887270134,"Tmin","curr.may"
"CAGL",-0.301822420940377,FALSE,FALSE,-0.581409193801159,0.0525551914721949,"Tmin","curr.jun"
"CAGL",-0.15990518113772,FALSE,FALSE,-0.422385828133656,0.125065386038524,"Tmin","curr.jul"
"CAGL",0.0278610803132811,FALSE,FALSE,-0.261423243401529,0.275719767207583,"Tmin","curr.aug"
"CAGL",0.0159237215924252,FALSE,FALSE,-0.286225854164905,0.319347522005441,"Tmean","prev.apr"
"CAGL",0.165948081136199,FALSE,FALSE,-0.131026367624206,0.479150803763273,"Tmean","prev.may"
"CAGL",-0.092027292823898,FALSE,FALSE,-0.332885610617187,0.19356333198561,"Tmean","prev.jun"
"CAGL",0.021725067587611,FALSE,FALSE,-0.265835779528494,0.319272239643783,"Tmean","prev.jul"
"CAGL",-0.0634261915663209,FALSE,FALSE,-0.359785682620112,0.222271804010799,"Tmean","prev.aug"
"CAGL",0.00491166369257223,FALSE,FALSE,-0.219302276400962,0.254608984317761,"Tmean","prev.sep"
"CAGL",-0.0414130108122153,FALSE,FALSE,-0.325321001773358,0.203346021643502,"Tmean","prev.oct"
"CAGL",-0.0178468617062814,FALSE,FALSE,-0.374679867168496,0.299782210214301,"Tmean","prev.nov"
"CAGL",-0.371396302759804,FALSE,FALSE,-0.801410712197568,0.0601653710137217,"Tmean","prev.dec"
"CAGL",0.111654671090329,FALSE,FALSE,-0.195556137991188,0.4236642807985,"Tmean","curr.jan"
"CAGL",-0.344096325255895,FALSE,FALSE,-0.621533311577642,0.0200633555105761,"Tmean","curr.feb"
"CAGL",-0.00777277404114867,FALSE,FALSE,-0.452229038219477,0.364797768786221,"Tmean","curr.mar"
"CAGL",0.33739779529814,FALSE,FALSE,-0.028981210940391,0.673900620473876,"Tmean","curr.apr"
"CAGL",-0.142061328414912,FALSE,FALSE,-0.44400165354843,0.271352077332252,"Tmean","curr.may"
"CAGL",-0.328898797367686,TRUE,FALSE,-0.582484222853359,-0.00590975395045372,"Tmean","curr.jun"
"CAGL",-0.0897721530560727,FALSE,FALSE,-0.371484770494029,0.166918017840214,"Tmean","curr.jul"
"CAGL",0.0188515440342925,FALSE,FALSE,-0.265226508517977,0.292721823305615,"Tmean","curr.aug"
"CAGL",0.00343846617920124,FALSE,FALSE,-0.34573830706967,0.312579041929847,"Tmax","prev.apr"
"CAGL",0.215481005329597,FALSE,FALSE,-0.081549332018198,0.55925032579055,"Tmax","prev.may"
"CAGL",-0.082446267851024,FALSE,FALSE,-0.344963495133109,0.158534227882386,"Tmax","prev.jun"
"CAGL",-0.101087939408314,FALSE,FALSE,-0.426943169812337,0.263429729248573,"Tmax","prev.jul"
"CAGL",-0.0231191932493214,FALSE,FALSE,-0.322747986721011,0.255433440492651,"Tmax","prev.aug"
"CAGL",-0.058702749631988,FALSE,FALSE,-0.303558451440092,0.212176384219312,"Tmax","prev.sep"
"CAGL",-0.0476111336462489,FALSE,FALSE,-0.332336197425466,0.239752434936477,"Tmax","prev.oct"
"CAGL",-0.0565957093282015,FALSE,FALSE,-0.449675741477268,0.340287619044091,"Tmax","prev.nov"
"CAGL",-0.259225734099604,FALSE,FALSE,-0.710153106076694,0.109528769917862,"Tmax","prev.dec"
"CAGL",0.0383233696395861,FALSE,FALSE,-0.267753067510105,0.346498944396121,"Tmax","curr.jan"
"CAGL",-0.28289915279333,FALSE,FALSE,-0.641681766441352,0.0810274241461075,"Tmax","curr.feb"
"CAGL",0.0361397463422207,FALSE,FALSE,-0.370479755638437,0.447487456122384,"Tmax","curr.mar"
"CAGL",0.314801290508395,FALSE,FALSE,-0.0380057893843117,0.633657971376424,"Tmax","curr.apr"
"CAGL",-0.108348977656612,FALSE,FALSE,-0.422851480404677,0.298538636553461,"Tmax","curr.may"
"CAGL",-0.104613379466447,FALSE,FALSE,-0.390696088250725,0.184572419326126,"Tmax","curr.jun"
"CAGL",0.00334163285374792,FALSE,FALSE,-0.298473989625507,0.299689516988845,"Tmax","curr.jul"
"CAGL",-0.069014003667121,FALSE,FALSE,-0.390310495945895,0.308898081948309,"Tmax","curr.aug"
"CAGL",-0.114596671543221,FALSE,FALSE,-0.420039572933063,0.284454165375188,"PPT","prev.apr"
"CAGL",-0.0460306276254496,FALSE,FALSE,-0.409536397851992,0.241032879436713,"PPT","prev.may"
"CAGL",0.0366913486828042,FALSE,FALSE,-0.301106972190555,0.32586522203973,"PPT","prev.jun"
"CAGL",0.0414862690945783,FALSE,FALSE,-0.232160108006628,0.47879989747888,"PPT","prev.jul"
"CAGL",-0.162983972207409,FALSE,FALSE,-0.570354572823739,0.148770159795927,"PPT","prev.aug"
"CAGL",-0.0220955860606867,FALSE,FALSE,-0.374526289068151,0.370365910786944,"PPT","prev.sep"
"CAGL",0.0919231671927221,FALSE,FALSE,-0.368396426979218,0.530452393174191,"PPT","prev.oct"
"CAGL",-0.0636433935007059,FALSE,FALSE,-0.363209774184821,0.23717445044254,"PPT","prev.nov"
"CAGL",-0.291100868958059,FALSE,FALSE,-0.660880968668841,0.019746277805514,"PPT","prev.dec"
"CAGL",-0.0181116567263236,FALSE,FALSE,-0.267653125462817,0.324412634196143,"PPT","curr.jan"
"CAGL",-0.0178329945254608,FALSE,FALSE,-0.350542953081496,0.290757376964733,"PPT","curr.feb"
"CAGL",0.0534180428304115,FALSE,FALSE,-0.309883604727607,0.456063473124078,"PPT","curr.mar"
"CAGL",0.166489401237909,FALSE,FALSE,-0.135697007132232,0.51090756469196,"PPT","curr.apr"
"CAGL",0.119880111784969,FALSE,FALSE,-0.195886548467326,0.382835473557528,"PPT","curr.may"
"CAGL",-0.01557661426327,FALSE,FALSE,-0.340759822782551,0.364799077879013,"PPT","curr.jun"
"CAGL",0.329085346514021,TRUE,FALSE,0.0748090414771598,0.617524534272916,"PPT","curr.jul"
"CAGL",0.100039322194013,FALSE,FALSE,-0.26072462130257,0.471651810348049,"PPT","curr.aug"
"CAOV",-0.0882848926092899,FALSE,FALSE,-0.386559961826717,0.274465622398041,"Tmin","prev.apr"
"CAOV",0.000293826417780207,FALSE,FALSE,-0.336494301299994,0.343117280076798,"Tmin","prev.may"
"CAOV",0.0137188701082267,FALSE,FALSE,-0.369950380049926,0.418099380815535,"Tmin","prev.jun"
"CAOV",0.0455688473055536,FALSE,FALSE,-0.293405101891965,0.348003979275742,"Tmin","prev.jul"
"CAOV",-0.0530340276390377,FALSE,FALSE,-0.393076596954713,0.275454665466777,"Tmin","prev.aug"
"CAOV",0.0650720659257483,FALSE,FALSE,-0.252639536786636,0.402193267749863,"Tmin","prev.sep"
"CAOV",-0.139679405369228,FALSE,FALSE,-0.574747131359552,0.150213260832688,"Tmin","prev.oct"
"CAOV",0.0761191695767306,FALSE,FALSE,-0.21146053394234,0.45529961185344,"Tmin","prev.nov"
"CAOV",-0.301918334832182,FALSE,FALSE,-0.633419520499855,0.143421209470047,"Tmin","prev.dec"
"CAOV",0.108574763525689,FALSE,FALSE,-0.306263843210331,0.462791398655666,"Tmin","curr.jan"
"CAOV",0.0348740507275106,FALSE,FALSE,-0.329628723262598,0.376334091465589,"Tmin","curr.feb"
"CAOV",0.142375835832701,FALSE,FALSE,-0.264967158771787,0.470827667468684,"Tmin","curr.mar"
"CAOV",0.0345288098039217,FALSE,FALSE,-0.276509516324285,0.362067335424658,"Tmin","curr.apr"
"CAOV",-0.141292132985268,FALSE,FALSE,-0.553567303359654,0.280797972115402,"Tmin","curr.may"
"CAOV",-0.0827635257503055,FALSE,FALSE,-0.451761367479535,0.32618291318041,"Tmin","curr.jun"
"CAOV",-0.0311580679562003,FALSE,FALSE,-0.436973829453184,0.309208795915482,"Tmin","curr.jul"
"CAOV",-0.130188139659708,FALSE,FALSE,-0.472519014614684,0.125496885931794,"Tmin","curr.aug"
"CAOV",-0.0763144004792327,FALSE,FALSE,-0.37733243618561,0.29259632852794,"Tmean","prev.apr"
"CAOV",-0.0015847208728413,FALSE,FALSE,-0.312964542294028,0.375903075127267,"Tmean","prev.may"
"CAOV",-0.112374674708909,FALSE,FALSE,-0.447507936397405,0.286052241840055,"Tmean","prev.jun"
