"Species","Year","Num_of_trees","sss"
"CACO",1889,1,0.271
"CACO",1890,1,0.271
"CACO",1891,1,0.271
"CACO",1892,1,0.271
"CACO",1893,1,0.271
"CACO",1894,2,0.445
"CACO",1895,2,0.445
"CACO",1896,2,0.445
"CACO",1897,2,0.445
"CACO",1898,2,0.445
"CACO",1899,2,0.445
"CACO",1900,2,0.445
"CACO",1901,2,0.445
"CACO",1902,2,0.445
"CACO",1903,2,0.445
"CACO",1904,3,0.566
"CACO",1905,3,0.566
"CACO",1906,3,0.566
"CACO",1907,3,0.566
"CACO",1908,4,0.654
"CACO",1909,5,0.723
"CACO",1910,5,0.723
"CACO",1911,5,0.723
"CACO",1912,5,0.723
"CACO",1913,5,0.723
"CACO",1914,5,0.723
"CACO",1915,5,0.723
"CACO",1916,6,0.776
"CACO",1917,7,0.82
"CACO",1918,7,0.82
"CACO",1919,7,0.82
"CACO",1920,7,0.82
"CACO",1921,7,0.82
"CACO",1922,8,0.856
"CACO",1923,9,0.887
"CACO",1924,9,0.887
"CACO",1925,9,0.887
"CACO",1926,9,0.887
"CACO",1927,9,0.887
"CACO",1928,9,0.887
"CACO",1929,9,0.887
"CACO",1930,9,0.887
"CACO",1931,9,0.887
"CACO",1932,9,0.887
"CACO",1933,10,0.912
"CACO",1934,10,0.912
"CACO",1935,10,0.912
"CACO",1936,11,0.935
"CACO",1937,11,0.935
"CACO",1938,12,0.954
"CACO",1939,12,0.954
"CACO",1940,13,0.971
"CACO",1941,13,0.971
"CACO",1942,14,0.986
"CACO",1943,14,0.986
"CACO",1944,15,1
"CACO",1945,15,1
"CACO",1946,15,1
"CACO",1947,15,1
"CACO",1948,15,1
"CACO",1949,15,1
"CACO",1950,15,1
"CACO",1951,15,1
"CACO",1952,15,1
"CACO",1953,15,1
"CACO",1954,15,1
"CACO",1955,15,1
"CACO",1956,15,1
"CACO",1957,15,1
"CACO",1958,15,1
"CACO",1959,15,1
"CACO",1960,15,1
"CACO",1961,16,1
"CACO",1962,16,1
"CACO",1963,16,1
"CACO",1964,16,1
"CACO",1965,16,1
"CACO",1966,16,1
"CACO",1967,17,1
"CACO",1968,17,1
"CACO",1969,17,1
"CACO",1970,17,1
"CACO",1971,17,1
"CACO",1972,17,1
"CACO",1973,17,1
"CACO",1974,17,1
"CACO",1975,17,1
"CACO",1976,17,1
"CACO",1977,17,1
"CACO",1978,17,1
"CACO",1979,17,1
"CACO",1980,17,1
"CACO",1981,17,1
"CACO",1982,17,1
"CACO",1983,17,1
"CACO",1984,17,1
"CACO",1985,17,1
"CACO",1986,17,1
"CACO",1987,17,1
"CACO",1988,17,1
"CACO",1989,17,1
"CACO",1990,17,1
"CACO",1991,17,1
"CACO",1992,17,1
"CACO",1993,17,1
"CACO",1994,17,1
"CACO",1995,17,1
"CACO",1996,17,1
"CACO",1997,17,1
"CACO",1998,17,1
"CACO",1999,17,1
"CACO",2000,17,1
"CACO",2001,17,1
"CACO",2002,17,1
"CACO",2003,17,1
"CACO",2004,17,1
"CACO",2005,17,1
"CACO",2006,17,1
"CACO",2007,16,1
"CACO",2008,16,1
"CACO",2009,14,0.986
"CACO",2010,13,0.971
"CACO",2011,12,0.954
"CACO",2012,12,0.954
"CACO",2013,10,0.912
"CACO",2014,7,0.82
"CACO",2015,6,0.776
"CACO",2016,4,0.654
"CACO",2017,2,0.445
"CAGL",1868,1,0.211
"CAGL",1869,1,0.211
"CAGL",1870,1,0.211
"CAGL",1871,2,0.356
"CAGL",1872,2,0.356
"CAGL",1873,2,0.356
"CAGL",1874,2,0.356
"CAGL",1875,2,0.356
"CAGL",1876,2,0.356
"CAGL",1877,2,0.356
"CAGL",1878,3,0.463
"CAGL",1879,3,0.463
"CAGL",1880,5,0.608
"CAGL",1881,6,0.66
"CAGL",1882,6,0.66
"CAGL",1883,6,0.66
"CAGL",1884,6,0.66
"CAGL",1885,6,0.66
"CAGL",1886,6,0.66
"CAGL",1887,6,0.66
"CAGL",1888,6,0.66
"CAGL",1889,6,0.66
"CAGL",1890,8,0.738
"CAGL",1891,9,0.769
"CAGL",1892,9,0.769
"CAGL",1893,9,0.769
"CAGL",1894,9,0.769
