"Species","Year","Num_of_trees","sss"
"CAGL_canopy",1890,1,0.367
"CAGL_canopy",1891,1,0.367
"CAGL_canopy",1892,1,0.367
"CAGL_canopy",1893,1,0.367
"CAGL_canopy",1894,1,0.367
"CAGL_canopy",1895,1,0.367
"CAGL_canopy",1896,1,0.367
"CAGL_canopy",1897,1,0.367
"CAGL_canopy",1898,1,0.367
"CAGL_canopy",1899,1,0.367
"CAGL_canopy",1900,1,0.367
"CAGL_canopy",1901,3,0.709
"CAGL_canopy",1902,4,0.802
"CAGL_canopy",1903,4,0.802
"CAGL_canopy",1904,4,0.802
"CAGL_canopy",1905,4,0.802
"CAGL_canopy",1906,5,0.871
"CAGL_canopy",1907,6,0.924
"CAGL_canopy",1908,6,0.924
"CAGL_canopy",1909,6,0.924
"CAGL_canopy",1910,6,0.924
"CAGL_canopy",1911,6,0.924
"CAGL_canopy",1912,6,0.924
"CAGL_canopy",1913,6,0.924
"CAGL_canopy",1914,6,0.924
"CAGL_canopy",1915,6,0.924
"CAGL_canopy",1916,6,0.924
"CAGL_canopy",1917,6,0.924
"CAGL_canopy",1918,6,0.924
"CAGL_canopy",1919,6,0.924
"CAGL_canopy",1920,6,0.924
"CAGL_canopy",1921,6,0.924
"CAGL_canopy",1922,6,0.924
"CAGL_canopy",1923,7,0.966
"CAGL_canopy",1924,7,0.966
"CAGL_canopy",1925,7,0.966
"CAGL_canopy",1926,7,0.966
"CAGL_canopy",1927,7,0.966
"CAGL_canopy",1928,7,0.966
"CAGL_canopy",1929,7,0.966
"CAGL_canopy",1930,7,0.966
"CAGL_canopy",1931,8,1
"CAGL_canopy",1932,8,1
"CAGL_canopy",1933,8,1
"CAGL_canopy",1934,8,1
"CAGL_canopy",1935,8,1
"CAGL_canopy",1936,8,1
"CAGL_canopy",1937,8,1
"CAGL_canopy",1938,8,1
"CAGL_canopy",1939,8,1
"CAGL_canopy",1940,8,1
"CAGL_canopy",1941,8,1
"CAGL_canopy",1942,8,1
"CAGL_canopy",1943,8,1
"CAGL_canopy",1944,8,1
"CAGL_canopy",1945,8,1
"CAGL_canopy",1946,8,1
