"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.107588149821813,-0.327436334558701,-0.160851636784088,-0.225303644645479,-0.00976199430221905,-0.0498957715168184,-0.0522998039104687,-0.0246538628963521,-0.116377223868739,-0.0899548361353593,-0.0163135398903739,0.109251108147886,-0.0721474826276397,0.12755484786617,0.085070444337104,0.121596746621571,-0.0749400624841521
"dtr",-0.100108065138126,0.0417393791978902,-0.126516697532175,-0.14631766418101,-0.18844132107036,-0.222612472414248,-0.235573360201332,-0.279953420803588,-0.286476173567345,-0.138563018438592,-0.260406748102009,-0.269633639357978,-0.0806045358016553,-0.277144016821493,-0.211728816950324,-0.28588361429275,-0.271657223693169
"pet",-0.0876880428003622,0.112698039439935,-0.0484396972337315,-0.0803951378894537,-0.170040001991255,-0.204705594355798,-0.256535720321429,-0.32985356055132,-0.186877054128064,-0.11290675864009,-0.198845206309399,-0.177953831880779,-0.0251374751498129,-0.338605333728099,-0.277016466034931,-0.351463556112121,-0.26766360725601
"PETminusPRE",-0.19404764239886,0.0598251406040071,-0.117249918633556,-0.176389838283729,-0.181448233693231,-0.100367869819937,-0.0678090939184923,-0.158124720834309,-0.170238429668606,-0.150845100779764,-0.175132459085295,-0.122801073481724,-0.111126207439244,-0.360319334684596,-0.297114255485161,-0.316559575544381,-0.248896093818563
"pre",-0.14665493026118,-0.285162504004536,-0.161187848918163,-0.198361775540542,-0.175349937968649,-0.0262059645190536,-0.315040285217899,0.0229439039779796,-0.108603617997655,-0.269197847647647,-0.126062060695937,-0.0877277231569444,-0.0482231114369256,0.130172593142771,0.0332661492252411,-0.0376127794813955,0.0749172237941601
"tmn",-0.11137726238217,-0.0187869579086904,-0.0121116418606534,-0.150560960598643,0.00271315801356118,-0.133255867850336,-0.023780776471437,-0.0925999521647986,-0.201350897791377,-0.125475740147752,-0.0855489386666468,-0.0961097108992332,-0.0526438257928484,-0.280526103031885,-0.223965134307399,-0.0918942596589872,-0.0936678357574258
"tmp",-0.0861726174029382,0.023607291185135,-0.0463494177188379,-0.0858444594420474,-0.02893897532488,-0.186610072452586,-0.0723279651818471,-0.1441504475386,-0.223233498187399,-0.134485853559422,-0.13705486654204,-0.163100142086573,-0.0392208145030416,-0.331959207638827,-0.293703155508165,-0.261189221717193,-0.165603659336082
"tmx",-0.0787780372721819,0.0417383908027689,-0.071481134458154,-0.106700318291959,-0.0672549093316142,-0.195522229422681,-0.178134144874044,-0.191512703589985,-0.232901088505594,-0.130412444910524,-0.163851583230684,-0.198360784782549,-0.0372728995274605,-0.337853907472875,-0.310987324412685,-0.325247109999093,-0.248300221320296
"vap",-0.0603699840104261,-0.0810930813204826,-0.0325234007625388,-0.203896275128293,-0.0624384793164587,-0.125511965374313,-0.0708714457325278,-0.0468576684469952,-0.224681364091977,-0.116595278256255,-0.0983836370849078,-0.0969524227376949,-0.0186039274143788,-0.332802093307462,-0.133412238159727,-0.06596902291711,-0.0228099663728471
"wet",-0.109492568018257,-0.293098395533629,-0.141280746635377,-0.128653629411628,-0.0178581639419446,-0.0382132393367857,-0.279363922521308,0.020415898802873,-0.137466184206304,-0.275544101063551,-0.125700868275657,-0.0477093222805353,-0.0656143406259204,0.155130962472715,0.055106867775828,-0.00900133146445958,0.093641190179918
"PDSI_prewhiten",-0.141964673710213,-0.320872934387375,-0.121231936757915,-0.0899063992431548,-0.152283532888623,-0.0186277744864237,-0.117781258513924,0.0116472184615315,-0.272441651984798,-0.21592062434837,-0.0701921350673819,0.0110907236787833,-0.0585026822324143,0.0948652032948818,0.0831887950041395,0.00631283223745574,0.0679995581605085
