"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0.228510207250563,0.0142315303113158,0.0761619541174517,0.235073216496839,0.20799549700412,0.0554765327836533,0.0969896400882969,0.51674021528125,0.174856044874983,0.00840303988309779,0.189430617975448,0.300233145927802,0.109189781270215,0.355091648296033,0.490779567239599,0.372904546997321,0.257187258098067
"dtr",0.18849309407849,0.441964397354505,-0.00517692697967135,0.0552996603108785,0.342658883684499,0.257365850313526,0.309968316218155,0.147772004851328,0.192606695883582,0.124167329049775,0.00956576304827849,0.14989081282767,0.190682746738028,0.160960091221732,0.0337688728735315,0.237598961343242,0.262820573707194
"pet",0.196827566204097,0.404889540048184,0.183954650477469,0.09586489378466,0.251880781817429,0.130382629948269,0.216350053586659,0.191931028642174,0.30676283782032,0.271105955509245,0.043577758418104,0.00661378659445268,0.119808640334934,0.0488179209910289,0.118461599228688,0.129679657095585,0.134528928110767
"PETminusPRE",0.274637385651351,0.327750682124118,0.0365346422092123,0.168574044342092,0.321065750104297,0.195404770595407,0.403718697039405,0.105996384689911,0.471159255535348,0.361249886887156,0.0381898202587142,0.0470134526290556,0.0898603776675901,0.0586057091196599,0.065110504406649,0.142122659945404,0.271655364958103
"pre",0.1647044225764,-0.0315737435062218,0.061788415300984,0.3629229165432,0.0400181964316524,0.121907687874184,-0.0674343749170651,0.218649567149983,0.0334164369737395,0.065245099635538,0.309450590746017,0.178422584933338,0.187614475015122,0.284467448734323,0.232057538704465,0.0896855505458529,0.407183128290457
"tmn",0.193449686439818,0.168176819933049,0.157878277837941,0.112764941961423,0.139302873506396,0.0953855355215749,0.00670176162701269,0.259023599747358,0.153312074585634,0.233090385637153,0.226381141738108,0.0146096727160727,0.21922100623967,0.208714261025395,0.388676354710514,0.00361558788276823,0.19829500108704
"tmp",0.210219793885794,0.25141034017217,0.0634075991991961,-0.0105469803402139,0.241546226234007,0.0891596658069045,0.0548771321899772,0.274987079232251,0.187631823247701,0.255700661751331,0.163493267639813,0.0314891972898999,0.238391509672558,0.123032006019655,0.260080322979448,0.02236392318208,0.122461692859207
"tmx",0.206862894489679,0.318987895819705,-0.0219845507358527,0.00953288527465056,0.276622492479882,0.169152119245937,0.0892029191690231,0.261074932448149,0.213279875525168,0.270198241824092,0.120903790669321,0.0633209984270338,0.22760957080609,0.034351148033237,0.13171148789686,0.111922119328904,0.087649942409117
"vap",0.208108378688697,0.0939317208334639,0.017408961631379,0.0800275813194559,0.128250802219372,0.0746548630087781,-0.020455405595494,0.266766148069837,0.164984375693334,0.220904363570995,0.25331617492414,0.202533268693017,0.239206551450792,0.203642703092156,0.39704417218656,0.118362492324156,0.272735178369898
"wet",0.17286893419006,-0.0318170980659228,0.11172492203989,0.409933988733351,0.110422705608886,0.107004315488516,-0.0968345136671422,0.194336985572809,0.000997519022615397,-0.0111080550420087,0.267196416709425,0.11261864906899,0.247519886599272,0.378857206136019,0.337433885532402,0.0984941521091834,0.298897598328224
"PDSI_prewhiten",0.0508761884195093,0.0931362451981433,0.122926402356412,0.5066116603009,0.206614250793661,0.144801055911519,0.0160032402525811,0.00977907398642801,0.201693979540979,0.10525949580951,0.357463514388135,0.183510300159884,0.262397898081174,0.220144688799747,0.207166653048061,0.129512796340319,0.403534918792365
