"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0,1,1,1,0,1,2,4,2,0,0,1,0,3,2,3,0
"dtr",0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2
"pet",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"PETminusPRE",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"pre",1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
"tmn",0,0,0,0,0,1,1,0,4,0,0,0,1,0,3,0,0
"tmp",0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"tmx",0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0
"vap",0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
"wet",1,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0
"PDSI_prewhiten",2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
